"DATA_YEAR","VICTIM_ID","INJURY_ID"
2017,98166887,5
2017,98166954,5
2017,98167276,5
2017,101707656,5
2017,101707665,4
2017,101707709,4
2017,101707714,4
2017,101707754,4
2017,101707807,5
2017,101707845,4
2017,97063246,5
2017,97704408,5
2017,97704673,5
2017,97704706,5
2017,97704824,5
2017,97704844,5
2017,97704874,5
2017,97704884,4
2017,97704892,5
2017,97704979,5
2017,97705000,5
2017,101707742,5
2017,101707757,5
2017,101707835,5
2017,101707847,4
2017,99851601,5
2017,99851788,4
2017,99851841,5
2017,99304772,4
2017,99304885,5
2017,99304901,5
2017,98167089,4
2017,98167283,5
2017,97063064,4
2017,97063078,5
2017,97063122,4
2017,97704758,5
2017,97704692,4
2017,97704428,5
2017,97704895,4
2017,97704827,4
2017,97704546,4
2017,100670108,4
2017,100670404,4
2017,98166970,5
2017,96543525,5
2017,96543702,5
2017,96543604,5
2017,96543526,4
2017,96543635,4
2017,96543658,5
2017,98166900,5
2017,98166897,5
2017,98166901,5
2017,98166994,5
2017,98167011,5
2017,98167166,5
2017,98167170,4
2017,98167165,5
2017,97063080,5
2017,97063165,5
2017,97063190,4
2017,99851450,5
2017,99851569,5
2017,99851590,5
2017,99851794,5
2017,99851817,4
2017,99851838,4
2017,98809968,4
2017,98809708,4
2017,101243034,5
2017,101243026,5
2017,99851561,5
2017,99851813,2
2017,99851874,4
2017,99305049,5
2017,99305052,5
2017,100670110,5
2017,100670113,5
2017,98809724,5
2017,98809738,4
2017,98809928,5
2017,98810012,4
2017,98810017,5
2017,98810033,4
2017,98809733,5
2017,98809895,5
2017,98809903,4
2017,99304696,5
2017,99304921,4
2017,99305057,5
2017,100670085,4
2017,100670176,5
2017,100670457,5
2017,100670475,4
2017,100670361,5
2017,100670398,4
2017,100670439,4
2017,99851792,4
2017,99304708,3
2017,99305071,4
2017,99305074,4
2017,101707646,5
2017,101707666,4
2017,101707666,2
2017,101707685,4
2017,101707703,5
2017,101707750,4
2017,101707767,4
2017,101707764,4
2017,101707797,4
2017,101707826,5
2017,98809728,4
2017,98809911,5
2017,98809904,5
2017,98809975,4
2017,99851562,4
2017,99851791,5
2017,99851567,4
2017,99851708,4
2017,100670280,5
2017,100670396,5
2017,99851457,4
2017,99851453,5
2017,99851505,5
2017,99851809,5
2017,98809745,4
2017,98809751,4
2017,101242955,5
2017,101242991,4
2017,101242994,4
2017,101242993,4
2017,101243023,5
2017,101243046,5
2017,101243045,5
2017,101243061,5
2017,101243072,5
2017,101243085,4
2017,101243094,5
2017,101243121,5
2017,98809909,5
2017,98809980,5
2017,99304927,5
2017,98809832,1
2017,101707815,5
2017,103695724,4
2017,103695417,5
2017,103695497,2
2017,103695538,4
2017,103695550,5
2017,103695553,4
2017,103695734,5
2017,103695775,5
2017,103695782,5
2017,103695779,5
2017,103695486,5
2017,103695592,5
2017,101707693,5
2017,103695533,4
2017,103695660,5
2017,103695802,5
2017,101707834,4
2017,101707731,5
2017,104542482,5
2017,110775567,5
2017,110775568,5
2017,96543562,5
2017,96543555,5
2017,96543574,4
2017,97063174,1
2017,98166920,5
2017,98166959,4
2017,98167222,4
2017,97063209,5
2017,98463785,5
2017,98463789,4
2017,98463802,5
2017,98463806,4
2017,98463862,5
2017,98463928,4
2017,98464060,4
2017,98464090,5
2017,98464109,5
2017,98464144,4
2017,98464186,5
2017,97063051,5
2017,97704423,5
2017,97704803,5
2017,97063280,4
2017,97063159,4
2017,98166913,5
2017,98167063,5
2017,98167167,5
2017,99304685,4
2017,99304918,5
2017,99304932,4
2017,99305079,5
2017,98463784,5
2017,98167179,4
2017,99304711,5
2017,99304724,5
2017,99304871,5
2017,99304900,5
2017,99304962,4
2017,97063115,4
2017,97063117,4
2017,97063123,4
2017,97063255,5
2017,100670102,4
2017,100670277,2
2017,100670330,5
2017,98167280,4
2017,97704447,5
2017,98166905,5
2017,97704469,5
2017,97704820,5
2017,97704818,4
2017,97704955,5
2017,97704745,5
2017,97704503,4
2017,97704571,5
2017,97704656,5
2017,97704698,5
2017,97704860,4
2017,97704949,5
2017,96543584,5
2017,98166966,5
2017,98167288,4
2017,98463760,5
2017,98463779,5
2017,98464123,4
2017,97063092,4
2017,97063103,4
2017,97063111,4
2017,97063179,4
2017,97063182,4
2017,96543731,4
2017,96543613,4
2017,97063285,5
2017,97063109,4
2017,97063204,5
2017,98463772,4
2017,98463788,6
2017,98463822,5
2017,98464038,5
2017,96543528,4
2017,96543687,4
2017,97063047,5
2017,98463851,4
2017,98463774,4
2017,98463777,5
2017,98463782,4
2017,98463825,5
2017,98463829,5
2017,98463835,5
2017,98463901,4
2017,98463939,5
2017,98463941,5
2017,98464015,5
2017,98464081,5
2017,98167064,4
2017,98167266,4
2017,98166909,6
2017,98166962,5
2017,97063098,5
2017,97704433,5
2017,97704647,4
2017,98463853,5
2017,98464068,4
2017,98464153,5
2017,97704757,5
2017,97704421,5
2017,97704821,5
2017,97704669,5
2017,98166976,4
2017,98167025,4
2017,96543569,4
2017,98463938,5
2017,98463804,5
2017,98463872,5
2017,98463950,4
2017,98464134,4
2017,98464152,4
2017,98464150,4
2017,98464158,4
2017,97063237,5
2017,96543673,5
2017,97063121,4
2017,97063171,5
2017,96543644,5
2017,99304781,4
2017,99304868,5
2017,99304915,4
2017,99304726,8
2017,99304880,5
2017,99305082,5
2017,98809719,4
2017,100670357,4
2017,100670400,5
2017,100670249,5
2017,100670317,5
2017,100670473,5
2017,99851553,5
2017,99851816,5
2017,99851548,5
2017,99851685,4
2017,99851883,4
2017,98810039,5
2017,99851619,4
2017,99851834,4
2017,99851880,5
2017,100670232,4
2017,100670388,5
2017,100670272,5
2017,101242947,4
2017,101242950,4
2017,101242961,4
2017,101242974,5
2017,101242971,5
2017,101243017,4
2017,101243020,2
2017,101243066,4
2017,101243185,4
2017,101243196,5
2017,101243048,5
2017,101243206,4
2017,99851476,5
2017,99851579,5
2017,99851833,4
2017,98809851,6
2017,98809985,4
2017,98809901,5
2017,98809946,4
2017,98809994,5
2017,98810035,6
2017,99304734,4
2017,98809714,5
2017,98809957,4
2017,98809976,5
2017,98809838,4
2017,98809884,5
2017,98809898,5
2017,99304749,5
2017,99304847,5
2017,99304903,4
2017,99304937,4
2017,100670394,4
2017,99304707,4
2017,99304856,4
2017,99304909,5
2017,99304931,5
2017,100670407,5
2017,99851493,4
2017,100670260,5
2017,99851651,5
2017,100670386,5
2017,99304729,4
2017,99304805,5
2017,100670246,4
2017,100670329,5
2017,100670363,4
2017,100670452,4
2017,101242958,5
2017,101242972,5
2017,101242985,5
2017,101243001,5
2017,101243003,5
2017,101243021,4
2017,101243070,5
2017,101243107,4
2017,101243127,4
2017,100670375,5
2017,101243063,4
2017,98809958,5
2017,98809977,5
2017,98809822,6
2017,98809865,5
2017,100670140,5
2017,99304930,4
2017,99305085,5
2017,98809850,5
2017,98809952,4
2017,99304846,4
2017,99304911,5
2017,98809718,5
2017,98809757,4
2017,98809762,5
2017,98809830,5
2017,98809988,5
2017,98810002,5
2017,99851789,5
2017,104542498,5
2017,110770687,5
2017,98809717,4
2017,98809982,5
2017,98809989,4
2017,99304725,5
2017,98809674,5
2017,98809731,5
2017,100670294,5
2017,100670360,5
2017,100670401,5
2017,100670412,5
2017,99851825,4
2017,100670117,5
2017,100670469,5
2017,99851467,4
2017,99851557,5
2017,99851826,5
2017,99851842,5
2017,98809969,4
2017,99851487,4
2017,99851711,4
2017,99851837,4
2017,99304699,5
2017,99304814,4
2017,99851682,4
2017,99851740,5
2017,101243032,4
2017,101243067,5
2017,101242963,5
2017,101243194,5
2017,100670344,5
2017,101243033,5
2017,101243028,5
2017,101242960,4
2017,101243004,4
2017,101243006,4
2017,101243065,5
2017,101243186,4
2017,99851521,2
2017,99851628,4
2017,100670301,5
2017,100670323,5
2017,100670447,4
2017,100670467,4
2017,98809687,4
2017,98809790,5
2017,98809854,5
2017,98809882,5
2017,98809896,5
2017,98810042,4
2017,98810041,4
2017,101243079,5
2017,101243119,5
2017,99304840,5
2017,99304954,5
2017,99304701,5
2017,99304747,5
2017,98809673,5
2017,98809930,5
2017,96543565,4
2017,96543642,4
2017,96543657,5
2017,96543695,4
2017,103695633,4
2017,103695649,4
2017,103695746,4
2017,103695390,4
2017,103695466,4
2017,103695628,5
2017,103695692,4
2017,103695815,5
2017,101707740,5
2017,103695657,5
2017,103695720,5
2017,103695745,5
2017,103695461,5
2017,103695567,4
2017,103695688,4
2017,103695705,5
2017,101707698,5
2017,103695679,5
2017,103695429,4
2017,103695556,5
2017,103695650,5
2017,103695648,5
2017,103695713,4
2017,103695733,5
2017,103695756,5
2017,103695784,4
2017,103695588,4
2017,103695676,3
2017,103695752,4
2017,103695757,4
2017,103695770,5
2017,103695711,4
2017,103695732,5
2017,101707776,4
2017,101707830,4
2017,101707661,5
2017,101707861,4
2017,101707790,4
2017,101707697,4
2017,101707701,4
2017,101242962,4
2017,101242982,4
2017,101243027,5
2017,101243074,4
2017,101243149,4
2017,101243170,4
2017,101243173,4
2017,101243199,4
2017,99851456,5
2017,99851466,5
2017,99851559,4
2017,99851627,6
2017,99851686,5
2017,99851797,4
2017,96543578,4
2017,96543617,5
2017,96543739,5
2017,98166904,5
2017,98167153,5
2017,96543563,5
2017,96543571,4
2017,96543595,5
2017,96543529,5
2017,98166895,5
2017,98166956,5
2017,98166930,4
2017,98166946,5
2017,98166989,5
2017,98167072,5
2017,98167070,5
2017,98167112,5
2017,98167148,5
2017,98167156,4
2017,98167213,4
2017,98167045,5
2017,97704443,4
2017,97704624,5
2017,97704810,5
2017,97704835,5
2017,97704861,5
2017,97704986,5
2017,97704814,5
2017,111057178,5
2017,103695415,5
2017,103695563,5
2017,103695747,5
2017,103695387,4
2017,103695501,5
2017,103695530,5
2017,103695576,4
2017,103695587,5
2017,103695689,4
2017,103695758,4
2017,103695389,5
2017,103695594,5
2017,103695716,4
2017,103695725,5
2017,101707668,4
2017,103695721,5
2017,103695767,4
2017,103695798,5
2017,101707715,4
2017,101707657,4
2017,101707655,5
2017,101707831,5
