"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2017,21,111346438
2017,21,111346507
2017,21,111346585
2017,21,111346820
2017,21,111346836
2017,21,111346867
2017,21,111346917
2017,21,111346914
2017,21,111346927
2017,21,111346355
2017,21,111346498
2017,21,111346706
2017,21,111346707
2017,21,111346752
2017,21,111346808
2017,21,111346918
2017,21,111346935
2017,21,111346959
2017,21,111346966
2017,21,111346967
2017,21,111346342
2017,21,111346496
2017,21,111346589
2017,21,111346641
2017,21,111346698
2017,21,111346762
2017,21,111346803
2017,21,111346890
2017,21,111346952
2017,21,112118982
2017,21,112118991
2017,21,112118993
2017,21,112119007
2017,21,112119010
2017,21,112119017
2017,21,112119023
2017,21,112119028
2017,21,112119030
2017,21,112119043
2017,21,112119058
2017,21,112119067
2017,21,112119081
2017,21,112119087
2017,21,112119120
2017,21,112119119
2017,21,112119150
2017,21,112119153
2017,21,112119163
2017,21,112119176
2017,21,112119184
2017,21,112119214
2017,21,112119208
2017,21,112119257
2017,21,112119280
2017,21,112119293
2017,21,112119324
2017,21,112119338
2017,21,112119349
2017,21,112119379
2017,21,112119380
2017,21,112119390
2017,21,112119395
2017,21,112119409
2017,21,112119416
2017,21,112119419
2017,21,111346354
2017,21,111346468
2017,21,111346701
2017,21,111346695
2017,21,111346766
2017,21,111346832
2017,21,111346957
2017,21,111346381
2017,21,111346587
2017,21,111346624
2017,21,111346671
2017,21,111346783
2017,21,111346797
2017,21,111346909
2017,21,111346916
2017,21,111346938
2017,21,111346955
2017,21,111346444
2017,21,111346562
2017,21,111346557
2017,21,111346633
2017,21,111346675
2017,21,111346730
2017,21,111346841
2017,21,111346883
2017,21,120342030
2017,21,120342028
2017,21,120785210
2017,21,117382109
2017,21,117382199
2017,21,117382232
2017,21,117382321
2017,21,117382369
2017,21,117382416
2017,21,117382450
2017,21,117382452
2017,21,117382505
2017,21,117382518
2017,21,117382569
2017,21,117382135
2017,21,117382134
2017,21,117382220
2017,21,117382325
2017,21,117382373
2017,21,117382382
2017,21,117382501
2017,21,117382517
2017,21,117382522
2017,21,117382543
2017,21,117382544
2017,21,117382546
2017,21,117382572
2017,21,117382570
2017,21,117382578
2017,21,117382399
2017,21,117382411
2017,21,117382470
2017,21,117382487
2017,21,117382520
2017,21,117382538
2017,21,117382540
2017,21,117382571
2017,21,120342157
2017,21,117382248
2017,21,117382278
2017,21,117382350
2017,21,117382400
2017,21,117382432
2017,21,117382471
2017,21,117382486
2017,21,117382512
2017,21,117382524
2017,21,117382110
2017,21,117382270
2017,21,117382275
2017,21,117382385
2017,21,117382420
2017,21,117382433
2017,21,117382427
2017,21,117382493
2017,21,117382515
2017,21,117382177
2017,21,117382210
2017,21,117382205
2017,21,117382337
2017,21,117382390
2017,21,117382405
2017,21,117382422
2017,21,117382437
2017,21,117382468
2017,21,117382494
2017,21,117382547
2017,21,117382119
2017,21,117382190
2017,21,117382398
2017,21,117382418
2017,21,117382561
2017,21,120342074
2017,21,117382246
2017,21,117382287
2017,21,117382354
2017,21,117382370
2017,21,117382368
2017,21,117382371
2017,21,117382391
2017,21,117382431
2017,21,117382497
2017,21,117382499
2017,21,117382541
2017,21,117382575
2017,21,117382176
2017,21,117382240
2017,21,117382293
2017,21,117382295
2017,21,117382380
2017,21,117382379
2017,21,117382404
2017,21,117382402
2017,21,117382440
2017,21,117382489
2017,21,117382581
2017,21,117382208
2017,21,117382314
2017,21,117382377
2017,21,117382443
2017,21,117382461
2017,21,117382553
2017,21,117382331
2017,21,117382367
2017,21,117382372
2017,21,117382395
2017,21,117382424
2017,21,117382446
2017,21,117382491
2017,21,117382536
2017,21,117382539
2017,21,117382149
2017,21,117382207
2017,21,117382206
2017,21,117382277
2017,21,117382412
2017,21,117382425
2017,21,117382462
2017,21,117382558
2017,21,117382565
2017,21,110183050
2017,21,110183051
2017,21,110183182
2017,21,110183290
2017,21,110702206
2017,21,110702219
2017,21,110702264
2017,21,110702305
2017,21,110702304
2017,21,110702359
2017,21,110702402
2017,21,110183087
2017,21,110183120
2017,21,110183150
2017,21,110183228
2017,21,110183248
2017,21,110183276
2017,21,110183292
2017,21,110183045
2017,21,110183075
2017,21,110183088
2017,21,110183100
2017,21,110183105
2017,21,110183042
2017,21,110183108
2017,21,110183123
2017,21,110183143
2017,21,110183211
2017,21,110183231
2017,21,110183240
2017,21,110702249
2017,21,110702292
2017,21,110702338
2017,21,110702382
2017,21,110702403
2017,21,110702434
2017,21,110702451
2017,21,110702457
2017,21,110702460
2017,21,110702247
2017,21,110702269
2017,21,110702284
2017,21,110702296
2017,21,110702347
2017,21,110702369
2017,21,110702367
2017,21,110702446
2017,21,110183093
2017,21,110183116
2017,21,110183130
2017,21,110183138
2017,21,110183175
2017,21,110183224
2017,21,110183253
2017,21,110183274
2017,21,110702187
2017,21,110702235
2017,21,110702279
2017,21,110702321
2017,21,110702410
2017,21,110702420
2017,21,110702454
2017,21,112968768
2017,21,112968794
2017,21,112968810
2017,21,112968835
2017,21,112968843
2017,21,112968875
2017,21,112968886
2017,21,112968889
2017,21,112968888
2017,21,112968916
2017,21,112968956
2017,21,112968955
2017,21,112968973
2017,21,112968974
2017,21,112969013
2017,21,114339282
2017,21,114339274
2017,21,114339303
2017,21,114339345
2017,21,111346353
2017,21,111346398
2017,21,111346447
2017,21,111346584
2017,21,111346634
2017,21,111346699
2017,21,111346702
2017,21,111346733
2017,21,111346735
2017,21,111346851
2017,21,111346863
2017,21,111346941
2017,21,110702213
2017,21,110702239
2017,21,110702256
2017,21,110702274
2017,21,110702302
2017,21,110702326
2017,21,110702345
2017,21,110702393
2017,21,110702429
2017,21,110702208
2017,21,110702236
2017,21,110702324
2017,21,110702366
2017,21,110702406
2017,21,110702407
2017,21,111346378
2017,21,111346465
2017,21,111346670
2017,21,111346756
2017,21,111346768
2017,21,111346925
2017,21,111346951
2017,21,110702222
2017,21,110702315
2017,21,110702346
2017,21,110702385
2017,21,110702383
2017,21,110702388
2017,21,111346370
2017,21,111346466
2017,21,111346536
2017,21,111346617
2017,21,111346780
2017,21,111346856
2017,21,110702215
2017,21,110702216
2017,21,110702253
2017,21,110702259
2017,21,110702257
2017,21,110702303
2017,21,110702334
2017,21,110702374
2017,21,110702405
2017,21,110702428
2017,21,110702430
