"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2017,6,110702192
2017,9,110702249
2017,6,110702301
2017,6,110702300
2017,6,110702365
2017,6,110702361
2017,9,110702382
2017,9,110702403
2017,9,110702440
2017,6,110702442
2017,6,110702457
2017,6,110702460
2017,6,111346323
2017,6,111346737
2017,6,111346784
2017,6,111346636
2017,9,111815015
2017,9,111815071
2017,6,111815100
2017,6,111815101
2017,6,111815216
2017,9,111815292
2017,9,111815349
2017,6,111814996
2017,6,111814997
2017,9,111815108
2017,9,111815119
2017,9,111815162
2017,6,111815159
2017,6,111815163
2017,6,111815161
2017,6,111815240
2017,9,111815268
2017,6,111815271
2017,6,111815280
2017,1,111815393
2017,6,111346562
2017,6,111346557
2017,6,111346633
2017,6,111346841
2017,9,111346487
2017,6,111346773
2017,6,111346777
2017,9,111346403
2017,9,111346461
2017,9,111346774
2017,9,111346911
2017,6,110702216
2017,6,110702253
2017,1,110702259
2017,6,110702257
2017,6,110702334
2017,6,110702428
2017,6,110702430
2017,9,111815088
2017,6,111815111
2017,9,111815141
2017,6,111815295
2017,6,111815293
2017,6,111815366
2017,9,110702263
2017,9,110702314
2017,6,110702337
2017,6,110702397
2017,6,110702425
2017,9,110702232
2017,9,110702240
2017,9,110702254
2017,6,110702267
2017,9,110702317
2017,6,110702404
2017,6,110702439
2017,6,110702448
2017,2,110702467
2017,6,110702273
2017,9,110702351
2017,6,110702435
2017,9,110702398
2017,6,112968777
2017,3,112968798
2017,9,112968918
2017,3,112968937
2017,9,112968985
2017,9,112969036
2017,6,112969064
2017,6,112969062
2017,9,112969065
2017,6,112969072
2017,6,112969077
2017,9,112969085
2017,6,111815411
2017,6,111815412
2017,9,111346355
2017,6,111346706
2017,6,111346707
2017,9,111346752
2017,6,111346918
2017,6,111346966
2017,6,111346967
2017,9,110702182
2017,6,110702283
2017,6,110702354
2017,6,110702357
2017,8,110702391
2017,6,110702438
2017,6,110702437
2017,9,111346354
2017,6,111346701
2017,6,111346695
2017,6,111346832
2017,9,111346356
2017,6,111346640
2017,6,111346781
2017,9,111346840
2017,9,111346943
2017,9,111346375
2017,9,111346582
2017,9,111346789
2017,6,111346874
2017,6,111346877
2017,6,111346915
2017,6,111346937
2017,6,110702245
2017,6,110702248
2017,9,110702328
2017,9,110702386
2017,6,110702401
2017,6,110702465
2017,9,110702220
2017,9,110702290
2017,9,110702307
2017,9,110702327
2017,9,110702419
2017,9,110702222
2017,9,110702315
2017,6,110702346
2017,6,110702385
2017,6,110702383
2017,6,110702388
2017,6,113521563
2017,6,113521565
2017,9,113521633
2017,6,110702198
2017,9,110702319
2017,9,110702360
2017,9,110702189
2017,6,110702226
2017,6,110702188
2017,6,110702224
2017,6,110702387
2017,6,110702384
2017,9,110702432
2017,6,110702247
2017,6,110702269
2017,3,110702284
2017,6,110702369
2017,6,110702367
2017,6,113521340
2017,6,113521377
2017,6,113521378
2017,9,113521407
2017,9,111346452
2017,6,111346668
2017,9,111346783
2017,6,111346916
2017,6,111346955
2017,9,111815020
2017,6,111815021
2017,6,111815066
2017,9,111815137
2017,9,111815182
2017,6,111815228
2017,6,111815231
2017,6,111815234
2017,9,111815298
2017,9,110702213
2017,6,110702256
2017,9,110702255
2017,9,110702251
2017,6,110702274
2017,9,110702302
2017,6,110702330
2017,6,110702342
2017,6,110702343
2017,6,110702370
2017,6,110702389
2017,6,110702429
2017,6,110702433
2017,6,113521473
2017,6,113521476
2017,9,113521530
2017,9,113521589
2017,6,113521643
2017,6,113521640
2017,6,113521656
2017,6,113521654
2017,9,111814989
2017,6,111815006
2017,6,111815002
2017,6,111815003
2017,6,111815077
2017,9,111815069
2017,1,111815104
2017,9,111815255
2017,9,111815306
2017,9,111815409
2017,6,113521501
2017,6,113521564
2017,6,113521678
2017,6,113521680
2017,6,113521706
2017,6,113521704
2017,6,113521727
2017,6,113521312
2017,9,113521373
2017,9,113521409
2017,9,113521548
2017,9,111815012
2017,9,111815082
2017,6,111815235
2017,9,111815422
2017,9,110702206
2017,9,110702219
2017,9,110702264
2017,6,110702305
2017,6,110702304
2017,6,110702359
2017,6,111815079
2017,6,111815074
2017,6,111815290
2017,3,110702208
2017,9,110702236
2017,9,110702324
2017,9,110702366
2017,6,110702406
2017,6,110702407
2017,9,111815063
2017,6,111815086
2017,6,111815106
2017,9,111815184
2017,9,111815191
2017,6,111815222
2017,6,111815224
2017,6,111815233
2017,9,111815285
2017,6,111815346
2017,6,111815344
2017,6,111815380
2017,9,111815400
2017,9,111815448
2017,6,110702212
2017,6,110702246
2017,6,110702250
2017,9,110702363
2017,9,111346563
2017,6,111346597
2017,6,111346595
2017,6,111346710
2017,9,111346822
2017,9,111346948
2017,6,111346699
2017,6,111346702
2017,6,111346733
2017,6,111346735
2017,9,111346851
2017,6,111346819
2017,6,111346954
2017,6,111346953
2017,6,111346969
2017,6,111346970
2017,8,113521316
2017,9,113521313
2017,9,113521335
2017,6,113521387
2017,6,113521385
2017,6,113521420
2017,9,113521555
2017,6,113521593
2017,9,113521686
2017,9,111346438
2017,9,111346507
2017,9,111346820
2017,6,111346867
2017,6,111346917
2017,6,111346914
2017,6,117382135
2017,6,117382134
2017,9,117382208
2017,6,117382220
2017,9,117382314
2017,9,117382443
2017,9,117382461
2017,6,117382543
2017,6,117382544
2017,6,117382546
2017,6,117382553
2017,6,117382570
2017,6,117382119
2017,6,117382190
2017,6,117382217
2017,6,117382214
2017,6,117382302
2017,3,117382378
2017,6,117382393
2017,9,117382409
2017,6,117382418
2017,1,117382460
2017,9,117382478
2017,9,117382502
2017,9,117382176
2017,6,117382293
2017,6,117382295
2017,9,117382399
2017,6,117382404
2017,6,117382402
2017,6,117382411
2017,9,117382470
2017,9,117382487
2017,6,117382489
2017,3,117382138
2017,3,117382169
2017,6,117382286
2017,6,117382310
2017,3,117382364
2017,6,117382417
2017,6,117382419
2017,9,117382488
2017,9,117382164
2017,6,117382165
2017,6,117382180
2017,9,117382303
2017,6,117382384
2017,6,117382484
2017,9,117382548
2017,6,117382557
2017,6,117382554
2017,6,117382234
2017,9,117382436
2017,9,117382511
2017,9,117382127
2017,6,117382215
2017,9,117382343
2017,6,117382385
2017,6,117382420
2017,9,117382426
2017,6,117382433
2017,6,117382427
2017,8,117382455
2017,9,117382509
2017,9,117382515
2017,9,117382530
2017,6,117382573
2017,9,117382112
2017,9,117382148
2017,6,117382241
2017,6,117382244
2017,9,117382401
2017,9,117382472
2017,9,117382514
2017,6,117382552
2017,9,118240737
2017,6,118240734
2017,6,118240736
2017,9,117382152
2017,9,117382201
2017,6,117382264
2017,6,117382259
2017,6,117382260
2017,9,117382319
2017,6,117382410
2017,9,117382503
2017,6,117382560
2017,3,117382177
2017,6,117382210
2017,6,117382205
2017,6,117382282
2017,9,117382337
2017,6,117382390
2017,6,117382405
2017,8,117382457
2017,9,117382477
2017,6,117382495
2017,6,117382498
2017,9,117382525
2017,9,117382562
2017,9,117382248
2017,9,117382278
2017,9,117382331
2017,6,117382372
2017,6,117382400
2017,6,117382432
2017,9,117382446
2017,6,117382491
2017,9,117382512
2017,6,117382539
2017,9,117382118
2017,6,117382158
2017,6,117382188
2017,6,117382257
2017,9,117382338
2017,6,117382388
2017,6,117382397
2017,6,117382392
2017,6,117382394
2017,6,117382435
2017,9,117382473
2017,9,117382481
2017,6,117382523
2017,9,117382542
2017,6,117382556
2017,9,110183083
2017,9,111815009
2017,9,111815010
2017,9,111815000
2017,9,111815013
2017,6,111815018
2017,9,111815028
2017,9,111815073
2017,9,111815076
2017,6,111815090
2017,6,111815095
2017,6,111815099
2017,6,111815116
2017,6,111815185
2017,6,111815201
2017,9,111815205
2017,9,111815219
2017,9,111815287
2017,6,120785210
2017,9,120342081
2017,9,124797776
2017,6,120342028
2017,6,112968752
2017,9,112968778
2017,6,112968787
2017,9,112968804
2017,6,112968809
2017,3,112968825
2017,6,112968859
2017,6,112968861
2017,6,112968953
2017,9,112968991
2017,6,112969097
2017,6,113521279
2017,6,113521288
2017,6,113521287
2017,6,113521364
2017,9,113521451
2017,6,112118986
2017,9,112119011
2017,9,112119027
2017,9,112119030
2017,9,112119097
2017,6,112119106
2017,9,112119162
2017,9,112119188
2017,6,112119186
2017,6,112119214
2017,9,112119271
2017,9,112119321
2017,6,112119326
2017,6,112119329
2017,6,112119328
2017,9,112119347
2017,9,112119384
2017,6,115378572
2017,6,115378649
2017,9,115378713
2017,9,115378770
2017,9,114912675
2017,3,114912687
2017,9,114912732
2017,9,114912785
2017,6,114912833
2017,6,114912856
2017,9,114912725
2017,6,114912796
2017,6,114912818
2017,9,114912910
2017,9,114912656
2017,9,114912674
2017,9,114912730
2017,9,114912748
2017,9,114912814
2017,9,114912712
2017,6,114912851
2017,6,114912848
2017,9,114912895
2017,6,114339366
2017,6,114339403
2017,9,114339465
2017,6,114339528
2017,6,114339531
2017,9,114339615
2017,6,114339680
2017,6,115378653
2017,6,115378650
2017,6,115378674
2017,3,115378684
2017,6,115378754
2017,9,115378621
2017,6,115378623
2017,6,115378620
2017,9,115378632
2017,9,115378644
2017,6,115378642
2017,6,115378658
2017,6,115378681
2017,6,115378679
2017,6,115378722
2017,9,115378576
2017,6,115378626
2017,6,115378625
2017,6,115378627
2017,9,115378735
2017,6,115378745
2017,9,115378751
2017,9,115378760
2017,6,115378769
2017,9,115378799
2017,6,117382199
2017,6,117382193
2017,6,117382197
2017,9,117382232
2017,6,117382223
2017,6,117382222
2017,9,117382280
2017,9,117382344
2017,9,117382452
2017,6,117382449
2017,6,117382563
2017,9,117382246
2017,9,117382287
2017,6,117382354
2017,6,117382368
2017,6,117382371
2017,9,117382541
2017,1,117382149
2017,6,117382207
2017,6,117382206
2017,9,117382277
2017,9,117382412
2017,6,117382408
2017,6,117382425
2017,6,117382429
2017,6,117382434
2017,8,117382462
2017,6,117382558
2017,9,117382565
2017,6,117382329
2017,6,117382423
2017,6,117382442
2017,9,117382480
2017,6,117382516
2017,6,117382532
2017,6,117382124
2017,9,117382156
2017,6,117382170
2017,6,117382191
2017,3,117382228
2017,9,117382304
2017,9,117382386
2017,9,117382490
2017,9,117382534
2017,6,117382122
2017,6,117382125
2017,6,117382126
2017,6,117382281
2017,6,117382438
2017,6,117382441
2017,8,117382454
2017,6,117382535
2017,6,117382537
