N,DATA_YEAR,ARRESTEE_ID,INCIDENT_ID,ARREST_DATE,MULTIPLE_INDICATOR,AGE_NUM,SEX_CODE,ARREST_TYPE_NAME,OFFENSE_NAME,CRIME_AGAINST,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,RACE_DESC,AGENCY_ID,NIBRS_MONTH_ID,SUBMISSION_DATE,INCIDENT_DATE,INCIDENT_HOUR
17410,2017,26327710,90286267,28-MAR-17,N,13,F,On View,Arson,Property,Arson,A,White,770,7596332,17-AUG-18,23-MAR-17,19
17411,2017,25801642,88770674,15-JAN-17,N,43,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,727,7515610,17-AUG-18,15-JAN-17,7
17412,2017,26317431,90254359,14-FEB-17,N,21,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,729,7528698,17-AUG-18,14-FEB-17,19
17413,2017,25776311,88708937,18-JAN-17,N,18,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,502,7509296,17-AUG-18,18-JAN-17,14
17414,2017,25776880,88710814,24-JAN-17,N,23,M,Taken INTO Custody,Shoplifting,Property,Larceny/Theft Offenses,A,White,506,7509299,17-AUG-18,24-JAN-17,15
17415,2017,25777675,88712772,20-JAN-17,C,20,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,512,7509304,17-AUG-18,20-JAN-17,17
17416,2017,26323198,90270896,17-MAR-17,N,32,M,Summoned / Cited,All Other Larceny,Property,Larceny/Theft Offenses,A,White,728,7553445,17-AUG-18,17-MAR-17,12
17417,2017,26323342,90271596,22-MAR-17,N,54,M,Taken INTO Custody,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,Black or African American,728,7553445,17-AUG-18,21-MAR-17,23
17418,2017,26326111,90281162,20-APR-17,N,46,M,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,White,749,7594486,17-AUG-18,20-APR-17,NA
17419,2017,26327090,90284255,13-FEB-17,N,16,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,770,7596331,17-AUG-18,13-FEB-17,16
17420,2017,26327088,90284255,13-FEB-17,N,16,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,770,7596331,17-AUG-18,13-FEB-17,16
17421,2017,26327755,90286419,26-MAR-17,N,20,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,770,7596332,17-AUG-18,26-MAR-17,18
17422,2017,26328206,90287461,01-MAR-17,N,47,M,On View,Theft From Building,Property,Larceny/Theft Offenses,A,Black or African American,783,7596344,17-AUG-18,01-MAR-17,16
17423,2017,25776305,88708930,11-JAN-17,N,26,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,502,7509296,17-AUG-18,11-JAN-17,18
17424,2017,25776303,88708930,11-JAN-17,N,17,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,502,7509296,17-AUG-18,11-JAN-17,18
17425,2017,25776313,88708941,21-JAN-17,N,34,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,502,7509296,17-AUG-18,21-JAN-17,19
17426,2017,25785238,88734140,22-JAN-17,N,33,F,On View,Theft From Building,Property,Larceny/Theft Offenses,A,White,563,7510386,17-AUG-18,22-JAN-17,7
17427,2017,25790073,88745333,11-JAN-17,N,32,M,On View,Stolen Property Offenses,Property,Stolen Property Offenses,A,White,577,7512308,17-AUG-18,10-JAN-17,21
17428,2017,25790318,88745894,05-JAN-17,N,52,M,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,575,7512309,17-AUG-18,05-JAN-17,23
17429,2017,26405479,90500156,10-MAY-17,N,55,M,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,White,575,7609419,17-AUG-18,10-MAY-17,17
17430,2017,26406240,90502674,22-MAY-17,N,20,M,On View,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,White,607,7609459,17-AUG-18,22-MAY-17,15
17431,2017,26406681,90503815,28-APR-17,N,25,F,On View,All Other Larceny,Property,Larceny/Theft Offenses,A,White,603,7552006,17-AUG-18,26-MAR-17,NA
17432,2017,26407116,90505495,16-MAY-17,N,38,F,On View,Counterfeiting/Forgery,Property,Counterfeiting/Forgery,A,White,609,7609469,17-AUG-18,16-MAY-17,14
17433,2017,26407158,90505626,24-MAY-17,N,33,F,On View,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,White,609,7609469,17-AUG-18,24-MAY-17,12
17434,2017,26407167,90505676,28-MAY-17,C,24,M,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,609,7609469,17-AUG-18,28-MAY-17,0
17435,2017,26408160,90508986,31-MAY-17,N,33,M,Taken INTO Custody,Credit Card/Automated Teller Machine Fraud,Property,Fraud Offenses,A,White,661,7528636,17-AUG-18,17-FEB-17,10
17436,2017,26409222,90512128,30-MAR-17,N,28,F,On View,False Pretenses/Swindle/Confidence Game,Property,Fraud Offenses,A,White,707,7552563,17-AUG-18,30-MAR-17,9
17437,2017,28747910,97614267,06-AUG-17,N,35,M,On View,Theft From Building,Property,Larceny/Theft Offenses,A,Black or African American,736,8008156,20-AUG-18,06-AUG-17,16
17438,2017,26409445,90512583,09-MAY-17,N,25,M,Summoned / Cited,Shoplifting,Property,Larceny/Theft Offenses,A,White,714,7528694,17-AUG-18,06-FEB-17,19
17439,2017,26409478,90512687,13-APR-17,N,28,M,Taken INTO Custody,Stolen Property Offenses,Property,Stolen Property Offenses,A,Black or African American,733,7610619,17-AUG-18,13-APR-17,0
17440,2017,25792519,88750700,30-JAN-17,N,42,F,Taken INTO Custody,All Other Larceny,Property,Larceny/Theft Offenses,A,White,591,7512324,17-AUG-18,30-JAN-17,2
17441,2017,25793744,88753555,25-JAN-17,N,28,F,Taken INTO Custody,Stolen Property Offenses,Property,Stolen Property Offenses,A,White,607,7512338,17-AUG-18,20-JAN-17,20
17442,2017,25794094,88754187,14-JAN-17,N,25,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,612,7512342,17-AUG-18,14-JAN-17,19
