"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2017,12,111446392,19641953
2017,10,111446392,19641951
2017,12,111446408,19641960
2017,12,111446397,19641957
2017,12,111446430,19641962
2017,12,111446465,19641969
2017,3,111446473,19641971
2017,12,111446494,19641979
2017,2,111446486,19641975
2017,10,111446490,19641977
2017,12,111446489,19641976
2017,12,111446516,19641986
2017,12,111446491,19641978
2017,9,111446520,19641987
2017,12,111446513,19641984
2017,12,111446534,19641994
2017,12,111446533,19641993
2017,12,111446543,19641997
2017,10,111446540,19641996
2017,19,111446563,19642002
2017,12,111446564,19642001
2017,12,111446544,19641998
2017,10,111446526,19641989
2017,12,111446600,19642016
2017,12,111446609,19642018
2017,12,111446591,19642011
2017,12,111446622,19642022
2017,10,111446621,19642020
2017,12,111446621,19642021
2017,3,111446635,19642023
2017,12,111446659,19642030
2017,12,111446679,19642037
2017,18,111446713,19642046
2017,12,111446711,19642045
2017,12,111446729,19642049
2017,12,111446738,19642052
2017,12,111446740,19642053
2017,12,111446766,19642059
2017,12,111446753,19642054
2017,12,111446781,19642063
2017,9,111446782,19642061
2017,12,111446798,19642066
2017,12,111446796,19642065
2017,12,111446830,19642076
2017,3,111446818,19642072
2017,12,111446839,19642079
2017,12,111446841,19642082
2017,12,111446838,19642077
2017,12,111446842,19642081
2017,12,111446956,19642096
2017,12,111446972,19642099
2017,9,111446992,19642101
2017,12,111447000,19642102
2017,12,111446987,19642100
2017,12,111447043,19642104
2017,12,111447097,19642108
2017,12,111447096,19642107
2017,12,111447129,19642110
2017,18,111447133,19642112
2017,12,111447131,19642111
2017,10,111447139,19642113
2017,12,111447144,19642114
2017,12,111447176,19642121
2017,2,111447184,19642124
2017,9,111447209,19642133
2017,12,111447221,19642135
2017,12,111447215,19642134
2017,12,111447229,19642136
2017,12,111447282,19642150
2017,10,111447254,19642143
2017,10,111447279,19642149
2017,12,111447333,19642155
2017,12,111447393,19642167
2017,3,111447356,19642161
2017,12,111447389,19642166
2017,12,111447406,19642171
2017,9,111447432,19642172
2017,12,111447436,19642173
2017,12,111447458,19642179
2017,12,111447453,19642178
2017,12,111447496,19642185
2017,12,111447526,19642190
2017,9,111447529,19642191
2017,11,111447541,19642198
2017,2,111447552,19642201
2017,12,111447563,19642204
2017,12,111447560,19642203
2017,3,111447590,19642214
2017,2,111447590,19642210
2017,10,111447569,19642207
2017,12,111447550,19642200
2017,12,111447667,19642230
2017,12,111447694,19642234
2017,3,111447708,19642238
2017,12,111447705,19642236
2017,12,111447736,19642244
2017,12,111447769,19642256
2017,12,111447781,19642262
2017,12,111447774,19642260
2017,18,111447803,19642269
2017,2,111447806,19642270
2017,12,111447841,19642282
2017,3,111447844,19642283
2017,12,111447855,19642289
2017,3,111447817,19642275
2017,2,111447852,19642286
2017,3,111447859,19642290
2017,3,111447873,19642293
2017,12,111447884,19642294
2017,12,111447891,19642296
