"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2017,100762934,103906769,14,30383703
2017,100762946,103906773,14,30383706
2017,100762934,103906773,25,30383704
2017,100763206,103907064,21,30383811
2017,100763225,103907092,3,30383817
2017,100763254,103907127,18,30383827
2017,100763328,103907177,15,30383841
2017,100763352,103907200,21,30383853
2017,100763364,103907207,18,30383857
2017,100763559,103907421,3,30383910
2017,100763628,103907503,3,30383935
2017,100763695,103907560,16,30383966
2017,100763798,103907664,18,30384003
2017,100763863,103907728,18,30384036
2017,100763859,103907719,24,30384034
2017,100763995,103907849,3,30384072
2017,100764015,103907875,3,30384076
2017,100764040,103907898,3,30384083
2017,100764042,103907896,18,30384084
2017,100764135,103907993,1,30384112
2017,100764232,103908080,9,30384156
2017,100764232,103908076,9,30384152
2017,100764227,103908080,9,30384148
2017,100764219,103908080,9,30384143
2017,100764219,103908076,9,30384141
2017,100764227,103908078,9,30384147
2017,100764232,103908078,9,30384153
2017,100764227,103908076,9,30384144
2017,100764219,103908078,9,30384142
2017,100764239,103908101,18,30384160
2017,100764239,103908098,18,30384158
2017,100764334,103908201,3,30384193
2017,100764360,103908220,25,30384208
2017,100764366,103908219,25,30384212
2017,100764366,103908220,3,30384211
2017,100764360,103908219,3,30384206
2017,100764463,103908324,3,30384243
2017,100764517,103908379,16,30384259
2017,100764514,103908379,3,30384258
2017,100764761,103908597,3,30384362
2017,100764743,103908603,3,30384352
2017,100764761,103908603,25,30384365
2017,100764743,103908597,25,30384354
2017,100764785,103908620,3,30384376
2017,100764901,103908769,3,30384441
2017,100764921,103908793,3,30384451
2017,100764950,103908790,24,30384461
2017,100764958,103908790,24,30384467
2017,100764958,103908779,24,30384464
2017,100764950,103908779,24,30384455
2017,100764958,103908795,24,30384468
2017,100764958,103908788,24,30384465
2017,100764950,103908795,24,30384462
2017,100764950,103908776,24,30384454
2017,100764958,103908776,24,30384463
2017,100764950,103908788,24,30384460
2017,100689296,103832853,25,30362134
2017,100689296,103832864,9,30362136
2017,100689294,103832864,18,30362129
2017,100689285,103832864,25,30362127
2017,100689294,103832853,9,30362128
2017,100689285,103832853,9,30362126
2017,100689893,103833548,3,30362358
2017,100696981,103840956,21,30364405
2017,100698550,103842523,3,30364772
2017,100698646,103842619,3,30364795
2017,100703950,103848166,1,30366243
2017,100743128,103887225,9,30377247
2017,100749223,103893274,17,30379253
2017,100749418,103893473,18,30379331
2017,100750499,103894499,18,30379681
2017,100752029,103896047,5,30380167
2017,100753271,103897336,17,30380559
2017,100753492,103897530,24,30380629
2017,100753487,103897529,24,30380626
2017,100753487,103897528,24,30380627
2017,100753492,103897528,24,30380631
2017,100753492,103897529,24,30380630
2017,100753487,103897530,24,30380625
2017,100755230,103899212,16,30381123
2017,100756717,103900622,21,30381604
2017,100756933,103900832,24,30381667
2017,100756953,103900850,1,30381675
2017,100757070,103900974,9,30381710
2017,100757707,103901595,3,30381895
2017,100757808,103901695,3,30381926
2017,100758291,103902141,18,30382043
2017,100758421,103902298,16,30382086
2017,100759008,103902863,8,30382256
2017,100759667,103903563,18,30382469
2017,100760226,103904102,18,30382676
2017,100760224,103904102,18,30382674
2017,100760219,103904102,18,30382673
2017,100760663,103904511,18,30382827
2017,100760684,103904551,18,30382838
2017,100760752,103904615,3,30382875
2017,100760779,103904647,18,30382895
2017,100760939,103904798,3,30382948
2017,100760984,103904854,18,30382977
2017,100761228,103905075,18,30383088
2017,100761269,103905111,24,30383111
2017,100761639,103905474,5,30383215
2017,100761638,103905474,3,30383214
2017,100761707,103905535,18,30383242
2017,100761877,103905726,1,30383335
2017,100761948,103905795,15,30383359
2017,100761967,103905792,3,30383365
2017,100762033,103905876,1,30383390
2017,100762188,103906035,18,30383445
2017,100762197,103906033,3,30383448
2017,100762188,103906033,24,30383444
2017,100762197,103906035,18,30383451
2017,100762364,103906216,24,30383518
2017,100762469,103906329,18,30383547
2017,100762575,103906430,3,30383585
2017,100762732,103906568,18,30383637
2017,100762732,103906561,16,30383635
2017,100762859,103906703,18,30383690
2017,100762866,103906703,18,30383691
2017,100762869,103906703,18,30383693
2017,100762928,103906776,3,30383702
2017,100762941,103906770,16,30383707
2017,100762941,103906783,16,30383709
2017,100762948,103906770,18,30383711
2017,100762948,103906783,18,30383713
2017,100762962,103906804,18,30383718
2017,100762970,103906804,18,30383729
2017,100762967,103906804,18,30383723
2017,100763001,103906861,9,30383745
2017,100763036,103906889,1,30383763
2017,100763192,103907016,18,30383803
2017,100763192,103907018,18,30383804
2017,100763192,103907024,18,30383809
2017,100763192,103907027,18,30383810
2017,100763192,103907019,18,30383806
2017,100763192,103907021,18,30383807
2017,100763192,103907015,18,30383802
2017,100763344,103907194,3,30383848
2017,100763665,103907519,1,30383955
2017,100763665,103907518,1,30383954
2017,100763657,103907519,1,30383953
2017,100763657,103907518,1,30383951
2017,100763779,103907617,18,30383999
2017,100763770,103907617,18,30383996
2017,100763817,103907682,18,30384010
2017,100763817,103907666,18,30384008
2017,100763826,103907666,18,30384012
2017,100763817,103907672,18,30384009
2017,100763826,103907682,18,30384015
2017,100763826,103907672,18,30384013
2017,100764461,103908322,24,30384242
2017,100764574,103908443,1,30384292
2017,100764677,103908531,16,30384325
2017,100764672,103908517,18,30384321
2017,100764672,103908516,3,30384323
2017,100765040,103908898,5,30384498
2017,100765029,103908898,5,30384495
2017,100765026,103908898,5,30384494
2017,100765280,103909139,16,30384561
2017,100765280,103909138,16,30384560
2017,100765327,103909196,21,30384582
2017,100765517,103909386,5,30384640
2017,100765613,103909484,3,30384700
2017,100765693,103909567,1,30384721
2017,100765754,103909618,18,30384743
2017,100765754,103909623,18,30384745
2017,100765749,103909623,18,30384742
2017,100765749,103909618,18,30384738
2017,100765754,103909620,18,30384744
2017,100765749,103909620,18,30384739
2017,100766524,103910379,18,30385019
2017,100766511,103910379,18,30385013
2017,100766503,103910375,18,30385009
2017,100766498,103910379,18,30385005
2017,100766511,103910380,18,30385014
2017,100766498,103910380,18,30385007
2017,100766503,103910379,18,30385010
2017,100766495,103910379,18,30384993
2017,100766503,103910380,18,30385011
2017,100766511,103910375,18,30385012
2017,100766474,103910380,18,30384987
2017,100766466,103910379,18,30384982
2017,100766495,103910380,18,30385000
2017,100766495,103910375,18,30384992
2017,100766524,103910380,18,30385022
2017,100766498,103910375,18,30385004
2017,100766474,103910379,18,30384985
2017,100766524,103910375,18,30385016
2017,100766474,103910375,18,30384984
2017,100766466,103910375,18,30384981
2017,100766466,103910380,18,30384983
2017,98483217,101598202,10,29679481
2017,98483904,101598928,1,29679704
2017,98484470,101599462,18,29679867
2017,98486982,101601879,21,29680416
2017,98486976,101601879,5,29680414
2017,98487153,101602043,16,29680455
