"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2017,7743940,9963,12,2017,"I",,"Y","G","C","2017_12_MO0920400_NIBRS",28106145,0
2017,7470113,10161,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_MOKPD0000_NIBRS",28100169,0
2017,7494133,10161,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_MOKPD0000_NIBRS",28100170,0
2017,7524031,10161,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_MOKPD0000_NIBRS",28100171,0
2017,7554121,10161,4,2017,"I",01-APR-04,"Y","F","C","2017_04_MOKPD0000_NIBRS",28100172,0
2017,7576189,10161,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_MOKPD0000_NIBRS",28100173,0
2017,7589915,10161,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_MOKPD0000_NIBRS",28100174,0
2017,7493337,9962,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_MO0920300_NIBRS",24759158,0
2017,7493319,9594,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_MO0240400_NIBRS",18821382,0
2017,7523170,9594,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_MO0240400_NIBRS",18821596,0
2017,7553601,9594,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_MO0240400_NIBRS",18821849,0
2017,7574985,9594,4,2017,"I",01-APR-04,"Y","F","C","2017_04_MO0240400_NIBRS",18821883,0
2017,7589213,9594,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_MO0240400_NIBRS",20693286,0
2017,7606180,9594,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_MO0240400_NIBRS",24762745,0
2017,7631735,9594,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_MO0240400_NIBRS",19397718,0
2017,7659510,9594,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_MO0240400_NIBRS",20024449,0
2017,7688071,9594,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_MO0240400_NIBRS",20023790,0
2017,7714615,9594,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_MO0240400_NIBRS",18822336,0
2017,7740502,9594,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_MO0240400_NIBRS",28093981,0
2017,7954229,9594,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_MO0240400_NIBRS",28094055,0
2017,7493325,10040,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_MO0955200_NIBRS",2062822,0
2017,7493326,10040,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_MO0955200_NIBRS",8517664,0
2017,7469424,9723,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_MO0480900_NIBRS",19398525,0
2017,7523163,9723,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_MO0480900_NIBRS",10639155,0
2017,7556573,10043,1,2017,"I",,"Y","G","C","2017_01_MO0955600_NIBRS",17919283,0
2017,7659608,10043,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_MO0955600_NIBRS",8518398,0
2017,7556574,10043,3,2017,"I",,"Y","G","C","2017_03_MO0955600_NIBRS",17919322,0
2017,7606194,10043,4,2017,"I",01-APR-04,"Y","F","C","2017_04_MO0955600_NIBRS",17919369,0
2017,7493318,9735,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_MO0490300_NIBRS",17916110,0
2017,7523165,9735,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_MO0490300_NIBRS",17916235,0
2017,7553598,9735,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_MO0490300_NIBRS",8511933,0
2017,7589214,9735,4,2017,"I",01-APR-04,"Y","F","C","2017_04_MO0490300_NIBRS",7584175,0
2017,7469428,10076,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_MO0970000_NIBRS",20053377,0
2017,7493327,10076,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_MO0970000_NIBRS",18848523,0
2017,7523173,10076,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_MO0970000_NIBRS",4794420,0
2017,7553620,10076,4,2017,"I",01-APR-04,"Y","F","C","2017_04_MO0970000_NIBRS",5619220,0
2017,7575022,10076,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_MO0970000_NIBRS",10644057,0
2017,7589265,10076,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_MO0970000_NIBRS",10644146,0
2017,7493323,9809,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_MO0590100_NIBRS",10640484,0
2017,7523168,9809,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_MO0590100_NIBRS",9706112,0
2017,7525427,9809,3,2017,"I",,"Y","G","C","2017_03_MO0590100_NIBRS",9706230,0
2017,7574987,9809,4,2017,"I",01-APR-04,"Y","F","C","2017_04_MO0590100_NIBRS",8513271,0
2017,7589222,9809,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_MO0590100_NIBRS",26954588,0
2017,7606186,9809,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_MO0590100_NIBRS",10640528,0
2017,7631763,9809,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_MO0590100_NIBRS",21461693,0
2017,7659546,9809,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_MO0590100_NIBRS",15442982,0
2017,7661673,9809,9,2017,"I",,"Y","G","C","2017_09_MO0590100_NIBRS",15443040,0
2017,7714620,9809,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_MO0590100_NIBRS",20050342,0
2017,7740506,9809,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_MO0590100_NIBRS",21461627,0
2017,7830713,9809,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_MO0590100_NIBRS",20050413,0
2017,7493314,9530,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_MO0130000_NIBRS",7582397,0
2017,7523159,9530,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_MO0130000_NIBRS",10639073,0
2017,7553590,9530,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_MO0130000_NIBRS",9703254,0
2017,7574972,9530,4,2017,"I",01-APR-04,"Y","F","C","2017_04_MO0130000_NIBRS",10639049,0
2017,7589205,9530,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_MO0130000_NIBRS",15441004,0
2017,7605940,9530,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_MO0130000_NIBRS",15441036,0
2017,7631719,9530,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_MO0130000_NIBRS",11385212,0
2017,7659157,9530,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_MO0130000_NIBRS",26962259,0
2017,7687779,9530,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_MO0130000_NIBRS",15441139,0
2017,7714603,9530,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_MO0130000_NIBRS",15441093,0
2017,7606864,10161,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_MOKPD0000_NIBRS",28100175,0
2017,7633127,10161,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_MOKPD0000_NIBRS",28100176,0
2017,7659990,10161,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_MOKPD0000_NIBRS",28100177,0
2017,7689806,10161,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_MOKPD0000_NIBRS",28100178,0
2017,7716677,10161,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_MOKPD0000_NIBRS",28100179,0
2017,7742280,10161,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_MOKPD0000_NIBRS",28100180,0
2017,7523179,9962,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_MO0920300_NIBRS",24764639,0
2017,7553617,9962,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_MO0920300_NIBRS",20709708,0
2017,7575000,9962,4,2017,"I",01-APR-04,"Y","F","C","2017_04_MO0920300_NIBRS",28095540,0
2017,7589237,9962,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_MO0920300_NIBRS",26954789,0
2017,7606199,9962,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_MO0920300_NIBRS",20707793,0
2017,7631826,9962,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_MO0920300_NIBRS",28102187,0
2017,7659606,9962,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_MO0920300_NIBRS",28102246,0
2017,7688101,9962,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_MO0920300_NIBRS",26963720,0
2017,7714848,9962,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_MO0920300_NIBRS",28095630,0
2017,7740605,9962,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_MO0920300_NIBRS",28102311,0
2017,7830724,9962,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_MO0920300_NIBRS",28098865,0
2017,7523172,10040,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_MO0955200_NIBRS",18845617,0
2017,7574994,10040,4,2017,"I",01-APR-04,"Y","F","C","2017_04_MO0955200_NIBRS",8517819,0
2017,7574995,10040,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_MO0955200_NIBRS",8517886,0
2017,7589239,10040,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_MO0955200_NIBRS",8517978,0
2017,7606193,10040,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_MO0955200_NIBRS",18845679,0
2017,7631858,10040,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_MO0955200_NIBRS",18846090,0
2017,7659610,10040,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_MO0955200_NIBRS",11391631,0
2017,7523164,9723,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_MO0480900_NIBRS",19398578,0
2017,7553595,9723,4,2017,"I",01-APR-04,"Y","F","C","2017_04_MO0480900_NIBRS",19398653,0
2017,7589211,9723,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_MO0480900_NIBRS",19398754,0
2017,7589212,9723,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_MO0480900_NIBRS",11385611,0
2017,7606179,9723,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_MO0480900_NIBRS",20046150,0
2017,7659511,9723,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_MO0480900_NIBRS",19398998,0
2017,7659512,9723,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_MO0480900_NIBRS",19399121,0
2017,7606195,10043,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_MO0955600_NIBRS",19407420,0
2017,7606196,10043,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_MO0955600_NIBRS",18846395,0
2017,7606197,10043,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_MO0955600_NIBRS",17919688,0
2017,7659611,10043,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_MO0955600_NIBRS",19407143,0
2017,7659612,10043,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_MO0955600_NIBRS",18845865,0
2017,7714634,10043,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_MO0955600_NIBRS",18845969,0
2017,7589216,9735,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_MO0490300_NIBRS",10639484,0
