"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2017,99334375,112998712
2017,99334566,112998900
2017,99334637,112998969
2017,99334897,112999238
2017,99335058,112999406
2017,99335201,112999542
2017,99335344,112999683
2017,99335355,112999686
2017,99335349,112999683
2017,99335508,112999846
2017,99335668,113000009
2017,99335707,113000030
2017,99336175,113000510
2017,99336175,113000503
2017,99336182,113000517
2017,99336399,113000737
2017,99336582,113000932
2017,99336676,113001023
2017,99336836,113001174
2017,99336934,113001282
2017,99337007,113001342
2017,99337141,113001486
2017,99337616,113001924
2017,99337913,113002262
2017,99338357,113002717
2017,99339718,113004162
2017,99341712,113006227
2017,99341792,113006277
2017,99341776,113006275
2017,99341776,113006273
2017,99342170,113006692
2017,99342170,113006688
2017,99342259,113006806
2017,99343835,113008435
2017,99344951,113009624
2017,99345001,113009665
2017,99345093,113009778
2017,99913529,113585049
2017,99913571,113585058
2017,99913565,113585058
2017,99914125,113585610
2017,99914171,113585665
2017,99914190,113585673
2017,99914190,113585672
2017,99914315,113585807
2017,99914371,113585857
2017,99914385,113585871
2017,99914387,113585871
2017,99914422,113585912
2017,99914453,113585937
2017,99914452,113585938
2017,99914452,113585940
2017,99914617,113586104
2017,99914639,113586119
2017,99914681,113586162
2017,99914806,113586284
2017,99914808,113586284
2017,99914807,113586284
2017,99914821,113586310
2017,99914863,113586350
2017,99916447,113587981
2017,99916955,113588496
2017,99917064,113588599
2017,99917322,113588862
2017,99917654,113589209
2017,99917581,113589129
2017,99917613,113589168
2017,99917761,113589308
2017,99917793,113589354
2017,99917996,113589570
2017,99918279,113589863
2017,99918312,113589893
2017,99918481,113590078
2017,99918481,113590075
2017,99918481,113590076
2017,99918455,113590051
2017,99918454,113590051
2017,99918524,113590125
2017,99918532,113590134
2017,99918830,113590422
2017,99918903,113590501
2017,99919286,113590879
2017,99919483,113591088
2017,99919584,113591191
2017,99367982,113033188
2017,99368021,113033223
2017,99368386,113033617
2017,99368389,113033617
2017,99369320,113034570
2017,99369601,113034844
2017,99369671,113034920
2017,99369705,113034961
2017,99369953,113035202
2017,99369981,113035239
2017,99370028,113035288
2017,99370030,113035288
2017,99370025,113035288
2017,99370048,113035310
2017,99370181,113035428
2017,99370327,113035570
2017,99370325,113035570
2017,99370326,113035570
2017,99370338,113035573
2017,99370337,113035573
2017,99370403,113035630
2017,99370414,113035662
2017,99370536,113035786
2017,99370687,113035950
2017,99370700,113035964
2017,99371017,113036154
2017,99371017,113036155
2017,99371061,113036317
2017,99371252,113036529
2017,99381864,113047275
2017,99382245,113047645
2017,99382311,113047710
2017,99382577,113047933
2017,99382627,113047993
2017,99382779,113048139
2017,99382968,113048325
2017,99383141,113048488
2017,99384336,113049728
2017,99384404,113049805
2017,99384590,113049989
2017,99384692,113050079
2017,99384869,113050267
2017,99384926,113050332
2017,99385051,113050450
2017,99385140,113050548
2017,99385277,113050699
2017,99385302,113050728
2017,99385392,113050818
2017,99385591,113051027
2017,99385661,113051104
2017,99385814,113051259
2017,99385868,113051291
2017,99385868,113051289
2017,99385943,113051376
2017,99386012,113051453
2017,99386015,113051453
2017,99386023,113051453
2017,99386095,113051522
2017,99386142,113051560
2017,99386626,113052047
2017,99386707,113052115
2017,99386707,113052113
2017,99387163,113052606
2017,99387918,113053383
2017,98822860,112484223
2017,98823038,112484407
2017,98823041,112484407
2017,98823094,112484457
2017,99874792,113545087
2017,99874877,113545186
2017,99874961,113545280
2017,99875002,113545332
2017,99875011,113545332
2017,99875042,113545355
2017,99875142,113545462
2017,99875842,113546215
2017,99875912,113546278
2017,99875912,113546282
2017,99875917,113546278
2017,99875990,113546371
2017,99876139,113546530
2017,99876354,113546764
2017,99876508,113546919
2017,99876653,113547002
2017,99876698,113547126
2017,99878295,113548782
2017,99878335,113548845
2017,99878368,113548880
2017,99878364,113548865
2017,99878375,113548878
2017,99878375,113548879
2017,99878411,113548925
2017,99878448,113548942
2017,99878827,113549360
2017,99878877,113549406
2017,99878920,113549441
2017,99878952,113549469
2017,99879081,113549608
2017,99879178,113549711
2017,99879248,113549775
2017,99879295,113549826
2017,99879340,113549841
2017,99879366,113549891
2017,99879422,113549940
2017,99879467,113549982
2017,99879481,113549999
2017,99879481,113550004
2017,99874737,113545034
2017,99874957,113545266
2017,99874957,113545269
2017,99875064,113545383
2017,99875535,113545878
2017,99875730,113546092
2017,99875783,113546149
2017,99875935,113546308
2017,99876085,113546470
2017,99876123,113546506
2017,99876154,113546546
2017,99876556,113546920
2017,99876543,113546920
2017,99876552,113546920
2017,99876564,113546929
2017,99876559,113546920
2017,99878204,113548687
2017,99878246,113548727
2017,99878319,113548829
2017,99878357,113548849
2017,99878513,113549025
2017,99878837,113549362
2017,97789442,111433898
2017,97789473,111433917
2017,97789478,111433917
2017,97789509,111433951
2017,97789534,111433978
2017,97789623,111434066
2017,97789765,111434157
2017,97789885,111434310
2017,97790307,111434725
2017,97790429,111434831
2017,97790435,111434831
2017,97790463,111434865
2017,97790702,111435107
2017,97791112,111435476
2017,97791296,111435677
2017,97791302,111435677
2017,97791401,111435773
2017,97791492,111435875
2017,97791489,111435862
2017,97791677,111436069
2017,97791683,111436069
2017,97791700,111436069
2017,97791996,111436351
2017,97792134,111436522
2017,97792178,111436554
2017,97792319,111436697
2017,97792318,111436697
2017,97792372,111436748
2017,97792375,111436748
2017,97792816,111437192
2017,97792852,111437219
2017,97792962,111437311
2017,97793162,111437526
2017,97793288,111437622
2017,97793334,111437694
2017,97793763,111438123
2017,97793801,111438150
2017,97794121,111438456
2017,97795924,111440150
2017,97796047,111440274
2017,97796128,111440356
2017,97796250,111440481
2017,97796467,111440708
2017,97796499,111440743
2017,97796562,111440793
2017,97796615,111440837
2017,97796673,111440893
2017,97796769,111440980
2017,97796840,111441062
2017,97796864,111441087
2017,97796954,111441177
2017,97797463,111441654
2017,97797548,111441733
2017,97797600,111441779
2017,97797624,111441803
2017,97797672,111441848
2017,97797850,111442020
2017,97797850,111442023
2017,97797886,111442078
2017,97798002,111442186
2017,97798149,111442343
2017,97798305,111442502
2017,97798374,111442561
2017,97798477,111442642
2017,97798555,111442722
2017,97798599,111442748
2017,97798688,111442820
2017,97798765,111442894
2017,97798892,111442994
2017,97799098,111443193
2017,97799123,111443227
2017,97799597,111443685
2017,97799629,111443729
2017,97799661,111443753
2017,97799907,111444012
2017,97799936,111444036
2017,97800127,111444221
2017,97800186,111444282
2017,97800186,111444279
2017,97800186,111444277
2017,97800240,111444340
2017,97800244,111444340
2017,97800299,111444395
2017,97800286,111444395
2017,97800379,111444488
2017,97800466,111444558
2017,97800547,111444640
2017,97800594,111444696
2017,97800669,111444772
2017,97800760,111444842
2017,97800763,111444842
2017,97800760,111444845
2017,97800877,111444978
2017,97800936,111445018
2017,97800936,111445024
2017,97800986,111445076
2017,97801085,111445172
2017,97801109,111445187
2017,97801172,111445241
2017,97801241,111445298
2017,97801354,111445433
2017,97801454,111445526
2017,97801528,111445575
2017,97801528,111445580
2017,97801617,111445677
2017,97801750,111445812
2017,97801823,111445881
2017,97801885,111445948
2017,97801927,111445974
2017,97801935,111445975
2017,97802084,111446159
2017,97802164,111446237
2017,97802360,111446425
2017,97802493,111446563
2017,97802606,111446681
2017,97802697,111446747
2017,97802769,111446829
2017,97802837,111446893
2017,97803213,111447265
2017,97803533,111447526
2017,97803539,111447526
2017,97803563,111447541
2017,97803563,111447542
2017,97803560,111447541
2017,97803560,111447542
2017,97803622,111447608
2017,97803740,111447731
2017,97803851,111447824
2017,97803911,111447879
2017,97803970,111447930
2017,97804022,111447989
2017,97804162,111448130
2017,97804274,111448238
2017,97804334,111448308
2017,97804551,111448511
2017,97804609,111448562
2017,97804618,111448576
2017,97804643,111448602
2017,97804709,111448657
2017,97804714,111448658
2017,97805115,111449075
2017,97805287,111449225
2017,97805279,111449225
2017,97805276,111449225
2017,97805284,111449225
2017,97805353,111449284
2017,97805353,111449282
2017,97805501,111449435
2017,97805601,111449529
2017,97805865,111449778
2017,97805934,111449850
2017,97805996,111449916
2017,97806060,111449975
2017,97807058,111450967
2017,97807058,111450964
2017,99347023,113011769
2017,99347023,113011767
2017,99347222,113011990
2017,99347222,113011992
2017,99347364,113012135
2017,99347458,113012256
2017,99347522,113012314
2017,99347522,113012316
2017,99347865,113012675
2017,99347872,113012675
2017,99347990,113012789
2017,99348094,113012901
2017,99366853,113032021
2017,99366850,113032019
2017,99367258,113032462
2017,99367349,113032557
2017,99367541,113032777
2017,99367837,113033039
2017,99367871,113033060
2017,99367963,113033169
2017,99368061,113033264
2017,99368430,113033621
2017,99368430,113033619
2017,99368823,113034073
2017,99368840,113034086
2017,99368923,113034186
2017,99368967,113034230
2017,99369268,113034517
2017,99369341,113034586
2017,99369341,113034584
2017,99369718,113034968
2017,99369718,113034967
2017,99369790,113035044
2017,99369863,113035125
2017,99370360,113035604
2017,99370368,113035605
2017,99370420,113035663
2017,99370432,113035679
2017,99370434,113035679
2017,99370617,113035873
2017,99370621,113035873
2017,99370673,113035934
2017,99371013,113036274
2017,99371129,113036394
2017,99371259,113036537
2017,99371338,113036615
2017,99371338,113036606
2017,99371533,113036807
2017,99371548,113036820
2017,99371550,113036820
2017,99381867,113047276
2017,99382321,113047673
2017,99382315,113047673
2017,99382616,113047981
2017,99382782,113048128
2017,99382892,113048249
2017,99382954,113048312
2017,99383047,113048396
2017,99383909,113049285
2017,99384318,113049295
2017,99384509,113049914
2017,99384509,113049912
2017,99385017,113050427
2017,99385141,113050549
2017,99385177,113050589
2017,99385631,113051072
2017,99385638,113051072
2017,99385748,113051185
2017,99385786,113051221
2017,99385794,113051221
2017,99385928,113051363
2017,99386008,113051446
2017,99386017,113051446
2017,99386131,113051552
2017,99386221,113051649
2017,99386291,113051717
2017,99386368,113051800
2017,99386461,113051881
2017,99386550,113051970
2017,99386550,113051968
2017,99386666,113052058
2017,99386656,113052058
2017,99386661,113052058
2017,99386640,113052058
2017,99386634,113052058
2017,99386651,113052058
2017,99386812,113052231
2017,99386846,113052265
2017,99387167,113052616
2017,99387287,113052722
2017,99387389,113052823
2017,99387428,113052874
2017,99387467,113052902
2017,99387467,113052900
2017,99387529,113052974
2017,99387537,113052974
2017,99387545,113052974
2017,99387521,113052974
2017,99387689,113053131
2017,99387732,113053185
2017,99387778,113053241
2017,99387806,113053271
2017,99387839,113053300
2017,99387859,113053324
2017,99387884,113053338
2017,99387943,113053394
2017,99387988,113053444
2017,99388063,113053491
2017,99388082,113053514
2017,99388082,113053520
2017,99388284,113053727
2017,99388288,113053725
2017,99388451,113053895
2017,99388552,113053979
2017,99388586,113054021
2017,99388663,113054090
2017,99388732,113054154
2017,99388841,113054246
2017,99388924,113054323
2017,99388946,113054345
2017,99389168,113054537
2017,99389208,113054582
2017,99389268,113054635
2017,99389302,113054651
2017,99389347,113054696
2017,99389444,113054809
2017,99389588,113054944
2017,99389616,113054966
2017,99389637,113054985
2017,99389643,113054985
2017,99389701,113055044
2017,99389740,113055084
2017,99389803,113055142
2017,99389840,113055186
2017,99389855,113055198
2017,99389927,113055263
2017,99389927,113055265
2017,99389988,113055324
2017,99389992,113055324
2017,99390080,113055404
2017,99390104,113055429
2017,99390163,113055485
2017,99390201,113055513
2017,99390241,113055554
2017,99390358,113055660
2017,99390414,113055709
2017,99390471,113055749
2017,106696288,120418225
2017,105300056,119007664
2017,105300377,119008028
2017,105300422,119008059
2017,105300547,119008190
2017,105301546,119009277
2017,105301832,119009563
2017,105302443,119010117
2017,105302443,119010111
2017,105302474,119010149
2017,105302474,119010151
2017,105302551,119010206
2017,105302551,119010204
2017,105302571,119010248
2017,105302670,119010341
2017,105302670,119010339
2017,105302767,119010448
2017,105302890,119010577
2017,105302970,119010654
2017,105303177,119010863
2017,105303206,119010884
2017,105303206,119010881
2017,105303224,119010914
2017,105303255,119010934
2017,105303253,119010929
2017,105303255,119010932
2017,105303306,119010994
2017,105303473,119011159
2017,105303589,119011282
2017,105305131,119012841
2017,105305301,119013028
2017,105305383,119013091
2017,105305383,119013086
2017,105305432,119013162
2017,105305440,119013162
2017,105305531,119013259
2017,105305534,119013259
2017,105306278,119014014
2017,105307190,119014925
2017,105307383,119015156
2017,105307406,119015175
2017,105307406,119015174
2017,105341493,119049829
2017,105341864,119050182
2017,105341854,119050182
2017,105341858,119050182
2017,105341867,119050182
2017,105342073,119050380
2017,105342170,119050476
2017,105342184,119050480
2017,105342360,119050677
2017,105342454,119050763
2017,105342556,119050858
2017,105342661,119050951
2017,105342778,119051080
2017,105342910,119051209
2017,105343438,119051793
2017,105343490,119051837
2017,105343605,119051953
2017,105343611,119051956
2017,105343713,119052064
2017,105343721,119052064
2017,105343886,119052253
2017,105343935,119052297
2017,105343935,119052296
2017,105344100,119052432
2017,105913756,119626965
2017,105913882,119627086
2017,105914053,119627282
2017,105914150,119627375
2017,105914527,119627774
2017,105914585,119627829
2017,105914585,119627828
2017,105914853,119628122
2017,105914881,119628151
2017,105914966,119628246
2017,105915104,119628374
2017,105915147,119628402
2017,105915141,119628398
2017,105915220,119628495
2017,105915446,119628686
2017,105915442,119628691
2017,105915625,119628897
2017,105915773,119629016
2017,105915770,119629016
2017,105915868,119629144
2017,105915997,119629270
2017,105916169,119629425
2017,105916167,119629421
2017,105916342,119629629
2017,105916474,119629771
2017,105916602,119629874
2017,105916666,119629974
2017,105916747,119630048
2017,105916799,119630099
2017,105916928,119630251
2017,105916932,119630251
2017,105917031,119630352
2017,105917191,119630521
2017,105917241,119630574
2017,105917416,119630775
2017,105917506,119630850
2017,105917499,119630850
2017,105917858,119631225
2017,105917858,119631227
2017,105917972,119631342
2017,105917972,119631347
2017,105917976,119631347
2017,105918127,119631534
2017,105918295,119631699
2017,105918389,119631799
2017,105918445,119631847
2017,105918443,119631849
2017,105918519,119631920
2017,105918728,119632148
2017,105918728,119632150
2017,105918796,119632226
2017,105918834,119632239
2017,105918829,119632241
2017,105918834,119632243
2017,105918889,119632326
2017,105918889,119632323
2017,105918937,119632393
2017,105919081,119632548
2017,105919166,119632636
2017,105919451,119632938
2017,105919451,119632932
2017,105919551,119633051
2017,105919876,119633395
2017,105920115,119633643
2017,105920295,119633852
2017,105920295,119633849
2017,105920396,119633953
2017,105920558,119634127
2017,106682730,120404854
2017,106682776,120404907
2017,106683052,120405188
2017,106683106,120405254
2017,106683268,120405386
2017,106321063,120040542
2017,105344416,119052785
2017,105344649,119052997
2017,105344726,119053074
2017,105344774,119053129
2017,105344843,119053146
2017,105345026,119053382
2017,105345069,119053428
2017,105345136,119053498
2017,105345185,119053546
2017,105345603,119053969
2017,105345738,119054093
2017,105345750,119054093
2017,105345777,119054119
2017,105345784,119054123
2017,105345958,119054290
2017,105345958,119054293
2017,105346183,119054532
2017,105346232,119054572
2017,105346372,119054719
2017,105346596,119054940
2017,105346633,119054975
2017,105346787,119055143
2017,105347063,119055408
2017,105347457,119055799
2017,105350474,119058685
2017,105350827,119059052
2017,105354018,119062273
2017,105355476,119063717
2017,105355476,119063711
2017,106663639,120384502
2017,106665131,120386168
2017,106667031,120388175
2017,106667052,120388227
2017,106668856,120390252
2017,106670954,120392563
2017,106670954,120392568
2017,106670997,120392622
2017,106671127,120392766
2017,106671169,120392823
2017,106280956,119998955
2017,106284657,120002787
2017,106284725,120002865
2017,106284781,120002916
2017,106284886,120003025
2017,106284912,120003046
2017,106284904,120003041
2017,106284908,120003041
2017,106285048,120003193
2017,106285048,120003190
2017,106286568,120004730
2017,106286803,120004981
2017,106281509,119999547
2017,106284705,120002840
2017,106284774,120002919
2017,106284849,120002965
2017,106284849,120002974
2017,106284987,120003127
2017,106285023,120003171
2017,106285999,120004166
2017,106286847,120005011
2017,106286918,120005074
2017,106287075,120005260
2017,106287075,120005256
2017,105927673,119641436
2017,105928240,119642008
2017,105928312,119642108
2017,105928344,119642141
2017,105929212,119643061
2017,105929289,119643121
2017,105929289,119643112
2017,105931218,119645066
2017,105931253,119645111
2017,105931452,119645318
2017,105931452,119645314
