"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2017,27095421,92587217,1,06-OCT-17,2,"N",23,5,36,"F",1,2,"","","",36,0
2017,27095559,92587872,1,18-OCT-17,3,"N",23,5,45,"M",1,2,"","","",45,0
2017,27095741,92588923,1,08-SEP-17,1,"N",23,5,51,"M",2,2,"","","",51,0
2017,27096147,92590806,3,14-JUL-17,2,"N",23,5,20,"M",2,2,"","","",20,0
2017,27096158,92590846,2,25-JUL-17,1,"N",23,5,18,"F",1,2,"","","",18,0
2017,27096157,92590846,1,25-JUL-17,1,"N",23,5,16,"F",1,2,"","R","",16,0
2017,27096161,92590875,1,31-JUL-17,1,"N",23,5,35,"M",1,2,"","","",35,0
2017,27096246,92591139,1,27-SEP-17,1,"N",16,5,16,"F",1,2,"","R","",16,0
2017,27107731,92631071,1,29-JUL-17,3,"N",16,5,29,"M",1,1,"","","",29,0
2017,27752094,94770287,1,18-DEC-17,1,"N",16,5,19,"M",2,2,"","","",19,0
2017,27752550,94771254,1,18-NOV-17,2,"C",23,5,31,"M",1,2,"","","",31,0
2017,27753735,94773951,1,22-DEC-17,2,"N",23,5,25,"F",1,2,"","","",25,0
2017,27756031,94779360,1,01-FEB-17,1,"N",16,5,30,"F",1,2,"","","",30,0
2017,26929170,92080284,1,05-SEP-17,1,"N",49,5,35,"M",2,2,"","","",35,0
2017,26929908,92081691,1,04-FEB-17,1,"N",16,5,39,"F",1,2,"","","",39,0
2017,26930442,92082944,1,20-AUG-17,1,"N",23,5,53,"M",1,2,"","","",53,0
2017,26930571,92083304,1,06-SEP-17,1,"N",37,5,45,"M",1,2,"","","",45,0
2017,26940479,92114496,1,01-SEP-17,3,"N",16,5,29,"F",1,3,"","","",29,0
2017,26943038,92123111,1,23-AUG-17,1,"C",27,5,24,"M",2,2,"","","",24,0
2017,26943496,92124506,1,26-AUG-17,2,"N",51,5,39,"M",2,2,"","","",39,0
2017,26943790,92125716,1,28-AUG-17,2,"N",51,5,30,"M",1,2,"","","",30,0
2017,26944657,92129071,1,01-SEP-17,1,"N",16,5,33,"M",2,2,"","","",33,0
2017,26945014,92130985,1,08-SEP-17,1,"C",45,5,49,"F",2,2,"","","",49,0
2017,26945085,92131197,1,09-SEP-17,3,"C",35,5,22,"M",1,2,"","","",22,0
2017,26945126,92131275,1,10-SEP-17,2,"N",51,5,41,"F",2,2,"","","",41,0
2017,27756219,94779709,1,11-SEP-17,1,"N",16,5,31,"F",1,2,"","","",31,0
2017,27756264,94779787,2,25-SEP-17,2,"N",23,5,62,"F",1,2,"","","",62,0
2017,27756772,94780915,1,31-DEC-17,1,"N",51,5,42,"M",1,2,"","","",42,0
2017,27094165,92582893,1,14-OCT-17,3,"N",35,5,27,"M",1,2,"","","",27,0
2017,27094167,92582893,2,14-OCT-17,3,"N",16,5,27,"M",1,2,"","","",27,0
2017,27094338,92583549,1,20-OCT-17,3,"N",53,5,23,"M",1,2,"","","",23,0
2017,26925455,92072856,1,01-SEP-17,1,"N",51,5,40,"M",1,2,"","","",40,0
2017,26926117,92074118,1,14-SEP-17,3,"N",51,5,27,"M",1,2,"","","",27,0
2017,27094157,92582858,1,08-OCT-17,3,"N",51,5,32,"M",1,2,"","","",32,0
2017,27094221,92583109,1,06-OCT-17,3,"C",21,5,31,"M",2,2,"","","",31,0
2017,27094404,92583767,1,24-OCT-17,1,"N",16,5,34,"M",2,2,"","","",34,0
2017,27094610,92584395,1,22-OCT-17,2,"N",16,5,39,"F",1,2,"","","",39,0
2017,27094726,92584706,1,24-OCT-17,2,"N",51,5,21,"M",1,1,"","","",21,0
2017,27094771,92584895,1,16-OCT-17,1,"N",16,5,27,"F",1,3,"","","",27,0
2017,27094825,92585016,1,03-OCT-17,2,"N",5,5,13,"M",3,3,"","R","",13,0
2017,27094992,92585582,1,08-NOV-17,2,"N",44,5,33,"M",1,2,"","","",33,0
2017,27095255,92586501,1,20-SEP-17,2,"N",23,5,55,"M",1,2,"","","",55,0
2017,27095283,92586595,1,24-SEP-17,3,"N",35,5,36,"M",1,2,"","","",36,0
2017,27095317,92586729,1,28-SEP-17,3,"N",39,5,38,"F",1,2,"","","",38,0
2017,27095369,92587015,1,02-OCT-17,3,"N",23,5,18,"M",1,2,"","","",18,0
2017,27095452,92587430,1,10-OCT-17,3,"N",51,5,54,"F",1,2,"","","",54,0
2017,27095589,92588052,1,22-OCT-17,2,"N",35,5,18,"M",1,2,"","","",18,0
2017,27751700,94769132,3,19-DEC-17,2,"N",51,5,13,"M",1,2,"","H","",13,0
2017,27751760,94769245,2,06-DEC-17,3,"N",16,5,18,"M",1,2,"","","",18,0
2017,27751755,94769245,1,06-DEC-17,3,"N",48,5,20,"F",1,2,"","","",20,0
2017,27751884,94769604,1,01-DEC-17,3,"N",16,5,35,"F",1,2,"","","",35,0
2017,27751947,94769771,1,23-DEC-17,3,"N",51,5,16,"M",1,1,"","R","",16,0
2017,27752006,94769960,1,01-DEC-17,1,"N",27,5,23,"M",1,2,"","","",23,0
2017,27752036,94770068,1,20-DEC-17,3,"N",40,5,19,"M",1,2,"","","",19,0
2017,27752139,94770374,1,30-NOV-17,1,"C",40,5,25,"M",1,2,"","","",25,0
2017,27752154,94770407,1,15-DEC-17,1,"C",45,5,47,"M",2,2,"","","",47,0
2017,27752357,94770861,1,10-DEC-17,3,"C",16,5,18,"M",1,2,"","","",18,0
2017,27752595,94771359,1,16-NOV-17,1,"C",39,5,51,"M",1,2,"","","",51,0
2017,26945572,92133500,1,19-SEP-17,3,"N",51,5,54,"F",2,2,"","","",54,0
2017,26945677,92134009,1,21-SEP-17,2,"C",45,5,19,"F",2,2,"","","",19,0
2017,26924864,92071752,1,10-JUN-17,3,"N",49,5,55,"M",1,2,"","","",55,0
