"DATA_YEAR","VICTIM_ID","INJURY_ID"
2017,99328818,5
2017,99329651,4
2017,99330233,5
2017,99330477,5
2017,99330813,5
2017,99332526,4
2017,99332573,3
2017,99332621,5
2017,99332820,4
2017,99333490,5
2017,99334910,5
2017,99335505,4
2017,99335734,5
2017,99335729,5
2017,99335740,5
2017,99336665,5
2017,99336847,5
2017,99337019,5
2017,99339268,4
2017,99339272,4
2017,99339381,4
2017,99339559,4
2017,99341675,5
2017,99344964,5
2017,99347982,5
2017,99368356,5
2017,99368358,5
2017,99368379,5
2017,99368737,4
2017,99368724,5
2017,99368733,5
2017,99368708,4
2017,99369095,3
2017,99369465,5
2017,99369501,4
2017,99372178,3
2017,99373122,4
2017,99373124,4
2017,99374337,4
2017,99376063,3
2017,99378716,4
2017,99381816,4
2017,99382475,4
2017,99382764,4
2017,99383072,5
2017,99383318,5
2017,99383816,5
2017,99383896,4
2017,99384677,5
2017,99384976,5
2017,99385176,8
2017,99385176,3
2017,99385662,4
2017,99385723,4
2017,99385920,5
2017,99386021,5
2017,99386791,5
2017,99386873,3
2017,99387148,4
2017,99387197,5
2017,99387199,5
2017,99387193,4
2017,99387270,4
2017,99387825,5
2017,99387872,4
2017,99387906,3
2017,99388513,5
2017,99388694,3
2017,99388727,4
2017,99388815,5
2017,99389077,6
2017,99389090,2
2017,99389640,4
2017,99390473,5
2017,99390666,4
2017,99390668,4
2017,99390765,8
2017,99390774,4
2017,99391201,4
2017,99391428,4
2017,99391634,4
2017,99329120,4
2017,99334020,5
2017,99334653,5
2017,99334651,4
2017,99334725,3
2017,99335325,4
2017,99335427,5
2017,99335418,3
2017,99335549,4
2017,99336522,4
2017,99336573,5
2017,99339864,5
2017,99340207,4
2017,99341576,4
2017,99344986,5
2017,99345225,5
2017,99365822,5
2017,99372001,6
2017,99372003,5
2017,99372008,5
2017,99372160,4
2017,99372995,5
2017,99374254,5
2017,99374282,5
2017,99374290,5
2017,99378515,5
2017,99381981,4
2017,99381975,5
2017,99382484,4
2017,99383078,5
2017,99383271,4
2017,99384502,5
2017,99384560,5
2017,99384571,5
2017,99384955,5
2017,99385590,3
2017,99385609,4
2017,99385933,3
2017,99386264,4
2017,99386309,5
2017,99386659,4
2017,99386992,4
2017,99387308,5
2017,99387642,5
2017,99387635,5
2017,99387619,4
2017,99388627,5
2017,99388644,4
2017,99388856,4
2017,99389140,4
2017,99389274,4
2017,99389354,4
2017,99389514,5
2017,99389506,5
2017,99389627,4
2017,99389856,4
2017,99389854,5
2017,99390120,5
2017,99390194,4
2017,99390710,5
2017,99390743,4
2017,99391347,4
2017,99391376,5
2017,99391367,5
2017,99391373,5
2017,99391723,5
2017,99329738,4
2017,99330856,4
2017,99331051,5
2017,99337683,5
2017,99365312,3
2017,99365635,5
2017,99365838,4
2017,99366063,5
2017,99366224,5
2017,99367552,5
2017,99367984,5
2017,99367981,5
2017,99371326,3
2017,99371518,4
2017,99371541,5
2017,99371540,5
2017,99371702,5
2017,99371705,5
2017,99371703,5
2017,99371708,5
2017,99371743,4
2017,99372718,5
2017,99372930,5
2017,99373052,4
2017,99373269,5
2017,99375312,5
2017,99375317,4
2017,99375428,5
2017,99375412,5
2017,99375788,4
2017,99375799,5
2017,99376135,3
2017,99377014,5
2017,99377081,4
2017,99377216,1
2017,99379884,4
2017,99380086,4
2017,99382020,5
2017,99383106,4
2017,99383103,4
2017,99383148,5
2017,99383457,5
2017,99383527,5
2017,99383517,4
2017,99383502,4
2017,99383578,4
2017,99384618,3
2017,99385009,5
2017,99385237,5
2017,99385796,4
2017,99386281,4
2017,99387084,5
2017,99387715,4
2017,99388440,5
2017,99388656,5
2017,99388807,5
2017,99388813,5
2017,99389007,5
2017,99389102,4
2017,99389587,4
2017,99390340,5
2017,99390671,5
2017,99390689,5
2017,99390674,5
2017,99390682,5
2017,99390694,5
2017,99390676,5
2017,99390953,4
2017,99391182,5
2017,99391249,4
2017,99391370,4
2017,99391614,5
2017,99391678,5
2017,99391737,5
2017,99391752,5
2017,99391730,4
2017,99391746,5
2017,99875049,4
2017,99881651,4
2017,99881787,5
2017,99883170,5
2017,99883382,5
2017,99901727,5
2017,99902397,5
2017,99902608,2
2017,99902729,5
2017,99902918,5
2017,99902917,4
2017,99903416,4
2017,99903948,5
2017,99907087,5
2017,99907751,5
2017,99909183,4
2017,99909490,4
2017,99910059,4
2017,99910064,5
2017,99910062,5
2017,99910859,5
2017,99911180,4
2017,99911177,4
2017,99912371,5
2017,99912369,5
2017,99913453,4
2017,99914069,8
2017,99914377,5
2017,99914792,4
2017,99914801,5
2017,99915079,5
2017,99915937,5
2017,99915940,5
2017,99916410,5
2017,99916959,4
2017,99918105,5
2017,99918459,5
2017,99918766,4
2017,99918781,5
2017,99918813,4
2017,99919440,5
2017,99921760,4
2017,99921759,5
2017,99921877,5
2017,99921863,5
2017,99922056,5
2017,99922385,4
2017,99922402,4
2017,99923119,5
2017,99923137,4
2017,99923402,5
2017,99924216,5
2017,99924229,5
2017,99924640,5
2017,99925246,4
2017,99925377,4
2017,99925470,5
2017,99925581,4
2017,99874648,5
2017,99875347,4
2017,99878337,5
2017,99880826,5
2017,99881061,5
2017,99881177,4
2017,99881332,4
2017,99881929,5
2017,99881932,5
2017,99882049,4
2017,99882225,4
2017,99882231,4
2017,99883533,4
2017,99883530,4
2017,99887074,5
2017,99902178,5
