"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2017,102569514,6,239,28-DEC-17,109251637
2017,102569011,16,300,,109251035
2017,102569014,16,300,29-MAR-17,109251040
2017,102569133,19,65,27-JUN-17,109251173
2017,102569128,19,65,,109251165
2017,102569464,10,,,109251562
2017,102578640,51,0,,109263188
2017,102578640,61,550,,109263179
2017,102578641,3,1,10-SEP-17,109263189
2017,102578640,25,105,,109263175
2017,102578640,9,0,,109263185
2017,102578640,63,548,,109263180
2017,102578640,6,500,,109263169
2017,102578640,20,100,,109263171
2017,102578640,3,1,,109263182
2017,102578709,63,1,,109263288
2017,102579154,11,1,,109263867
2017,102579154,10,,,109263869
2017,101456735,4,500,,107801442
2017,101456867,9,0,,107801615
2017,101457158,19,15,,107801982
2017,101457158,61,1,,107801985
2017,101457183,16,175,,107802014
2017,101457183,17,2750,,107802022
2017,101457183,36,40,,107802025
2017,101457250,19,40,,107802120
2017,101502491,36,260,,107858109
2017,101502491,3,1,,107858115
2017,101502491,63,300,,107858113
2017,102589704,42,1500,,109277873
2017,101955947,19,339,,108443855
2017,101956208,25,100,,108444148
2017,101956208,6,300,,108444145
2017,101956208,63,1,,108444168
2017,101956331,20,260,,108444312
2017,101956792,35,700,,108444859
2017,101956800,36,1840,,108444865
2017,101956800,63,400,,108444866
2017,101956853,38,100,,108444933
2017,101956917,19,43,09-APR-17,108445012
2017,101956913,19,43,,108445006
2017,101957174,29,100,,108445311
2017,101462728,11,2,,107809256
2017,101462728,10,,,107809259
2017,101489341,20,65,,107841318
2017,101489341,51,0,,107841328
2017,101489341,25,20,,107841322
2017,101489493,38,1,,107841530
2017,101489636,51,0,,107841697
2017,101489771,13,250,,107841855
2017,101489823,3,2000,15-DEC-17,107841917
2017,101489820,3,2000,,107841912
2017,101489889,26,1200,,107842006
2017,101489889,63,200,,107842008
2017,101489889,20,10,,107842010
2017,101491027,3,1,,107843384
2017,101491131,63,102,,107843501
2017,101491131,38,80,,107843503
2017,101491147,58,3650,,107843524
2017,101491147,26,8155,,107843507
2017,101491147,36,1085,,107843508
2017,101491147,7,980,,107843502
2017,101491147,60,800,,107843527
2017,101491147,17,200,,107843504
2017,101491147,8,60,,107843531
2017,101491147,63,585,,107843528
2017,101491147,45,250,,107843513
2017,101491147,38,150,,107843511
2017,101491191,63,9,,107843563
2017,101491330,19,30,21-DEC-17,107843721
2017,101491327,19,30,,107843717
2017,101491672,51,0,,107844158
2017,101491672,20,1350,,107844155
2017,101491687,63,0,,107844174
2017,101491739,6,50,,107844240
2017,101491739,63,945,,107844238
2017,101491739,20,100,,107844234
2017,101491739,7,200,,107844232
2017,101491771,63,62,,107844287
2017,101491915,3,9999,22-DEC-17,107844475
2017,101491913,3,10000,,107844473
2017,101491913,36,4,,107844474
2017,101492053,20,60,,107844634
2017,101492053,9,0,,107844638
2017,101492053,51,0,,107844639
2017,101492053,25,70,,107844630
2017,101492764,3,1,24-DEC-17,107845511
2017,101492760,3,1,,107845506
2017,101492760,67,1,,107845508
2017,101492760,60,600,,107845503
2017,101492760,63,4931,,107845505
2017,101492760,17,651,,107845500
2017,101493294,63,25,,107846168
2017,101493294,13,625,,107846153
2017,101493728,67,1,,107846694
2017,101493917,63,0,,107846939
2017,101494184,63,130,,107847245
2017,101494224,3,2,,107847294
2017,101494534,29,1,,107847705
2017,101494557,51,0,,107847741
2017,101494557,25,922,,107847736
2017,101494557,3,8100,,107847733
2017,101494560,3,100,28-DEC-17,107847743
2017,101495068,10,,,107848399
2017,101495072,3,1,,107848401
2017,101495290,51,0,,107848683
2017,101495290,61,200,,107848591
2017,101495307,52,0,,107848704
2017,101495396,20,500,,107848813
2017,101495707,38,1,,107849201
2017,101495783,36,4500,,107849287
2017,101495965,3,25,,107849530
2017,101496032,38,250,,107849605
2017,101496107,3,200,05-JAN-18,107849701
2017,101496103,3,300,,107849696
2017,101496344,3,10000,,107849991
2017,101496564,3,2,,107850256
2017,101496592,9,0,,107850293
2017,101496616,20,700,,107850329
2017,101496802,17,1251,,107850561
2017,101496818,37,40000,,107850581
2017,101954956,63,0,,108442598
2017,101955356,61,1000,,108443095
2017,101955486,10,,,108443256
