bias_id,offense_id
21,79973179
21,79984180
21,79984009
21,79984182
21,79981989
21,79955416
21,79969416
21,79981992
21,79985391
21,79984016
21,79985370
21,79981969
21,79985371
21,79988860
21,79981970
21,79988861
21,79983984
21,79981223
21,79983368
21,79977070
21,79981224
21,79981971
21,79977071
21,79983369
21,79956225
21,79960528
21,79959308
21,79961367
21,79953353
21,79981972
21,79985372
21,79988862
21,79983370
21,79983985
21,79983986
21,79981973
21,79977845
21,79981225
21,79981226
21,79981227
21,79977846
21,79983987
21,79983988
21,79983989
21,79981974
21,79985373
21,79988863
21,79988864
21,79977847
21,79983990
21,79983991
21,79985374
21,79961451
21,79961459
21,79968580
21,79976146
21,79975965
21,79953338
21,79962188
21,79958438
21,79958439
21,79950262
21,79950263
21,79954079
21,79952520
21,79950264
21,79954080
21,79950265
21,79955342
21,79958440
21,79958441
21,79950266
21,79955343
21,79958442
21,79954081
21,79958443
21,79954082
21,79955344
21,79950337
21,79955345
21,79952521
21,79950338
21,79958444
21,79954338
21,79950339
21,79950267
21,79950268
21,79952522
21,79954339
21,79950340
21,79955346
21,79952523
21,79954340
21,79950341
21,79950269
21,79950270
21,79954341
21,79954083
21,79958445
21,79954084
21,79952524
21,79958446
21,79955347
21,79955348
21,79950271
21,79952525
21,79950272
21,79950273
21,79954342
21,79954343
21,79958447
21,79955349
21,79958448
21,79950274
21,79952526
21,79954085
21,79958449
21,79950275
21,79954344
21,79955350
21,79958450
21,79950276
21,79954345
21,79955351
21,79958451
21,79954346
21,79958452
21,79954347
21,79950277
21,79954086
21,79950370
21,79951061
21,79950371
21,79954116
21,79954117
21,79955387
21,79954118
21,79953311
21,79954119
21,79959237
21,79955388
21,79950372
21,79951062
21,79954120
21,79954384
21,79954385
21,79954121
21,79954124
21,79951065
21,79953320
21,79955395
21,79954087
21,79954348
21,79955352
21,79958453
21,79954349
21,79955353
21,79958454
21,79952527
21,79952528
21,79952529
21,79955354
21,79951036
21,79952530
21,79951037
21,79951038
21,79954350
21,79951039
21,79958455
21,79954351
21,79954352
21,79951040
21,79955355
21,79951041
21,79951042
21,79951043
21,79958456
21,79955356
21,79950342
21,79952531
21,79951044
21,79958457
21,79958458
21,79958459
21,79952532
21,79951045
21,79954353
21,79954354
21,79952533
21,79954355
21,79955357
21,79950343
21,79954356
21,79954357
21,79950344
21,79950345
21,79955358
21,79955359
21,79951046
21,79950346
21,79952534
21,79954358
21,79950347
21,79958460
21,79955360
21,79954088
21,79952535
21,79958461
21,79954089
21,79958462
21,79954359
21,79958463
21,79954360
21,79954361
21,79954090
21,79950348
21,79952536
21,79955361
21,79958464
21,79951047
21,79954091
21,79958465
21,79954092
21,79954362
21,79952511
21,79950252
21,79946121
21,79954070
21,79952512
21,79954071
21,79949258
21,79950253
21,79950326
21,79950254
21,79946122
21,79950255
21,79950327
21,79949259
21,79949260
21,79949261
21,79950328
21,79950329
21,79952513
21,79946123
21,79950256
21,79950330
21,79952514
21,79954072
21,79955333
21,79952515
21,79950331
21,79950257
21,79950332
21,79955334
21,79946124
21,79952516
21,79952517
21,79958432
21,79958433
21,79958434
21,79955335
21,79950333
21,79955336
21,79954331
21,79954073
21,79958435
21,79958436
21,79954074
21,79954332
21,79950258
21,79952518
21,79950259
21,79955337
21,79954075
21,79950334
21,79954333
21,79950260
21,79954334
21,79954076
21,79954335
21,79952519
21,79958437
21,79954336
21,79954077
21,79954078
21,79954337
21,79955338
21,79950335
21,79955339
21,79950261
21,79955340
21,79950336
21,79955341
21,79954373
21,79954108
21,79950359
21,79951053
21,79955374
21,79954109
21,79954110
21,79959227
21,79950360
21,79954374
21,79955375
21,79954375
21,79950361
21,79951054
21,79959228
21,79953303
21,79959229
21,79959230
21,79955376
21,79954376
21,79954377
21,79959231
21,79954378
21,79959232
21,79954111
21,79955377
21,79950362
21,79950363
21,79954379
21,79953304
21,79951055
21,79954380
21,79950364
21,79953305
21,79959233
21,79959234
21,79951056
21,79959235
21,79955378
21,79951057
21,79954112
21,79955379
21,79954113
21,79951058
21,79950365
21,79954114
21,79950366
21,79959236
21,79955380
21,79954381
21,79953306
21,79955381
21,79955382
21,79955383
21,79951059
21,79955384
21,79954382
21,79953307
21,79953308
21,79950367
21,79953309
21,79953310
21,79951060
21,79950368
21,79954383
21,79955385
21,79955386
21,79950369
21,79954115
21,79946120
21,79954067
21,79954068
21,79950322
21,79950249
21,79952509
21,79950323
21,79954069
21,79952510
21,79954330
21,79950250
21,79950251
21,79950324
21,79950325
21,79954093
21,79958466
21,79952537
21,79950349
21,79950350
21,79950351
21,79952538
21,79954094
21,79955362
21,79952539
21,79950352
21,79950353
21,79952540
21,79954095
21,79952541
21,79954096
21,79954097
21,79954098
21,79951048
21,79954363
21,79951049
21,79958467
21,79958468
21,79954099
21,79950354
21,79952542
21,79954364
21,79955363
21,79954365
21,79958469
21,79954100
21,79955364
21,79954366
21,79954101
21,79954102
21,79951050
21,79954103
21,79952543
21,79955365
21,79958470
21,79958471
21,79954367
21,79954104
21,79954105
21,79950355
21,79952544
21,79954368
21,79951051
21,79955366
21,79950356
