"DATA_YEAR.x" "INCIDENT_ID" "PROP_LOSS_NAME" "PROP_LOSS_DESC" "PROPERTY_VALUE" "PROP_DESC_NAME"
"49" 2017 89448728 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"50" 2017 89448743 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1400 "Other"
"51" 2017 90414989 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 300 "Computer Hard/ Software"
"52" 2017 90415038 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 20 "Purse/ Wallet"
"53" 2017 90415038 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 100 "Money"
"54" 2017 90415038 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1 "Other"
"55" 2017 90415064 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 220 "Household Goods"
"56" 2017 90415064 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 150 "Structure/ Other"
"57" 2017 90415095 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"58" 2017 90415095 "Seized" "Seized (to impound property that was not previously stolen)" 15 "Alcohol"
"59" 2017 90415095 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"60" 2017 90415105 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"61" 2017 90415128 "None" "None" NA NA
"62" 2017 90415202 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"63" 2017 90415202 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"64" 2017 90415263 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 32000 "Automobile"
"65" 2017 89448411 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 1000 "Structure/ Other commercial"
"66" 2017 89448462 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 6000 "Automobile"
"67" 2017 89448558 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 650 "Other"
"68" 2017 89448764 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"69" 2017 89448764 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"70" 2017 89448793 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"71" 2017 89448815 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"72" 2017 89448828 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 266 "Money"
"73" 2017 89854016 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 4141 "Money"
"74" 2017 89854048 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 750 "Structure/ Other"
"75" 2017 90414979 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 250 "Structure/ Single dwelling"
"76" 2017 90415009 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"77" 2017 90415009 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"78" 2017 90415118 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 320 "Firearms"
"79" 2017 90415135 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 350 "Tools"
"80" 2017 90415135 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 120 "Computer Hard/ Software"
"81" 2017 90415135 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 600 "Radio/ TV/ VCR"
"82" 2017 90415180 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1 "Other"
"83" 2017 90415200 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 100 "Purse/ Wallet"
"84" 2017 90415200 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 0 "Credit/ Debit cards"
"85" 2017 90415207 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 385 "Vehicle Parts"
"86" 2017 90415222 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"87" 2017 90415222 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"88" 2017 90415228 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"89" 2017 90415228 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"90" 2017 90415230 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 12500 "Automobile"
"91" 2017 90415247 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"92" 2017 90415255 "None" "None" NA NA
"93" 2017 90415268 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"94" 2017 90415268 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"95" 2017 90415278 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 600 "Other"
"96" 2017 88884908 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 600 "Other"
"97" 2017 88884949 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 315 "Purse/ Wallet"
"98" 2017 88884949 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 20 "Money"
