"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2017,9,121281035
2017,6,119966436
2017,6,119966429
2017,6,119966589
2017,6,119966651
2017,6,119966699
2017,6,119967445
2017,9,119968509
2017,6,119968606
2017,8,119968606
2017,6,119968678
2017,8,119968678
2017,6,121281502
2017,6,121281498
2017,9,119972177
2017,6,119972225
2017,6,119972228
2017,9,119972419
2017,9,119972754
2017,9,119972941
2017,9,119974733
2017,5,119978128
2017,5,119979626
2017,8,119980323
2017,6,119980439
2017,6,121281572
2017,9,119982665
2017,9,119982826
2017,9,119983130
2017,6,119983138
2017,9,119983548
2017,8,119984226
2017,6,119988776
2017,7,119990905
2017,6,119990976
2017,7,119991139
2017,9,119992528
2017,9,119992647
2017,6,121284062
2017,6,121284060
2017,6,121288844
2017,6,121288843
2017,6,120818172
2017,6,120823388
2017,6,120804745
2017,6,120804746
2017,6,120819375
2017,6,120819377
2017,3,120821822
2017,6,120821822
2017,6,120821826
2017,3,120822634
2017,7,120822634
2017,3,120822639
2017,7,120822639
2017,1,120823258
2017,6,120823258
2017,6,120823336
2017,6,120823387
2017,6,120823385
2017,8,120712043
2017,8,120712039
2017,6,120712110
2017,6,120712111
2017,8,120712247
2017,6,120712483
2017,9,120713397
2017,1,120714077
2017,9,120715255
2017,9,120715895
2017,8,120716362
2017,9,120717106
2017,9,120717529
2017,5,120717812
2017,2,120717877
2017,8,120718176
2017,6,120718894
2017,9,120718907
2017,3,120719040
2017,9,120719252
2017,9,120719287
2017,9,120719412
2017,9,120719896
2017,1,120720168
2017,9,120720411
2017,9,120720610
2017,9,120720744
2017,9,120721075
2017,6,120725393
2017,6,120725395
2017,2,120725555
2017,6,120725581
2017,9,120725719
2017,1,120725855
2017,6,120726331
2017,6,120726588
2017,6,120726838
2017,6,120726945
2017,8,120727158
2017,8,120727154
2017,6,120727283
2017,2,120727390
2017,6,120727532
2017,6,120727533
2017,6,120727947
2017,6,120728061
2017,6,120728127
2017,8,120728127
2017,6,120728128
2017,8,120728128
2017,6,120728161
2017,8,120728161
2017,6,120728166
2017,8,120728166
2017,6,120728169
2017,8,120728169
2017,6,120728329
2017,8,120728726
2017,6,120728817
2017,6,120728821
2017,2,120729025
2017,2,120729031
2017,2,120729028
2017,9,120729385
2017,6,120729528
2017,6,120729533
2017,6,120729530
2017,9,120729596
2017,9,120729613
2017,6,120729894
2017,9,120731091
2017,6,120731115
2017,6,120731112
2017,6,120731247
2017,8,120731247
2017,6,120731250
2017,8,120731250
2017,6,120731309
2017,8,120731309
2017,3,120731309
2017,6,120731311
2017,8,120731311
2017,3,120731311
2017,6,120731313
2017,8,120731313
2017,3,120731313
2017,9,120731361
2017,9,120731370
2017,6,120731415
2017,8,120731415
2017,7,120731415
2017,6,120731413
2017,8,120731413
2017,7,120731413
2017,6,120731426
2017,6,120731535
2017,8,120731535
2017,7,120731535
2017,6,120731533
2017,8,120731533
2017,7,120731533
2017,6,120731575
2017,8,120731575
2017,7,120731575
2017,6,120731569
2017,6,120731574
2017,6,120731844
2017,6,120731842
2017,8,120731842
2017,6,120731843
2017,6,120731977
2017,6,120731981
2017,9,120732039
2017,6,120732244
2017,8,120732244
2017,6,120732351
2017,6,120732598
2017,6,120733606
2017,6,120733664
2017,8,120733664
2017,6,120733759
2017,9,120734096
2017,5,120734105
2017,8,120734105
2017,9,120734190
2017,6,120734533
2017,6,120734529
2017,9,120734757
2017,9,120734831
2017,9,120734826
2017,6,120735048
2017,6,120735174
2017,6,120735173
2017,6,120735187
2017,6,120735191
2017,6,120735193
2017,6,120735248
2017,6,120735249
2017,6,120735499
2017,6,120735501
2017,6,120735668
2017,9,120735701
2017,6,120735714
2017,9,120735738
2017,6,120735763
2017,9,120735882
2017,9,120737469
2017,6,120737529
2017,6,120737532
2017,6,120737627
2017,6,120737625
2017,9,120738887
2017,3,120739326
2017,6,120739326
2017,3,120739323
2017,6,120739323
2017,6,120739524
2017,6,120739802
2017,1,120739806
2017,3,120739806
2017,6,120739806
2017,6,120739797
2017,1,120739797
2017,9,120739937
2017,7,120739963
2017,6,120740076
2017,6,120740070
2017,6,120740066
2017,9,120740436
2017,8,120740582
2017,6,120740822
2017,8,120741457
2017,6,120741500
2017,6,120741491
2017,6,120741495
2017,6,119966034
2017,6,119967971
2017,6,119967974
2017,9,119968758
2017,9,119968866
2017,9,119969466
2017,6,119969715
2017,6,119970118
2017,9,119970105
2017,8,119970647
2017,6,119970886
2017,6,119971229
2017,6,119971222
2017,6,119973537
2017,6,119973534
2017,8,119973615
2017,6,119974151
2017,6,119974150
2017,2,119975629
2017,6,119976001
2017,6,119979393
2017,6,119979396
2017,3,119982706
2017,6,119983632
2017,9,119983996
2017,9,119984049
2017,9,119984180
2017,9,119984332
2017,7,119987970
2017,7,119987968
2017,9,119988848
2017,6,119989672
2017,9,119989817
2017,8,119990279
2017,9,119991653
2017,9,119991687
2017,9,119992508
2017,9,120615509
2017,6,120616190
2017,6,120616193
2017,6,120618150
2017,6,120619415
2017,6,120619534
2017,6,120619545
2017,3,120620549
2017,1,120620549
2017,1,120620552
2017,3,120620552
2017,6,120620774
2017,3,120620770
2017,6,120620884
2017,6,120620887
2017,2,120620922
2017,3,120621013
2017,2,120621661
2017,3,120622827
2017,6,120623119
2017,6,120623121
2017,6,120623165
2017,6,120623168
2017,6,120623238
2017,6,120623234
2017,6,120623830
2017,9,120624138
2017,6,120624675
2017,9,120624720
2017,6,120625054
2017,6,120625534
2017,8,120625963
2017,6,120626880
2017,8,120626880
2017,8,120627050
2017,6,120627045
2017,9,120627329
2017,6,120627492
2017,9,120627552
2017,6,120627771
2017,8,120628670
2017,6,120628670
2017,1,120628670
2017,6,120628673
2017,1,120628673
2017,8,120628673
2017,6,120630318
2017,6,120630537
2017,6,120631880
2017,6,120633200
2017,3,120634414
2017,6,120635044
2017,6,120635343
2017,9,120636001
2017,9,120636018
2017,9,120636362
2017,9,120636616
2017,6,120636784
2017,6,120636787
2017,6,120636799
2017,8,120636926
2017,8,120636922
2017,9,120637120
2017,6,120637285
2017,7,120637279
2017,6,120637279
2017,8,120637279
2017,8,120637339
2017,6,120637339
2017,6,120637343
2017,1,120637353
2017,8,120637353
2017,6,120637535
2017,6,120637538
2017,6,120637636
2017,6,120637629
2017,6,120638236
2017,6,120638228
2017,9,120638335
2017,1,120638584
2017,6,120638584
2017,6,120638836
2017,8,120638836
2017,7,120639130
2017,6,120639352
2017,6,120639486
2017,3,120639486
2017,1,120639649
2017,2,120639649
2017,6,120639649
2017,9,120640536
2017,9,120640599
2017,9,120640669
2017,9,120640863
2017,9,120641055
2017,9,120641392
2017,9,120641485
2017,9,120641692
2017,9,120641765
2017,9,120641776
2017,8,120642182
2017,6,120642182
2017,1,120642182
2017,6,120642180
2017,6,120642185
2017,6,120642305
2017,3,120642379
2017,9,120642390
2017,6,120642398
2017,1,120642463
2017,9,120642676
2017,6,120642722
2017,8,120642722
2017,8,120642720
2017,6,120642720
2017,6,120642751
2017,6,120642752
2017,9,120642756
2017,8,120642774
2017,9,120643067
2017,8,120643252
2017,8,120643253
2017,6,120643259
2017,9,120643446
2017,1,120643499
2017,8,120643499
2017,1,120643496
2017,8,120643496
2017,6,120644001
2017,6,120644217
2017,6,120644263
2017,6,120644272
2017,9,120644862
2017,5,120645024
2017,6,120645024
2017,6,120645026
2017,5,120645026
2017,5,120645044
2017,6,120645044
2017,6,120645038
2017,6,120645041
2017,6,120645424
2017,6,120645428
2017,9,120645523
2017,6,120645640
2017,6,120645672
2017,6,120645656
2017,5,120645846
2017,6,120645846
2017,8,120645846
2017,5,120645848
2017,6,120645848
2017,8,120645848
2017,9,120646025
2017,9,120646125
2017,6,120646148
2017,9,120646178
2017,9,120646202
2017,9,120646198
2017,6,120646230
2017,6,120646229
2017,9,120646244
2017,9,120646245
2017,9,120646368
2017,5,120646550
2017,9,120646623
2017,6,120646639
2017,9,120646666
2017,6,120646789
2017,6,120646858
2017,9,120646988
2017,9,120647033
2017,6,120647081
2017,6,120647109
2017,9,120647155
2017,5,120647235
2017,6,120647235
2017,9,120647303
2017,9,120647352
2017,6,120647379
2017,6,120647392
2017,6,120647477
2017,9,120647470
2017,6,120647530
2017,7,120647530
2017,3,120647811
2017,6,120647886
2017,5,120647969
2017,6,120647969
2017,8,120647969
2017,5,120647971
2017,6,120647971
2017,8,120647971
2017,6,120647975
2017,9,120648070
2017,9,120648454
2017,9,120648541
2017,9,120648595
2017,2,120648628
2017,6,120648674
2017,6,120648670
2017,1,120649246
2017,8,120649303
2017,6,120649406
2017,6,120649412
2017,6,120649403
2017,6,120649408
2017,6,120649413
2017,6,120649450
2017,9,120649700
2017,9,120649740
2017,6,120649745
2017,9,120649803
2017,6,120649807
2017,6,120649810
2017,5,120649845
2017,6,120649845
2017,9,120649838
2017,9,120649885
2017,9,120649913
2017,9,120650097
2017,6,120650086
2017,6,120650147
2017,9,120650218
2017,9,120650239
2017,9,120650386
2017,6,120650524
2017,9,120650720
2017,9,120650839
2017,6,120650886
2017,6,120650889
2017,9,120650953
2017,6,120651284
2017,9,120651342
2017,5,120651387
