"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2017,7630207,547,4,2017,"I",01-APR-04,"Y","F","C","2017_04_AR0110000_NIBRS",20436355,0
2017,7630210,547,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_AR0110000_NIBRS",20436392,0
2017,8005658,547,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_AR0110000_NIBRS",20436427,0
2017,8005659,547,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_AR0110000_NIBRS",20436459,0
2017,7510334,530,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_AR0060100_NIBRS",3584551,0
2017,7527315,530,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_AR0060100_NIBRS",24247366,0
2017,7593157,530,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_AR0060100_NIBRS",15855107,0
2017,7593158,530,4,2017,"I",01-APR-04,"Y","F","C","2017_04_AR0060100_NIBRS",24247394,0
2017,7665376,530,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_AR0060100_NIBRS",15855199,0
2017,7665377,530,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_AR0060100_NIBRS",27611981,0
2017,7848095,530,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_AR0060100_NIBRS",24247440,0
2017,7848096,530,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_AR0060100_NIBRS",24243036,0
2017,7879963,530,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_AR0060100_NIBRS",24247489,0
2017,7924401,530,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_AR0060100_NIBRS",20426553,0
2017,8005562,530,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_AR0060100_NIBRS",20426605,0
2017,8005564,530,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_AR0060100_NIBRS",24243089,0
