"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2017,21,110791528
2017,21,110791542
2017,21,110791631
2017,21,110791653
2017,21,110791655
2017,21,110791651
2017,21,110791685
2017,21,110791841
2017,21,110792040
2017,21,110792055
2017,21,110792053
2017,21,110792249
2017,21,110792278
2017,21,110792462
2017,21,110792463
2017,21,110792624
2017,21,110792627
2017,21,110792777
2017,21,110792885
2017,21,110792998
2017,21,110793001
2017,21,110793276
2017,21,110793275
2017,21,110793434
2017,21,110793555
2017,21,110793551
2017,21,110795511
2017,21,110795594
2017,21,110795591
2017,21,110795766
2017,21,110796348
2017,21,110796586
2017,21,110796692
2017,21,110796721
2017,21,110796749
2017,21,110796963
2017,21,110797095
2017,21,110797635
2017,21,110797695
2017,21,110797728
2017,21,110798064
2017,21,110798403
2017,21,110798395
2017,21,110798638
2017,21,110798901
2017,21,110799060
2017,21,110799133
2017,21,110799201
2017,21,110799539
2017,21,110799782
2017,21,110800091
2017,21,110801784
2017,21,110802139
2017,21,110802184
2017,21,110802260
2017,21,110802413
2017,21,110802444
2017,21,110802784
2017,21,110803213
2017,21,110803343
2017,21,110803390
2017,21,110804603
2017,21,110804599
2017,21,110804923
2017,21,110804984
2017,21,110804989
2017,21,110805090
2017,21,110805393
2017,21,110805394
2017,21,110805479
2017,21,110805505
2017,21,110805586
2017,21,110805643
2017,21,110805737
2017,21,110805760
2017,21,110805761
2017,21,110805762
2017,21,110805792
2017,21,110805798
2017,21,110805806
2017,21,110805803
2017,21,110805800
2017,21,110805856
2017,21,110806017
2017,21,110806060
2017,21,110806129
2017,21,110806894
2017,21,110806979
2017,21,110807156
2017,21,110807218
2017,21,110807262
2017,21,110807343
2017,21,110807549
2017,21,110807565
2017,21,110807597
2017,21,110807659
2017,21,110807833
2017,21,110807831
2017,21,110808025
2017,21,110808052
2017,21,110808050
2017,21,110808055
2017,21,110808297
2017,21,110808444
2017,21,110808539
2017,21,110808596
2017,21,110808610
2017,21,110808604
2017,21,110809599
2017,21,110809728
2017,21,110809771
2017,21,110809884
2017,21,110809984
2017,21,110810131
2017,21,110810204
2017,21,110810243
2017,21,110810316
2017,21,110810468
2017,21,110810615
2017,21,110810658
2017,21,110810760
2017,21,110810828
2017,21,110810863
2017,21,110815270
2017,21,110815374
2017,21,110815775
2017,21,110815802
2017,21,110815798
2017,21,110816690
2017,21,110817464
2017,21,110817515
2017,21,110817649
2017,21,110817698
2017,21,110817828
2017,21,110818031
2017,21,110818104
2017,21,110818346
2017,21,110818445
2017,21,110818649
2017,21,110819045
2017,21,110819046
2017,21,110819050
2017,21,110819674
2017,21,110819678
2017,21,110820549
2017,21,110820587
2017,21,110820650
2017,21,110821149
2017,21,110821247
2017,21,110821498
2017,21,110821705
2017,21,110821963
2017,21,110822322
2017,21,110823623
2017,21,110823745
2017,21,110823836
2017,21,110823887
2017,21,110824342
2017,21,110824478
2017,21,110824479
2017,21,110505606
2017,21,110505688
2017,21,110505912
2017,21,110510871
2017,21,110512442
2017,21,110513185
2017,21,110513369
2017,21,110513598
2017,21,110513696
2017,21,110514026
2017,21,110514177
2017,21,110514587
2017,21,110514796
2017,21,110516220
2017,21,110516298
2017,21,110516337
2017,21,110516381
2017,21,110516404
2017,21,110516426
2017,21,110517066
2017,21,110533982
2017,21,110533998
2017,21,110562125
2017,21,110562188
2017,21,110562296
2017,21,110562330
2017,21,110562390
2017,21,110562416
2017,21,110562539
2017,21,110562808
2017,21,110562843
2017,21,110562855
2017,21,110562872
2017,21,110562926
2017,21,110562955
2017,21,110562999
2017,21,110563001
2017,21,110563169
2017,21,110563172
2017,21,110563178
2017,21,110563206
2017,21,110563427
2017,21,110563520
2017,21,110563542
2017,21,110563577
2017,21,110564804
2017,21,110564968
2017,21,110564977
2017,21,110565058
2017,21,110565092
2017,21,110567446
2017,21,110567457
2017,21,110568157
2017,21,110568251
2017,21,110568359
2017,21,110568414
2017,21,110568499
2017,21,110568493
2017,21,110576939
2017,21,110577036
2017,21,110577160
2017,21,110577529
2017,21,110577533
2017,21,110577604
2017,21,110577663
2017,21,110577731
2017,21,110577861
2017,21,110577908
2017,21,110577931
2017,21,110577947
2017,21,110577993
2017,21,110578004
2017,21,110578102
2017,21,110578097
2017,21,110578128
2017,21,110579761
2017,21,110579824
2017,21,110579911
2017,21,110579913
2017,21,110580003
2017,21,110580061
2017,21,110580291
2017,21,110580384
2017,21,110580474
2017,21,110580775
2017,21,110580868
2017,21,110581739
2017,21,110581736
2017,21,110581795
2017,21,110581907
2017,21,110589370
2017,21,110589452
2017,21,110589546
2017,21,110589587
2017,21,110589592
2017,21,110589608
2017,21,110589606
2017,21,110589628
2017,21,110589652
2017,21,110589650
2017,21,110589686
2017,21,110589773
2017,21,110589857
2017,21,110590084
2017,21,110590272
2017,21,110590374
2017,21,110590415
2017,21,110590449
2017,21,110590479
2017,21,110590499
2017,21,110590532
2017,21,110590551
2017,21,110590550
2017,21,110590623
2017,21,110590619
2017,21,110590722
2017,21,110590744
2017,21,110590764
2017,21,110590788
2017,21,110590827
2017,21,110590859
2017,21,110590912
2017,21,110590917
2017,21,110590960
2017,21,110591001
2017,21,110591043
2017,21,110591122
2017,21,110591133
2017,21,110591173
2017,21,110591218
2017,21,110591236
2017,21,110591310
2017,21,110591313
2017,21,110591372
2017,21,110591424
2017,21,110591465
2017,21,110591600
2017,21,110591792
2017,21,110591973
2017,21,110592101
2017,21,110592202
2017,21,110592257
2017,21,110592329
2017,21,110592353
2017,21,110592382
2017,21,110592385
2017,21,110592407
2017,21,110592679
2017,21,110592851
2017,21,110592901
2017,21,110592925
2017,21,110592973
2017,21,110593083
2017,21,110593230
2017,21,110593588
2017,21,110593635
2017,21,110593638
2017,21,110593718
2017,21,110593717
2017,21,110595587
2017,21,110595610
2017,21,110595654
2017,21,110595656
2017,21,110595712
2017,21,110595728
2017,21,110595771
2017,21,110595899
2017,21,110595961
2017,21,110596086
2017,21,110596155
2017,21,110596209
2017,21,110596296
2017,21,110596413
2017,21,110596470
2017,21,110596495
2017,21,110596518
2017,21,110596498
2017,21,110596529
2017,21,110596552
2017,21,110596607
2017,21,110596617
2017,21,110596666
2017,21,110596703
2017,21,110597872
2017,21,110597917
2017,21,110597943
2017,21,110597998
2017,21,110598088
2017,21,110598085
2017,21,110599601
2017,21,110599614
2017,21,110599621
2017,21,110599665
2017,21,110599698
2017,21,110599753
2017,21,110599762
2017,21,110599792
2017,21,110600622
2017,21,110600685
2017,21,111383067
2017,21,111383265
2017,21,111383424
2017,21,111383560
2017,21,111383862
2017,21,111383903
2017,21,111384134
2017,21,111384205
2017,21,111384236
2017,21,111384294
2017,21,111384375
2017,21,111384644
2017,21,111385458
2017,21,111385568
2017,21,111385585
2017,21,111385588
2017,21,111385641
2017,21,111385640
2017,21,111385663
2017,21,111385714
2017,21,111385809
2017,21,111385928
2017,21,111386003
2017,21,111386004
2017,21,110564961
2017,21,117779686
2017,21,117779752
2017,21,110567245
2017,21,110567250
2017,21,110568158
2017,21,110568180
2017,21,117779749
2017,21,110568300
2017,21,110568416
2017,21,110568495
2017,21,110569004
2017,21,110569019
2017,21,110569038
2017,21,117779800
2017,21,117779823
2017,21,117779930
2017,21,117780179
2017,21,117780303
2017,21,117780355
2017,21,117780414
2017,21,117780566
2017,21,117780738
2017,21,117781041
2017,21,117781064
2017,21,117781100
2017,21,117781106
2017,21,117781211
2017,21,117781614
2017,21,117782090
2017,21,110572016
2017,21,110573402
2017,21,110573400
2017,21,110573557
2017,21,110573556
2017,21,110573584
2017,21,110573616
2017,21,110573677
2017,21,110573857
2017,21,110574339
2017,21,110574372
2017,21,110575125
2017,21,110575130
2017,21,110575187
2017,21,110575219
2017,21,110575255
2017,21,110575318
2017,21,110575342
2017,21,110575539
2017,21,110575612
2017,21,110575614
2017,21,110576050
2017,21,110576052
2017,21,110576747
2017,21,110576788
2017,21,110576810
2017,21,110576861
2017,21,110576874
2017,21,110576866
2017,21,110576870
2017,21,110576974
2017,21,110576994
2017,21,110577110
2017,21,110577130
2017,21,110577206
2017,21,110577202
2017,21,110577577
2017,21,110577675
2017,21,110577910
2017,21,110577974
2017,21,110578007
2017,21,110578059
2017,21,110578161
2017,21,110578175
2017,21,110579710
2017,21,110579721
2017,21,110579829
2017,21,110579903
2017,21,110580019
2017,21,110580038
2017,21,110580069
2017,21,110580060
2017,21,110580139
2017,21,110580223
2017,21,110580349
2017,21,110580375
2017,21,110580458
2017,21,110580486
2017,21,110580498
2017,21,110580648
2017,21,110580668
2017,21,110580688
2017,21,110589282
2017,21,110589315
2017,21,110589366
2017,21,110589367
2017,21,110589526
2017,21,110589528
2017,21,110589692
2017,21,110589758
2017,21,110589779
2017,21,110589814
2017,21,110589836
2017,21,110589886
2017,21,110589881
2017,21,110590069
2017,21,110590081
2017,21,110590131
2017,21,110590181
2017,21,110590196
2017,21,110590226
2017,21,110590254
2017,21,110590327
2017,21,110590389
2017,21,110590653
2017,21,110590723
2017,21,110590839
2017,21,110590841
2017,21,110591016
2017,21,110591054
2017,21,110591057
2017,21,110591052
2017,21,110591095
2017,21,110591136
2017,21,110591493
2017,21,110591514
2017,21,110591588
2017,21,110591620
2017,21,110591662
2017,21,110591690
2017,21,110591685
2017,21,110591734
2017,21,110591750
2017,21,110591745
2017,21,110591840
2017,21,110591838
2017,21,110591901
2017,21,110591897
2017,21,110591974
2017,21,110592045
2017,21,110592221
2017,21,110592449
2017,21,110592472
2017,21,110592583
2017,21,110592623
2017,21,110593126
2017,21,110593201
2017,21,110593212
2017,21,110593238
2017,21,110593240
2017,21,110593616
2017,21,110593683
2017,21,110593723
2017,21,110595521
2017,21,110595674
2017,21,110595714
2017,21,110595963
2017,21,110596046
2017,21,110596143
2017,21,110596281
2017,21,110596329
2017,21,110596559
2017,21,110596616
2017,21,110596715
2017,21,110596713
2017,21,110596770
2017,21,110596785
2017,21,110596786
2017,22,110597602
2017,21,110597863
2017,21,110597921
2017,21,110597940
2017,21,110597976
2017,21,110597986
2017,21,110598056
2017,21,110598081
2017,21,110598099
2017,21,110599944
2017,21,110599950
2017,21,110600534
2017,21,110605285
2017,21,110605425
2017,21,110605439
2017,21,110505766
2017,21,110507441
2017,21,110507468
2017,21,110507466
2017,21,110507910
2017,21,110509001
2017,21,110509028
2017,21,110509027
2017,21,110509111
2017,21,110509158
2017,21,110509222
2017,21,110509659
2017,21,110509660
2017,21,110509708
2017,21,110509793
2017,21,110509915
2017,21,110509952
2017,21,110509966
2017,21,110510014
2017,21,110510027
2017,21,110510353
2017,21,110510384
2017,21,110510401
2017,21,110510476
2017,21,110512885
2017,21,110512967
2017,21,110513236
2017,21,110513309
2017,21,110513389
2017,21,110513983
2017,21,110513984
2017,21,110514064
2017,21,110514121
2017,21,110514547
2017,21,110514588
2017,21,110514861
2017,21,110515155
2017,21,110515180
2017,21,110515178
2017,21,110515195
2017,21,110515199
2017,21,110516212
2017,21,110516284
2017,21,110516385
2017,21,110516965
2017,21,110516969
2017,21,110533987
2017,21,110534054
2017,21,110534159
2017,21,110534163
2017,21,110534184
2017,21,110534396
2017,21,110534706
2017,21,110534745
2017,21,110534744
2017,21,110534777
2017,21,110534894
2017,21,110535067
2017,21,110543766
2017,21,110547451
2017,21,110547996
2017,21,110547995
2017,21,110547997
2017,21,110548042
2017,21,110548039
2017,21,110548041
2017,21,110548069
2017,21,110548111
2017,21,110548338
2017,21,110548341
2017,21,110548459
2017,21,110548564
2017,21,110549182
2017,21,110549208
2017,21,110549690
2017,21,110549789
2017,21,110550028
2017,21,110550101
2017,21,110505623
2017,21,110505641
2017,21,110597420
2017,21,110597698
2017,21,110597857
2017,21,110597960
2017,21,110598045
2017,21,110598090
2017,21,110598178
2017,21,110599431
2017,21,110599627
2017,21,110599637
2017,21,110599640
2017,21,110599678
2017,21,110599766
2017,21,110599822
2017,21,110599850
2017,21,110599935
2017,21,110600725
2017,21,110606273
2017,21,112619792
2017,21,112619905
2017,21,112620361
2017,21,112620390
2017,21,112620476
2017,21,112620545
2017,21,112620561
2017,21,112620583
2017,21,112620573
2017,21,112620577
2017,21,112620669
2017,21,112620789
2017,21,112620863
2017,21,112620910
2017,21,112620964
2017,21,112621011
2017,21,112621097
2017,21,112621123
2017,21,112621121
2017,21,112621194
2017,21,112621190
2017,21,112621267
2017,21,112621328
2017,21,112621373
2017,21,112621416
2017,21,112621456
2017,21,112621474
2017,21,110791537
2017,21,110791573
2017,21,110791624
2017,21,110791803
2017,21,110791812
2017,21,110791960
2017,21,110792176
2017,21,110792218
2017,21,110792281
2017,21,110792468
2017,21,110792492
2017,21,110792541
2017,21,110792537
2017,21,110792557
2017,21,112621500
2017,21,110793558
2017,21,110793626
2017,21,110793619
2017,21,110795865
2017,21,110795866
2017,21,112621540
2017,21,110796257
2017,21,110796351
2017,21,110796468
2017,21,110796457
2017,21,110796574
2017,21,110796642
2017,21,110796674
2017,21,110796715
2017,21,110796919
2017,21,110797106
2017,21,110797094
2017,21,110797161
2017,21,110797670
2017,21,110797672
2017,21,110798173
2017,21,110798498
2017,21,110798654
2017,21,112621621
2017,21,110798853
2017,21,110798995
2017,21,111363015
2017,21,111363094
2017,21,111363159
2017,21,111363294
2017,21,111363420
2017,21,111363536
2017,21,111363570
2017,21,111363671
2017,21,111364531
2017,21,111364760
2017,21,111364759
2017,21,111364945
2017,21,111365123
2017,21,111365135
2017,21,111365206
2017,21,111365408
2017,21,111365406
2017,21,111365831
2017,21,111365907
2017,21,111365998
2017,21,111366029
2017,21,111366090
2017,21,111366093
2017,21,111366122
2017,21,111366120
2017,21,111366184
2017,21,111366251
2017,21,111366322
2017,21,111366325
2017,21,111366459
2017,21,111366483
2017,21,111366550
2017,21,111366664
2017,21,111367193
2017,21,111367262
2017,21,111367352
2017,21,111367497
2017,21,111367582
2017,21,111367618
2017,21,111367694
2017,21,111367817
2017,21,111368125
2017,21,111368238
2017,21,111368304
2017,21,111368335
2017,21,111368489
2017,21,111368491
2017,21,111368530
2017,21,111368589
2017,21,111368887
2017,21,111369112
2017,21,111369114
2017,21,111369621
2017,21,111369675
2017,21,111369830
2017,21,111370128
2017,21,111370159
2017,21,111370196
2017,21,111370631
2017,21,111370806
2017,21,111370881
2017,21,111370928
2017,21,111372662
2017,21,111372750
2017,21,111372952
2017,21,111373041
2017,21,111373171
2017,21,111373210
2017,21,111373241
2017,21,111373445
2017,21,111373624
2017,21,111373693
2017,21,111373691
2017,21,111373776
2017,21,111373825
2017,21,111373856
2017,21,111373936
2017,21,111374038
2017,21,111374138
2017,21,111374382
2017,21,111374611
2017,21,111374736
2017,21,111374753
2017,21,111374757
2017,21,111374932
2017,21,111375012
2017,21,111375777
2017,21,111375855
2017,21,111375922
2017,21,111376698
2017,21,111376958
2017,21,111377053
2017,21,111377211
2017,21,111377294
2017,21,111377470
2017,21,111377473
2017,21,111377511
2017,21,111377573
2017,21,111377640
2017,21,111377642
2017,21,111377725
2017,21,111377782
2017,21,111378124
2017,21,111378117
2017,21,111378415
2017,21,111378511
2017,21,111378700
2017,21,111378829
2017,21,111378923
2017,21,111379308
2017,21,111379452
2017,21,111379485
2017,21,111379626
2017,21,111379648
2017,21,111379749
2017,21,111379856
2017,21,111379878
2017,21,111380586
2017,21,111380857
2017,21,111380938
2017,21,111381118
2017,21,111381379
2017,21,111381404
2017,21,111381466
2017,21,111381767
2017,21,111382037
2017,21,111382065
2017,21,111382462
2017,21,111382535
2017,21,111382541
2017,21,111382905
2017,21,111382959
2017,21,111383096
2017,21,111383101
2017,21,111383107
2017,21,111383105
2017,21,111383156
2017,21,111383204
2017,21,111383328
2017,21,111383480
2017,21,111383664
2017,21,111383811
2017,21,111383813
2017,21,111384037
2017,21,111384405
2017,21,111384492
2017,21,111384526
2017,21,111384744
2017,21,111385533
2017,21,111385628
2017,21,111385858
2017,21,111385894
2017,21,111385943
2017,21,111386013
2017,21,110799543
2017,21,110799576
2017,21,110799709
2017,21,110799991
2017,21,110800014
2017,21,110800092
2017,21,110800152
2017,21,110800362
2017,21,110800309
2017,21,110800419
2017,21,110800681
2017,21,110800829
2017,21,110801070
2017,21,110801134
2017,21,110801343
