"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2017,4,114373074
2017,4,114373099
2017,4,114373163
2017,4,114373410
2017,4,114373210
2017,4,114373333
2017,4,114373375
2017,4,114373382
2017,4,114373335
2017,4,114373337
2017,4,114373719
2017,4,114373452
2017,3,114373817
2017,3,114373549
2017,4,114373602
2017,4,114373639
2017,3,114373776
2017,3,114373773
2017,4,114374236
2017,4,114374246
2017,3,114373866
2017,4,114374342
2017,4,114374370
2017,4,114374372
2017,3,114374501
2017,4,114374564
2017,4,114374853
2017,4,114374861
2017,4,114374866
2017,4,114374914
2017,4,114374908
2017,4,114375062
2017,3,114375113
2017,4,114375150
2017,4,114375142
2017,1,114375254
2017,4,114375290
2017,4,114375289
2017,3,114375315
2017,3,114375316
2017,4,114375477
2017,4,114375495
2017,4,114375535
2017,4,114375552
2017,4,114375583
2017,4,114375578
2017,4,114375572
2017,4,114375638
2017,4,114375662
2017,4,114375663
2017,4,114375749
2017,4,114375818
2017,4,114375857
2017,2,114375894
2017,4,114376067
2017,4,114376131
2017,4,114376166
2017,4,114376176
2017,4,114376264
2017,4,114376377
2017,4,114376389
2017,4,114376388
2017,4,114376445
2017,4,114376715
2017,4,114376777
2017,4,114376921
2017,4,114376785
2017,4,114376937
2017,3,114376960
2017,4,114377030
2017,4,114377107
2017,4,114377108
2017,3,114377377
2017,4,114377188
2017,4,114377260
2017,4,114377261
2017,1,114377404
2017,4,114377463
2017,4,114377517
2017,3,114377663
2017,4,114377568
2017,4,114377565
2017,1,114377587
2017,1,114377589
2017,3,114377662
2017,3,114377741
2017,4,114377770
2017,4,114377831
2017,4,114377820
2017,4,114377975
2017,4,114378040
2017,4,114378092
2017,4,114378161
2017,4,114378509
2017,4,114378425
2017,4,114378450
2017,4,114378527
2017,4,114378621
2017,4,114378671
2017,4,114378749
2017,4,114378699
2017,4,114378695
2017,4,114378764
2017,4,114378713
2017,4,114378726
2017,4,114378926
2017,4,114378808
2017,4,114378821
2017,4,114378966
2017,4,114378960
2017,4,114379049
2017,4,114379041
2017,4,114379043
2017,4,114379103
2017,4,114379097
2017,4,114379165
2017,4,114379188
2017,4,114379213
2017,4,114379239
2017,4,114379249
2017,4,114379289
2017,4,114379337
2017,4,114379370
2017,4,114379391
2017,4,114379419
2017,4,114379512
2017,4,114379536
2017,4,114379554
2017,4,114379555
2017,4,114379619
2017,4,114379715
2017,4,114379718
2017,4,114379791
2017,4,114379805
2017,4,114379799
2017,4,114379955
2017,4,114380087
2017,4,114380099
2017,4,114380129
2017,4,114380167
2017,3,114380188
2017,3,114380183
2017,3,114380177
2017,4,114380325
2017,4,114380329
2017,4,114380373
2017,4,114380465
2017,4,114380565
2017,4,114380569
2017,4,114380697
2017,4,114380703
2017,4,114380798
2017,4,114380835
2017,4,114380854
2017,4,114381111
2017,4,114381338
2017,4,114381751
2017,4,114381580
2017,4,114381771
2017,4,114381772
2017,4,114382010
2017,4,114382313
2017,4,114382429
2017,4,114382426
2017,4,114382521
2017,4,114382578
2017,4,114382634
2017,4,114382736
2017,4,114382792
2017,4,114382864
2017,4,114383012
2017,4,114383076
2017,4,114383164
2017,4,114383249
2017,4,114383411
2017,4,114383439
2017,4,114383468
2017,4,114383476
2017,4,114383496
2017,4,114383534
2017,4,114383560
2017,4,114383608
2017,4,114383656
2017,4,114383672
2017,4,114383712
2017,4,114383886
2017,4,114383920
2017,3,114383972
2017,4,114384183
2017,4,114384199
2017,4,114384213
2017,4,114384248
2017,4,114384235
2017,4,114384279
2017,4,114384374
2017,4,114384375
2017,4,114384434
2017,4,114384436
2017,4,114384510
2017,4,114384507
2017,4,114384506
2017,4,114384550
2017,4,114384580
2017,4,114387389
2017,3,114387464
2017,4,114387563
2017,4,114387556
2017,4,114387891
2017,4,114388009
2017,4,114388047
2017,4,114388122
2017,4,114388109
2017,4,114388129
2017,4,114388137
2017,4,114388139
2017,4,114388165
2017,4,114388198
2017,4,114388231
2017,4,114388291
2017,4,114388287
2017,4,114388301
2017,4,114388336
2017,1,114388344
2017,4,114388337
2017,4,114388418
2017,4,114388438
2017,4,114388439
2017,4,114388468
2017,4,114388513
2017,4,114388547
2017,4,114388541
2017,4,114388822
2017,4,114388827
2017,3,114388847
2017,4,114388901
2017,4,114388898
2017,3,114388934
2017,4,114389030
2017,4,114389048
2017,4,114389063
2017,4,114389085
2017,4,114389094
2017,4,114389102
2017,4,114389105
2017,4,114389132
2017,3,114389167
2017,4,114389170
2017,4,114389194
2017,4,114389229
2017,4,114389223
2017,4,114389273
2017,4,114389284
2017,4,114389317
2017,4,114389319
2017,4,114389330
2017,4,114389346
2017,4,114389352
2017,4,114389354
2017,3,110792421
2017,4,110792579
2017,1,110792707
2017,1,110792718
2017,4,110792781
2017,4,110793009
2017,4,110793240
2017,4,110793331
2017,3,110793556
2017,4,110795494
2017,4,110796216
2017,4,110796260
2017,4,110796446
2017,4,110796633
2017,4,110796750
2017,4,110796780
2017,3,110796777
2017,3,110796776
2017,4,110796921
2017,4,110797041
2017,4,110797046
2017,4,110797043
2017,4,110797115
2017,1,110797193
2017,4,110798381
2017,4,110798499
2017,3,110798534
2017,4,110798610
2017,4,110798613
2017,4,110798902
2017,4,110798971
2017,4,110799016
2017,4,110799657
2017,4,110799748
2017,4,110799769
2017,3,110799809
2017,3,110799813
2017,4,110799975
2017,4,110800210
2017,4,110800207
2017,4,110800265
2017,4,110800363
2017,4,110800449
2017,4,110800796
2017,4,110801324
2017,4,110801523
2017,4,110801699
2017,4,110801792
2017,1,110801818
2017,3,110801818
2017,4,110802172
2017,4,110802244
2017,1,110802316
2017,4,110802456
2017,3,110802909
2017,3,110802906
2017,4,110803029
2017,4,110803246
2017,4,110803320
2017,4,110803364
2017,4,110803407
2017,4,110804106
2017,4,110804727
2017,4,110804835
2017,4,110805003
2017,4,110805002
2017,4,110805049
2017,4,110805125
2017,4,110805401
2017,4,110805453
2017,4,110805561
2017,3,110805625
2017,3,110805628
2017,4,110805678
2017,4,110805669
2017,4,110805736
2017,4,110805757
2017,4,110805790
2017,4,110805804
2017,3,110805819
2017,4,110807012
2017,4,110807195
2017,4,110807225
2017,4,110807228
2017,4,110807247
2017,4,110807302
2017,4,110807326
2017,3,110807399
2017,3,110807398
2017,4,110807423
2017,4,110807484
2017,4,110807533
2017,4,110807564
2017,4,110807610
2017,4,110807879
2017,3,110807970
2017,4,110807987
2017,4,110808058
2017,4,110808286
2017,4,110808507
2017,4,110809490
2017,4,110810138
2017,4,110810209
2017,4,110810212
2017,4,110810249
2017,4,110810344
2017,4,110810411
2017,4,110810513
2017,4,110810508
2017,4,110810603
2017,4,110810670
2017,4,110810723
2017,4,110810775
2017,4,110812326
2017,4,110812422
2017,4,110812538
2017,4,110812542
2017,3,110812694
2017,4,110812956
2017,3,110813051
2017,4,110813047
2017,3,110813055
2017,4,110813231
2017,4,110813221
2017,4,110813359
2017,4,110813418
2017,4,110813509
2017,4,110813634
2017,4,110814051
2017,4,110814095
2017,4,110814418
2017,4,110814542
2017,4,110815155
2017,4,110815190
2017,4,110815189
2017,4,110815477
2017,4,110815494
2017,4,110815532
2017,3,110815795
2017,3,110815791
2017,4,110816680
2017,4,110816798
2017,4,110817097
2017,4,110817245
2017,4,110817383
2017,4,110817433
2017,4,110817506
2017,4,110817579
2017,4,110817600
2017,4,110817779
2017,4,110817872
2017,4,110818151
2017,4,110818309
2017,4,110818362
2017,4,110818400
2017,4,110818565
2017,4,110818707
2017,4,110819380
2017,4,110819677
2017,4,110819708
2017,3,110819810
2017,3,110819820
2017,4,110819822
2017,4,110819912
2017,4,110819961
2017,4,110820052
2017,4,110820347
2017,3,110820476
2017,3,110820473
2017,4,110820592
2017,4,110820658
2017,4,110820666
2017,4,110820983
2017,4,110821110
2017,4,110823267
2017,1,110823352
2017,3,110823352
2017,1,110823354
2017,3,110823354
2017,4,110823605
2017,3,110823651
2017,3,110823649
2017,4,110824320
2017,4,110824318
2017,4,110824509
2017,4,110824609
2017,4,110824816
2017,4,110824828
2017,4,110824857
2017,4,110824887
2017,4,110825067
2017,4,110825120
2017,4,110825153
2017,4,110825198
2017,3,110825304
2017,4,110825313
2017,4,110825322
2017,4,110825319
2017,4,110825317
2017,4,110825363
2017,4,110825366
2017,4,110825420
2017,4,110825486
2017,4,110825524
2017,4,110825702
2017,4,110826200
2017,4,110826465
2017,4,110826512
2017,4,110826548
2017,4,110826593
2017,4,110826609
2017,4,110826625
2017,4,110826755
2017,4,110826771
2017,4,110826837
2017,4,110826864
2017,4,110826954
2017,4,110826970
2017,4,110826999
2017,4,110827015
2017,4,110827047
2017,4,110827075
2017,4,110827093
2017,4,110827120
2017,4,110827227
2017,4,110827286
2017,4,110829120
2017,4,110829165
2017,4,110829260
2017,4,110829276
2017,4,110830879
2017,4,110831001
2017,4,110831000
2017,4,110831583
2017,4,110831626
2017,4,110831631
2017,4,110831692
2017,4,110831979
2017,4,110832157
2017,4,110832264
2017,4,110832360
2017,4,110832368
2017,4,110832371
2017,4,110832369
2017,4,110832372
2017,3,110832424
2017,4,110832456
2017,4,110832799
2017,4,110832874
2017,4,110832962
2017,3,110833078
2017,4,110833303
2017,4,110833543
2017,4,110833816
2017,4,110833915
2017,4,110833959
2017,4,110834096
2017,4,110834375
2017,4,110834492
2017,4,110834613
2017,4,110834747
2017,4,110834782
2017,4,110834979
2017,4,110834978
2017,4,110835015
2017,4,110835181
2017,4,110835330
2017,4,110835459
2017,4,110835734
2017,4,110835804
2017,4,110835807
2017,4,113676484
2017,4,113676666
2017,4,113676667
2017,4,113676751
2017,4,113677057
2017,4,113677096
2017,4,113677094
2017,4,113677212
2017,4,113677306
2017,4,113677345
2017,4,113677468
2017,4,113677555
2017,3,113677697
2017,3,113677695
2017,4,113678153
2017,4,113678263
2017,4,113679196
2017,4,113680245
2017,4,113680476
2017,4,113680633
2017,4,113681065
2017,4,110791602
2017,3,110791668
2017,4,110791799
2017,4,110791905
2017,4,110791908
2017,4,110791947
2017,4,110792025
2017,4,110792049
2017,4,110792098
2017,4,110792131
2017,4,110792173
2017,4,110792294
2017,4,110792801
2017,4,110793351
2017,4,110793345
2017,4,110793612
2017,4,110793616
2017,4,110795777
2017,4,110796327
2017,4,110796428
2017,4,110796610
2017,4,110796832
2017,4,110796980
2017,4,110797226
2017,1,110797750
2017,1,110798104
2017,4,110798508
2017,4,110798589
2017,4,110798724
2017,1,110798953
2017,4,110799014
2017,4,110799145
2017,4,110799173
2017,4,110799525
2017,4,110799625
2017,4,110799752
2017,4,110799793
2017,4,110799921
2017,4,110800017
2017,4,110800013
2017,4,110800015
2017,4,110800103
2017,4,110800194
2017,4,110800193
2017,4,110800337
2017,4,110800380
2017,4,110800377
2017,4,110800463
2017,1,110800804
2017,4,110800916
2017,4,110801043
2017,4,110801321
2017,4,110801373
2017,4,110801372
2017,4,110801377
2017,3,110801432
2017,3,110801418
2017,3,110801434
2017,4,110801510
2017,4,110801697
2017,1,110801862
2017,4,110801881
2017,4,110801894
2017,4,110802250
2017,3,110802325
2017,4,110802733
2017,4,110803252
2017,4,110803349
2017,4,110803405
2017,4,110804532
2017,3,110804720
2017,4,110804804
2017,1,110804865
2017,1,110805222
2017,3,110805222
2017,4,110805416
2017,4,110805697
2017,4,110805747
2017,4,110805781
2017,4,110805829
2017,4,110805939
2017,4,110806077
2017,4,110806257
2017,3,110806941
2017,4,110807063
2017,4,110807072
2017,4,110807067
2017,4,110807147
2017,4,110807150
2017,4,110807180
2017,4,110807325
2017,4,110807334
2017,4,110807419
2017,1,110807459
2017,4,110807478
2017,4,110807536
2017,4,110807581
2017,4,110807654
2017,4,110807658
2017,4,110807651
2017,4,110807694
2017,4,110517042
