"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2017,6,114291996
2017,6,114292077
2017,7,114292077
2017,9,114292246
2017,9,114292290
2017,9,114292293
2017,8,114292386
2017,6,114292452
2017,6,114292578
2017,8,114292630
2017,6,114292692
2017,6,114292983
2017,6,114293268
2017,6,114293458
2017,6,114293460
2017,6,114294562
2017,6,114294648
2017,6,114294752
2017,6,114294968
2017,6,114295496
2017,6,114296095
2017,6,114296136
2017,6,114296210
2017,6,114296207
2017,6,114296243
2017,6,114296295
2017,1,114296377
2017,6,114296429
2017,6,114296514
2017,6,114296534
2017,6,114296555
2017,6,114296821
2017,9,114296928
2017,3,114296944
2017,9,114297055
2017,9,114297168
2017,9,114297188
2017,9,114297227
2017,6,114297344
2017,9,114297461
2017,9,114297557
2017,9,114297623
2017,9,114297681
2017,9,114297719
2017,9,114297817
2017,9,114297807
2017,9,114297966
2017,9,114298052
2017,9,114298095
2017,9,114298149
2017,9,114298190
2017,9,114298304
2017,9,114298336
2017,9,114298692
2017,9,114298804
2017,9,114298847
2017,6,114299103
2017,6,114299201
2017,6,114299202
2017,9,114299246
2017,6,114299272
2017,9,114299394
2017,6,114299432
2017,6,114299430
2017,9,114299537
2017,9,114299688
2017,6,114300076
2017,6,114300077
2017,9,114300155
2017,9,114300319
2017,9,114300398
2017,9,114300457
2017,9,114300645
2017,9,114300669
2017,8,114300832
2017,9,114300910
2017,6,114301032
2017,9,114301064
2017,9,114301074
2017,9,114301088
2017,9,114301192
2017,9,114301216
2017,9,114301363
2017,9,114301429
2017,9,114301451
2017,9,114301682
2017,6,114301678
2017,9,114301907
2017,9,114302040
2017,9,114302074
2017,9,114302094
2017,6,114302132
2017,6,114302298
2017,9,114302353
2017,9,114302446
2017,9,114302497
2017,9,114302608
2017,6,114302687
2017,9,114302826
2017,9,114303012
2017,9,114303120
2017,6,114303153
2017,6,114303156
2017,6,114303149
2017,6,114303233
2017,9,114303382
2017,6,114303385
2017,9,114303501
2017,9,114303550
2017,6,114303760
2017,6,114303762
2017,6,114303823
2017,9,114303920
2017,9,114303946
2017,9,114303967
2017,9,114304052
2017,8,114304069
2017,9,114304210
2017,9,114304260
2017,9,114304305
2017,9,114304440
2017,9,114304479
2017,9,114304520
2017,9,114304583
2017,9,114304853
2017,9,114305088
2017,6,114305104
2017,6,114305105
2017,6,114305179
2017,3,114305177
2017,9,114305233
2017,9,114305335
2017,9,114305408
2017,9,114305449
2017,8,114305508
2017,6,114305535
2017,6,114305541
2017,9,114305616
2017,9,114305669
2017,6,114305820
2017,9,114305870
2017,9,114306052
2017,8,114306097
2017,9,114306159
2017,9,114306234
2017,9,114306242
2017,9,114306300
2017,6,114306342
2017,9,114306590
2017,9,114306647
2017,9,114306662
2017,6,114306742
2017,6,114306741
2017,9,114306827
2017,9,114306875
2017,6,114306939
2017,6,114306940
2017,8,114307035
2017,9,114307102
2017,9,114307217
2017,9,114307405
2017,9,114307621
2017,6,114307647
2017,9,114307713
2017,6,114307755
2017,6,114307762
2017,8,114308110
2017,6,114308159
2017,9,114308191
2017,6,114308235
2017,6,114308253
2017,5,114308361
2017,6,114308428
2017,8,114308428
2017,8,114308443
2017,1,114308443
2017,6,114308443
2017,9,114308541
2017,9,114308552
2017,6,114308637
2017,6,114308673
2017,9,114308765
2017,9,114308838
2017,9,114308862
2017,9,114308897
2017,9,114308976
2017,9,114309238
2017,9,114309370
2017,6,114309446
2017,2,114309474
2017,9,114309550
2017,9,114309548
2017,6,114309608
2017,9,114309627
2017,9,114309656
2017,9,114309709
2017,9,114309717
2017,9,114309727
2017,9,114309746
2017,9,114309789
2017,9,114309795
2017,9,114309809
2017,9,114309825
2017,9,114309882
2017,9,114309908
2017,9,114309979
2017,9,114310003
2017,9,114310088
2017,9,114310152
2017,9,114310187
2017,9,114310182
2017,9,114310279
2017,9,114310291
2017,6,114310523
2017,6,114310541
2017,6,114310539
2017,6,114310561
2017,6,114310559
