"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,5,97713229,3.8,1,8162507
2017,12,97630276,5.1,1,8151015
2017,5,97630276,0.315,3,8151014
2017,2,97633953,5,1,8151748
2017,5,97640180,2,1,8153361
2017,2,97658345,0.22,1,8155644
2017,5,97675320,0.28,3,8157456
2017,12,97693157,0.23,1,8159555
2017,16,97693157,0.75,1,8159554
2017,4,97693157,3.39,1,8159553
2017,5,97694227,8.74,3,8159802
2017,5,97674836,9.15,3,8157396
2017,5,97687145,0.123,3,8158684
2017,5,102474571,7,1,8883825
2017,5,102474749,41.8,1,8883849
2017,16,97713042,0.08,1,8162463
2017,5,101890876,2,3,8785360
2017,2,101890876,3.6,1,8785362
2017,16,102478903,49,9,8884523
2017,16,102478972,0.2,3,8884568
2017,2,101869526,28.82,1,8781565
2017,5,101869526,447.3,1,8781564
2017,16,101874755,1,1,8782776
2017,18,101877169,,,8783009
2017,1,101877169,0.2,1,8783006
2017,4,101877169,2.8,1,8783008
2017,12,101884508,2.6,1,8784368
2017,12,97609954,0.1,1,8146875
2017,16,97689257,60,9,8159012
2017,16,101880191,1.5,1,8783517
2017,5,101878644,,,8783181
2017,5,101879777,1.4,3,8783430
2017,12,101873900,1.8,1,8782502
2017,8,101873900,2,1,8782504
2017,5,101868415,8.8,1,8781405
2017,12,101876547,0.25,1,8782960
2017,1,101880761,3,1,8783710
2017,5,101880972,4.2,1,8783750
2017,4,101853962,1.1,1,8779498
2017,2,101853962,4.2,1,8779496
2017,12,101860135,1.5,1,8780378
2017,16,101874124,1.5,9,8782576
2017,5,101875469,17,1,8782848
2017,5,106862414,0.102,3,9739852
2017,5,97499388,0.12,3,8130112
2017,5,97627259,0.43,3,8150479
2017,5,97629018,27.8,1,8150807
2017,2,101860522,0.1,1,8780423
2017,4,101860522,3.8,1,8780422
2017,5,101874169,0.03,3,8782594
2017,5,101884850,40,1,8784449
2017,2,97478380,0.2,1,8126874
2017,12,101845966,3.76,1,8777923
2017,5,101847577,0.004,3,8778204
2017,4,97730553,2,1,8165363
2017,5,97731456,0.32,3,8165650
2017,5,101822661,3,1,8774331
2017,17,97551580,,,8137146
2017,5,97577053,0.5,3,8141306
2017,5,97577936,0.064,3,8141466
2017,5,97537968,0.71,1,8135423
2017,18,97537968,,,8135425
2017,12,97537968,0.31,1,8135424
2017,5,97482408,1.3,1,8127348
2017,5,97482882,0.1,3,8127434
2017,5,97515554,1.5,1,8132338
2017,5,97519939,4.6,1,8132887
2017,15,97519939,4,9,8132886
2017,5,97537810,1.6,1,8135403
2017,17,97552635,,,8137394
2017,5,97695113,33.6,1,8159983
2017,2,97494288,0.04,1,8129226
2017,5,97508501,0.64,1,8131420
2017,12,97655558,1.7,1,8155224
2017,8,97655558,361.72,1,8155228
2017,5,97655558,0.13,3,8155225
2017,5,97533372,1.04,1,8134777
2017,12,97533372,1.57,1,8134778
2017,5,97581095,0.5,3,8141854
2017,5,97586936,0.4,3,8142890
2017,5,97597796,9.13,3,8144828
2017,5,97618423,1.5,1,8148511
2017,16,97630974,1,9,8151140
2017,12,97630974,1.3,1,8151139
2017,5,97650790,0.25,3,8154615
2017,12,97697186,0.4,1,8160161
2017,5,97703682,1.8,1,8161065
2017,12,97704039,0.5,1,8161095
2017,5,97625815,3.825,3,8150253
2017,5,97642511,1.595,3,8153642
2017,2,97642511,1131.3,1,8153641
2017,12,97648673,0.6,1,8154312
2017,12,97715810,0.6,1,8163054
2017,5,97482274,1.2,1,8127335
2017,15,97494254,1.2,1,8129220
2017,5,97619337,4.3,1,8148750
2017,5,97619396,7.59,1,8148765
2017,5,97509065,0.04,3,8131507
2017,1,97534244,0.1,1,8134938
