"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2017,106484307,9,
2017,106484762,6,
2017,106461714,1,
2017,105785633,10,
2017,105771084,2,
2017,106617059,3,
2017,112060367,1,
2017,106552477,1,
2017,106575699,10,
2017,106575698,10,
2017,106551401,10,
2017,110074129,6,
2017,105679339,1,
2017,105790908,8,
2017,105796536,9,
2017,105809601,9,
2017,105778447,3,
2017,105795790,9,
2017,105815804,1,
2017,105722222,9,
2017,106592608,9,
2017,105769103,6,
2017,105775276,1,
2017,105788296,9,
2017,105688595,1,
2017,100663850,10,
2017,105766526,6,
2017,105784995,9,
2017,100568755,10,
2017,100573030,10,
2017,105683067,10,
2017,105770407,10,
2017,105718086,10,
2017,105779993,1,
2017,112055198,1,
2017,110071908,10,
2017,105778837,1,
2017,100665528,9,
2017,100449001,1,
2017,100488269,10,
2017,100488967,1,
2017,100389851,9,
2017,100415571,1,
2017,100563883,9,
2017,100566123,9,
2017,100567620,9,
2017,100573561,3,
2017,100579592,10,
2017,100579635,9,
2017,100581112,9,
2017,100582296,1,
2017,100585108,9,
2017,100614515,1,
2017,100652442,1,
2017,100570061,10,
2017,100633050,10,
2017,100639807,10,
2017,100351852,9,
2017,100368105,1,
2017,100402910,1,
2017,100436215,9,
2017,100437507,8,
2017,100437507,1,
2017,100349809,10,
2017,100448478,1,
2017,100475697,1,
2017,100573003,10,
2017,100626490,10,
2017,100647202,9,
2017,100651498,9,
2017,100375246,1,
2017,100419867,1,
2017,100458246,9,
2017,100475443,1,
2017,100582324,6,
2017,100541190,9,
2017,100551554,10,
2017,100566653,1,
2017,100574147,1,
2017,100597459,9,
2017,100514740,9,
2017,105716250,9,
2017,100567479,1,
2017,100577332,3,
2017,100589949,1,
2017,100589963,9,
2017,100608878,8,
2017,100626549,10,
2017,100630906,1,
2017,100430207,1,
2017,100424432,1,
2017,100532193,1,
2017,100573787,9,
2017,100624454,1,
2017,105701969,1,
2017,105766928,1,
2017,105782591,1,
2017,105794318,10,
2017,100443072,9,
2017,100459599,1,
2017,100485630,1,
2017,100520083,1,
2017,100584671,9,
2017,100651797,1,
2017,105795898,1,
2017,106592159,1,
2017,106459618,1,
2017,106453962,1,
2017,105769644,1,
2017,105839403,9,
2017,105799073,9,
2017,105677166,1,
2017,105794511,9,
2017,105798036,1,
2017,105807328,10,
2017,105815462,6,
2017,105823919,6,
2017,105773698,9,
2017,105806963,1,
2017,106551811,1,
2017,106563061,9,
2017,106591802,10,
2017,110059212,1,
2017,110054586,6,
2017,105753664,1,
2017,106551893,10,
2017,105836608,9,
2017,105835948,1,
2017,109994366,1,
2017,100427625,10,
2017,100458603,10,
2017,105792944,1,
2017,100488899,10,
2017,100536952,9,
2017,100576862,9,
2017,100581338,9,
2017,100583284,1,
2017,100406412,1,
2017,100625060,1,
2017,100634807,6,
2017,100641816,1,
2017,100656698,9,
2017,100665910,1,
2017,100481292,9,
2017,100518225,1,
2017,100575098,8,
2017,100591996,1,
2017,100595574,9,
2017,100598770,10,
2017,100598866,1,
2017,100599829,1,
2017,100601267,9,
2017,100601918,9,
2017,100611621,10,
2017,100614250,1,
2017,100614250,6,
2017,105775296,1,
2017,105779347,10,
2017,105779353,10,
2017,105782311,1,
2017,105783744,10,
2017,100522215,1,
2017,100538428,10,
2017,100585854,1,
2017,100592122,10,
2017,100402111,10,
2017,100426988,1,
2017,100433916,10,
2017,100475705,1,
2017,100505075,10,
2017,100535675,1,
2017,100598327,10,
2017,100641027,1,
2017,100383313,10,
2017,100625507,6,
2017,100625607,9,
2017,100628057,10,
2017,100641319,2,
2017,100394938,1,
2017,100590139,1,
2017,100590692,9,
2017,100655521,9,
2017,100658448,6,
2017,100353256,6,
2017,100598629,9,
2017,100598843,1,
2017,100598848,1,
2017,100631169,10,
2017,100376675,1,
2017,100377445,10,
2017,100424072,10,
2017,100428530,1,
2017,100430870,3,
2017,100367911,10,
2017,100376089,9,
2017,100384890,6,
2017,100417341,1,
2017,100427853,1,
2017,105676440,9,
2017,105696038,9,
2017,105733081,9,
2017,105733479,2,
2017,105766017,1,
2017,105819833,1,
2017,105827372,9,
2017,100384395,10,
2017,100441589,10,
2017,100441585,10,
2017,100566102,1,
2017,100570360,1,
2017,100582656,9,
2017,100595461,9,
2017,100602474,9,
2017,100519777,1,
2017,100576504,10,
2017,100623913,1,
2017,100633838,10,
2017,100589304,9,
2017,100611903,10,
2017,105815150,1,
2017,105793151,1,
2017,100366889,9,
2017,100369891,10,
2017,100371841,9,
2017,100381950,1,
2017,100386046,6,
2017,100395941,9,
2017,100406563,1,
2017,100416724,1,
2017,105774140,1,
2017,105776699,1,
2017,100427973,1,
2017,105704645,10,
2017,105732492,1,
2017,105827362,1,
2017,100429275,1,
2017,100433639,10,
2017,100534822,1,
2017,105689557,10,
2017,105813111,10,
2017,105735570,9,
2017,105822304,10,
2017,105772948,9,
2017,106460686,6,
2017,112062724,1,
2017,105783765,9,
2017,106551547,1,
2017,106571706,1,
2017,106591697,1,
2017,106557002,1,
2017,106619501,1,
2017,105785651,6,
2017,106619119,10,
2017,105729350,1,
2017,106551256,1,
2017,106436698,9,
2017,100567501,10,
2017,100578332,9,
2017,100581948,9,
2017,100521354,1,
2017,100572197,9,
2017,100578974,1,
2017,100587044,9,
2017,106574217,1,
2017,105770505,1,
2017,112129252,9,
2017,112060564,1,
2017,105699274,1,
2017,105792570,10,
2017,105797931,1,
2017,105820488,1,
2017,105825756,10,
2017,105827604,9,
2017,105781724,6,
2017,105800693,1,
2017,100419374,1,
2017,100430641,1,
2017,100463628,10,
2017,100463641,10,
2017,100370718,9,
2017,100380307,9,
2017,100385754,10,
2017,100419770,1,
2017,100541602,9,
2017,100558415,9,
2017,100386629,10,
2017,100424686,10,
2017,100572986,1,
2017,100576266,9,
2017,100577312,9,
2017,100582979,9,
2017,100585018,10,
2017,100533684,1,
2017,100592539,6,
2017,100594250,1,
2017,100596706,1,
2017,100638111,10,
2017,100642694,1,
2017,100652055,1,
2017,100509015,16,
2017,100569465,9,
2017,100589345,10,
2017,100648422,10,
2017,100664732,1,
2017,100353330,1,
2017,100439144,1,
2017,100446035,10,
2017,100458273,1,
2017,100422850,1,
2017,100458545,10,
2017,100472469,9,
2017,100594212,10,
2017,100594266,9,
2017,100611072,9,
2017,100654167,1,
2017,100525769,1,
2017,100448733,1,
2017,100530377,9,
2017,100377114,1,
2017,100421916,1,
2017,100582327,9,
2017,100578924,10,
2017,100580403,9,
2017,100600878,1,
2017,100613829,10,
2017,100376432,3,
2017,100397628,1,
