"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2017,28374848,1,28399458
2017,28374855,1,28399466
2017,28374863,1,28399473
2017,28374880,1,28399490
2017,28374882,1,28399492
2017,28374962,1,28399572
2017,28375009,1,28399619
2017,28375049,1,28399659
2017,28375052,1,28399662
2017,28375057,1,28399667
2017,28375070,1,28399679
2017,28375081,1,28399691
2017,28375098,1,28399708
2017,28375107,1,28399717
2017,28375117,1,28399727
2017,28375127,1,28399737
2017,28375149,1,28399759
2017,28375217,1,28399827
2017,28375260,1,28399871
2017,28375265,1,28399876
2017,28375369,1,28399979
2017,28375376,1,28399986
2017,28375405,1,28400015
2017,28375425,1,28400035
2017,28375424,1,28400034
2017,28375430,1,28400040
2017,28375438,1,28400048
2017,28375441,1,28400051
2017,28375444,1,28400054
2017,28375445,1,28400055
2017,28375449,1,28400059
2017,28375451,1,28400061
2017,28375468,1,28400077
2017,28375477,1,28400087
2017,28375519,1,28400129
2017,28375526,1,28400136
2017,28375545,1,28400155
2017,28375555,1,28400165
2017,28375564,1,28400174
2017,28375595,1,28400205
2017,28375601,1,28400211
2017,28375608,1,28400218
2017,28375614,1,28400224
2017,28375631,1,28400240
2017,28375638,1,28400248
2017,28375678,1,28400288
2017,28375725,1,28400335
2017,28375726,1,28400336
2017,28375744,1,28400354
2017,28375778,1,28400388
2017,28375790,1,28400400
2017,28375799,1,28400409
2017,28375807,1,28400417
2017,28376012,1,28400622
2017,28376016,1,28400627
2017,28376045,1,28400655
2017,28376050,1,28400660
2017,28376095,1,28400705
2017,28376129,1,28400739
2017,28376132,1,28400742
2017,28376204,1,28400814
2017,28376220,1,28400830
2017,28376249,1,28400859
2017,28376257,1,28400867
2017,28376265,1,28400875
2017,28376268,1,28400878
2017,28376279,1,28400889
2017,28376284,1,28400894
2017,28376292,1,28400902
2017,28376308,7,28400918
2017,28376311,1,28400921
2017,28376332,1,28400944
2017,28376350,1,28400960
2017,28376370,1,28400980
2017,28376392,1,28401002
2017,28376401,1,28401012
2017,28376403,1,28401013
2017,28376424,1,28401034
2017,28376468,1,28401078
2017,28376499,1,28401109
2017,28376509,1,28401119
2017,28376522,1,28401131
2017,28376525,1,28401135
2017,28376591,1,28401201
2017,28376604,1,28401214
2017,28376642,1,28401252
2017,28376648,1,28401258
2017,28376665,1,28401275
2017,28376680,1,28401290
2017,28376695,6,28401306
2017,28376695,2,28401305
2017,28376708,1,28401318
2017,28376737,1,28401349
2017,28376748,1,28401360
2017,28376762,1,28401374
2017,28376790,1,28401401
2017,28376838,1,28401449
2017,28376852,1,28401463
2017,28376870,1,28401481
2017,28376881,1,28401492
2017,28376890,1,28401501
2017,28377272,1,28401884
2017,28377278,1,28401888
2017,28377284,1,28401895
2017,28377322,1,28401933
2017,28377329,1,28401940
2017,28377330,1,28401941
2017,28377373,1,28401984
2017,28377392,1,28402003
2017,28377396,3,28402007
2017,28377426,1,28402037
2017,28377438,1,28402049
2017,28377441,1,28402052
2017,28377447,1,28402057
2017,28377471,1,28402082
2017,28377498,1,28402109
2017,28377507,1,28402117
2017,28377515,1,28402125
2017,28377552,1,28402163
2017,28377556,1,28402167
2017,28377557,1,28402168
2017,28377570,4,28402181
2017,28377577,1,28402188
2017,28378024,1,28402636
2017,28378027,1,28402639
2017,28378032,1,28402644
2017,28378051,1,28402663
2017,28378055,1,28402667
2017,28378075,1,28402687
2017,28378192,1,28402804
2017,28378198,1,28402810
2017,28378208,1,28402820
2017,28378212,1,28402825
2017,28378216,1,28402828
2017,28378234,1,28402846
2017,28378242,1,28402854
2017,28378249,1,28402861
2017,28378258,1,28402870
2017,28378261,1,28402873
2017,28378286,1,28402897
2017,28378284,1,28402896
2017,28378297,1,28402909
2017,28378371,1,28402983
2017,28378392,1,28403004
2017,28379213,1,28403826
2017,28379373,1,28403986
2017,28379415,1,28404028
2017,28379446,1,28404059
2017,28379451,1,28404064
2017,28379452,1,28404065
2017,28379475,1,28404088
2017,28379530,1,28404143
2017,28379539,1,28404152
2017,28379565,1,28404178
2017,28348031,1,28372608
2017,28348047,1,28372623
2017,28348085,1,28372663
2017,28348095,1,28372672
2017,28348287,1,28372864
2017,28348336,1,28372913
2017,28348426,3,28373003
2017,28348482,1,28373059
2017,28348610,1,28373187
2017,28348690,1,28373267
2017,28348878,1,28373455
2017,28348996,1,28373573
2017,28349085,1,28373663
2017,28349083,1,28373661
2017,28349123,1,28373701
2017,28349186,1,28373764
2017,28349362,1,28373941
2017,28349545,1,28374122
