"","text","media"
"129","По словам активиста, после шествия памяти Маркелова и Бабуровой у станции метро Домодедовская со спины его кто-то спросил: «Че, с митинга Маркелова?». После этого начали бить по голове, разбили лицо","mediazona_post129"
"130","Неминуемо приближается 28 января, и все чаще поступают новости о задержаниях активистов. В Омске волонтеров штаба Навального доставили в отдел полиции «до выяснения обстоятельств», в псковском штабе начался обыск из-за листовок про «забастовку избирателей»; собираются также изъять компьютеры, принтеры и всю оргтехнику","mediazona_post130"
"131","К сочинскому блогеру пришли с обыском по делу о вымогательстве денег у депутата Госдумы; дверь он не открыл, но замок срезали","mediazona_post131"
"132","Вчера вечером адвокат главы чеченского «Мемориала» Оюба Титиева Петр Заикин, предупредив следователя, выехал из Чечни в Москву на выходные. По пути в аэропорт Махачкалы за ним вели слежку, а затем адвокат получил СМС, в котором следователь срочно вызвал его на следственные действия в Грозный — на утро субботы","mediazona_post132"
"133","Мэра подозревают том, что он выделил компании земельный участок стоимостью 1 млн рублей, хотя в действительности он стоил больше 80 млн рублей","mediazona_post133"
"134","I'm a firestarter, twisted firestarter","mediazona_post134"
"135","«Паддингтона» будут показывать с 20 января! <br><br>Очередная победа гражданского общества","mediazona_post135"
"136","На активиста «Открытой России» Виктора Смирнова в Новокузнецке напали с перцовыми баллонами. Один из нападавших пытался вырвать у него из рук папку с документами","mediazona_post136"
"137","Сенатора Сулеймана Керимова, обвиняемого в неуплате налогов и отмывании денег, отпустили на выходные в Россию — навестить родственника","mediazona_post137"
"138","Ну вот и комментарий Пескова о нападении на школу в Бурятии подвезли — про добро, зло и интернет: https://goo.gl/1EaaD8","mediazona_post138"
"139","Директор бурятской школы, в которой произошло нападение, уже нашел виноватых: https://goo.gl/yt9ank","mediazona_post139"
"140","Чеченский омбудсмен отчитался о посещении Аминат Автурхановой, которая добивалась расследования исчезновения ее мужа: она «дома в кругу семьи» и «недоумевает, откуда появилась информация об ее исчезновении» <br><br>https://zona.media/news/2018/01/19/aminat","mediazona_post140"
"141","Пожилая колясочница провела около получаса на сорокоградусном морозе в аэропорту Якутска. Ее не могли доставить в здание терминала без амбулифта и просто оставили рядом","mediazona_post141"
"142","Соратница художника Петра Павленского Оксана Шалыгина прошлой осенью была задержана в Париже за поджог дверей Банка Франции во время акции «Освещение». Два с половиной месяца она провела в знаменитой тюрьме Флери-Мерожи — в начале января стало известно, что Шалыгина вышла на свободу.<br><br>В беседе с писателем Владимиром «Адольфычем» Нестеренко Шалыгина рассказывает, как устроен быт во французской тюрьме, почему Павленский остался в заключении и какой смысл она вкладывает в акцию: https://zona.media/article/2018/01/19/adolfych-shalygina","mediazona_post142"
"143","Роскомнадзор собирается блокировать группы в социальных сетях, которые побуждают к насилию в школах. Администрация «ВКонтакте» уже отчиталась об удалении какого-то такого контента","mediazona_post143"
"144","В Волгограде задержали трех человек, которых подозревают в участии в перестрелке у кафе «Русский чай», в ходе которой погиб человек","mediazona_post144"
"145","Мэр Махачкалы стал фигурантом дела о превышении должностных полномочий из-за передачи земельного участка частной компании. Ущерб от его действий оценивается в 80 миллионов рублей","mediazona_post145"
"146","Число пострадавших при нападении на школу в Бурятии выросло до семи человек: это шестеро детей и одна учительница. Трое из них находятся в тяжелом состоянии. Все пострадавшие школьники учатся в одном классе.<br><br>Тем временем появилось видео задержания нападавшего","mediazona_post146"
"147","Конституционный суд решил не рассматривать жалобу Навального на закон о выборах президента, из-за которого ЦИК отказался его регистрировать. <br><br>«Вопреки мнению заявителя, введение ограничения имеет особенно важное значение, поскольку возможность избрания на эту должность лица, осужденного к лишению свободы за совершение тяжкого или особо тяжкого преступления и имеющего неснятую и непогашенную судимость за такое преступление, сама по себе создает крайне высокие риски для правовой демократии», — считают в КС","mediazona_post147"
"148","«Мой друг рассказывал стих на уроке, учитель сказал ему сесть, после этого кинули ""коктейль Молотова""»<br><br>Собираем все новости о нападении на школу в Бурятии.<br><br>https://zona.media/chronicle/burschool","mediazona_post148"
"149","В Улан-Удэ произошло нападение на школу. По данным правительства Бурятии, трое людей в масках бросили бутылку с зажигательной смесью в класс, а затем нападали на выбегавших семиклассников. По версии СК, нападавший был один, это ученик девятого класса","mediazona_post149"
"150","В Самаре сегодня обыск в штабе Навального, а судя по фотографиям с места событий — еще и погром","mediazona_post150"
"151","Вы ждали и дождались: вот и второй бумажный онлайн «Медиазоны» с заседания по делу экс-губернатора Никиты Белых! <br><br>Из-за плохого самочувствия Белых заседания на этой неделе проходят в «Матросской тишине»: сначала туда вообще не пускали журналистов, потом стали отбирать телефоны на входе. Наш корреспондент вел подробный конспект","mediazona_post151"
"152","«Увольне­ние точно не добавит им патриотизма и во­спитания»<br><br>Ульяновский губернатор призвал не отчислять курсантов за пародию на Satisfaction. Да и прокуратура ничего такого в ролике не нашла: https://goo.gl/1zRxdD","mediazona_post152"
"153","Избитый силовиками студент-медик Мурад Рагимов получил три с половиной года колонии по обвинению в хранении наркотиков. <br><br>А вот за жестокие издевательства над ним так никого и не наказали","mediazona_post153"
"154","!!! Полицейские пришли к офису «Мемориала» в Грозном и требуют открыть его для проведения неких следственных действий","mediazona_post154"
"155","Страшная история из Новокузнецка:<br><br>В свободное от учебы время студенты Кузбасского института ФСИН инсценировали ДТП, требуя за это деньги. Они попытались убить однокурсницу, которая угрожала об этом рассказать","mediazona_post155"
"156","Невероятно, но факт!<br><br>Чиновница не смогла объяснить, как купила дорогую машину, и её арестовали (машину)","mediazona_post156"
"157","Женщина из Челябинской области пыталась продать право на секс со своей 13-летней дочкой. Просто нет слов, если честно","mediazona_post157"
"158","«Он мне предлагал 80 тысяч, чтобы я сказал ""прокурорским"", что я ""сам сломал руку о подоконник"". Я говорю: ""Так дело не пойдет"". Он говорил, что ему через год на пенсию, у него выслуга лет, у него ипотека, семья, ребенок. Пояснил: ""Я сразу понял, что ты не быдло и не алкаш"". И я про себя подумал: а с быдлом и с алкашом так поступать, значит, можно?»<br><br>Житель Челябинска говорит, что полицейский, который сломал ему руку, предлагал деньги за ложные показания","mediazona_post158"
"159","Карма наносит ответный удар","mediazona_post159"
"160","Владельцы кинотеатров узнали о переносе «Паддингтона» за день до премьеры и теперь возвращают деньги за билеты. Родители с детьми меняют планы на выходные, и всё ради очередного шедевра славянского кинематографа","mediazona_post160"
"161","Суд в Сочи закрыл дело о репостах карикатур с Иисусом против инженера Виктора Ноченова! За эти репосты в прошлом августе его оштрафовали на 50 тысяч рублей, но потом дело отправили на новое рассмотрение.<br><br>Мы подробно рассказывали, как эксперты и служители трех религий всерьез толковали глупые картинки из интернета и соотносили даты постов с православными праздниками","mediazona_post161"
"162","Пока заседания по делу экс-губернатора Никиты Белых проходят в «Матросской тишине», мы будем вести бумажные онлайны и публиковать их по вечерам. Наш корреспондент уже едет в «Матросскую тишину» — с блокнотом и ручкой, прямо как в старые добрые времена!<br><br>А пока почитайте про вчерашнее заседание: https://zona.media/online/2018/01/17/belikh_26","mediazona_post162"
"163","За освобождение Кочуйкова полковник Максименко требовал пять миллионов долларов, пишет «Коммерсант». Источник газеты говорит, 500 тысяч долларов от Шейхаметова были первой частью этой суммы:<br><br>https://zona.media/news/2018/01/18/five-mln","mediazona_post163"
"164","В своем выступлении Рамзан Кадыров предположил, что певца Бакаева убили его родственники, узнав о его гомосексуальности: «Его родные, которые не уследили, которым стыдно было признать, что он их, сейчас говорят, что Кадыров забрал».<br><br>Затем глава Чечни продолжил и заодно прокомментировал задержание главы местного отделения правозащитного центра «Мемориал» Оюба Титиева: «Стоило поймать их наркомана, и весь мир встал. Почему они их права не защищали? Такие же наркоманы»","mediazona_post164"
"165","И все-таки мы публикуем трансляцию с суда по делу Никиты Белых — наша корреспондентка Лиза Пестова конспектировала допросы свидетелей на листе бумаги, потому что телефон у нее отобрали на входе в СИЗО","mediazona_post165"
"166","Эксперты обнаружили у Бориса Грица характерные для шизофрении расстройства в виде бредовых идей и преследования. По их мнению, обвиняемый «не может правильно воспринимать обстоятельства дела, давать показания и нуждается в направлении на принудительное лечение в медицинское учреждение»","mediazona_post166"
"167","«Нам мешают работать сборища несовершеннолетних и лиц неадекватных по своему психическому состоянию, которые нигде не работают и не учатся»","mediazona_post167"
"168","В Чебоксарах полиция пришла в штаб Навального и изымает все агитационные материалы. Говорят, хотят проверить на экстремизм","mediazona_post168"
"169","Два года колонии поселения за четыре видео «экстремистского содержания»","mediazona_post169"
"170","Накануне полицейские уже вынесли из штаба всю технику и листовки","mediazona_post170"
"171","Начальника отдела по внедрению петербургского Центра «Э» задержали на выходе из кафе, где он получил муляж 1 млн рублей<br><br>Второй взяточник сумел уехать от сотрудников ФСБ и убежать с муляжом в руках в лесополосу","mediazona_post171"
"172","Потрясающая история из Владивостока:<br><br>В общагу к студенту пришли искать листовки и наклейки Навального, потом ему угрожали протоколом о незаконной агитации","mediazona_post172"
"173","Участковый врач якутского поселка Иенгра, ударивший пациентку, которая пришла снимать побои, оказался местным депутатом","mediazona_post173"
"174","Написал пост в интернете — реальный срок.<br><br>Задержал человека, два часа избивал и издевался над ним, чтобы заставить признаться в краже — условный срок","mediazona_post174"
"175","«Новая газета» опубликовала запись с камер видеонаблюдения, на которую попали двое в масках, устроившие поджог офиса «Мемориала» в Назрани","mediazona_post175"
"176","Рубрика «Невероятные совпадения»: <br><br>Судья оштрафовал чиновника за взятку и в тот же день ушел в отставку!","mediazona_post176"
"177","Сегодня утром журналиста Сергея Кагермазова не пустили в здание Заксобрания Петербурга и увезли оттуда в отдел СК. Его обязали завтра явиться на опрос в связи с уклонением от армии.<br><br>Спикер Заксобрания Вячеслав Макаров очень переживает, что Кагермазов не служил. Можем только предположить, что это как-то связано со статьями, в которых журналист его критикует","mediazona_post177"
"178","Сначала журналистов вообще не пускали на заседание по делу Белых в «Матросскую тишину», потом всё-таки изволили, но отобрали телефоны. Пользоваться разрешили только блокнотом и ручкой.<br><br>Шёл 2018 год","mediazona_post178"
"179","В Марий Эл сотрудники ДПС избили водителя пожарной машины и сломали ему руку. Суд решил, что 20 тысяч рублей — нормальная компенсация","mediazona_post179"
"180","Пришел пьяным в школу и ударил жену на глазах у ее учеников — получи трое суток за мелкое хулиганство","mediazona_post180"
"181","Жена егеря из Челябинска приняла журналистов за наркопотребителей, которые ищут закладку, и вызвала полицию.<br><br>С кем не бывает!","mediazona_post181"
"182","Неизвестные обстреляли дверь квартиры юриста штаба Навального в Хабаровске Станислава Денисенко из травматического оружия, потом били топорами. На стенах лифта написали угрозы","mediazona_post182"
"183","В Оренбурге зарезали бизнесмена и его семилетнего сына. Их тела нашли в обгоревшей машине.<br><br>Хорошо, что сейчас не лихие девяностые, да?","mediazona_post183"
"184","Полицейский из Боготола получил три года за пытки подростка электрошокером: <br><br>https://zona.media/news/2018/01/17/krk","mediazona_post184"
"185","В четвертом часу ночи люди в масках устроили поджог в офисе «Мемориала» в Назрани:<br><br>https://zona.media/news/2018/01/17/mem","mediazona_post185"
"186","Суд дал 14 лет колонии священнику Глебу Грозовскому за сексуальное насилие в отношении детей","mediazona_post186"
"187","«Коммерсант» пишет, что следствие попросило арестовать подростков после нападения в пермской школе; возбуждено дело о халатности, которая привела к причинению вреда здоровью детей","mediazona_post187"
"188","Профессор Александр Соловьев рассказал, что его уволили с должности декана факультета агрономии и биотехнологии Тимирязевской академии. Он требовал вернуть выборы ректора","mediazona_post188"
"189","Источники «Ведомостей» рассказали, что власти нашли еще один способ повысить явку на президентских выборах: голосования по проектам городского благоустройства","mediazona_post189"
"190","В Великом Новгороде полицейские пришли в штаб Навального и забирают листовки, подготовленные к акции 28 января, принтеры и ноутбуки","mediazona_post190"
"191","Несколько студентов казанского университета утверждают, что их заставляют идти на встречу с Путиным, которая пройдет 25 января. За отказ им грозят снизить оценку на экзамене. Представитель университета в комментариях под постом «Команды Навального» настаивает, что студентам лишь предложили прийти на мероприятие","mediazona_post191"
"192","В Якутии уволили врача, ударившего пациентку, которая пришла снимать побои. Побои, которые он же нанес ей на дискотеке","mediazona_post192"
"193","Предприниматель Илья Трабер добился возбуждения дела о клевете из-за фильма «Питерские». Обвиняемых в деле еще нет, но полиция уже запросила личные данные журналистов «Дождя», которые работали над фильмом","mediazona_post193"
"194","На заседании по делу Дмитрия Борисова допросили активиста, который 26 марта собирался снимать действия полицейских на камеру и потом оказывать задержанным юридическую помощь, но в итоге сам оказался задержан.<br><br>Он говорит, что видел в тот день, как полицейские избивали и задерживали людей","mediazona_post194"
"195","Пресс-секретарь Кадырова говорит, что люди из соседних регионов привозят наркотики в Чечню и раздают бесплатно. Вот оно что","mediazona_post195"
"196","Умер житель Ишимбая, который вчера у здания администрации ударил себя ножом, выпил кислоту, облился бензином и поджег себя с криками «Коррупция, коррупция!»","mediazona_post196"
"197","Крымского активиста Владимира Балуха осудили на три с половиной года колонии-поселения. Прокуратура просила для него пять лет","mediazona_post197"
"198","Трансгендер Владислав из Екатеринбурга начал гормональную терапию в марте 2016 года. Препараты он заказывал в Белоруссии и получал по почте — купить их в аптеке можно только по рецепту, который выдают после прохождения комиссии, да и стоят они там в несколько раз дороже.<br><br>Однажды на выходе из почты Владислава остановили уральские таможенники, и теперь ему грозит серьезный срок — препарат, который он заказал, стоит в одном ряду с контрабандой наркотиков, ядов и оружия массового поражения. Его историю рассказывает Настя Ясеницкая: https://zona.media/article/2018/01/16/slava","mediazona_post198"
"199","Нашего корреспондента и журналистов еще четырех изданий не пускают в «Матросскую тишину» на заседание по делу экс-губернатора Никиты Белых. Заседание должно было начаться в 11 утра (и наверняка уже началось)","mediazona_post199"
"200","По данным ТАСС, у фонда «Пятое время года» нашли незарегистрированный филиал в Кемеровской области","mediazona_post200"
"201","Займутся ли местные власти вопросом безопасности на воде или просто утопят всю тяжелую технику в районе?<br><br>https://zona.media/news/2018/01/16/parovozik","mediazona_post201"
"202","В 2016 году «Левада-центр» признали «иностранным агентом», поэтому организация никак не может участвовать в выборах — это грозит штрафами и закрытием:<br><br>https://zona.media/news/2018/01/16/levada-otkaz","mediazona_post202"
"203",NA,"komsomolka_post1"
"204","Друзья, у вас есть собака? <br> <br>Если да, то настало время рассказать об этом! В честь символа Нового года у нас стартует конкурс «Собака-друзяка»! <br> <br>Правила простые: <br>1. Вступить в нашу группу: [club15722194|Комсомольская правда - KP.RU] <br>2. Сделать репост этой записи себе на страницу с хештегом #собакадрузяка <br>3. Сфотографировать свою собаку или себя вместе с питомцем и выложить в этот конкурсный альбом: https://vk.com/album-15722194_249808671<br>4. В описание к фото добавить несколько слов о том, как собака изменила вашу жизнь к лучшему.<br> <br>Самый креативный автор получит для своего питомца вкусный приз – мешок корма (равный 5000 рублей в денежном эквиваленте)! <br> <br>Фотографии принимаются до 17:00 31 января 2018 года. Подведение итогов конкурса - 31 января. <br> <br>Победителя выберет редакция «КП». <br> <br>Удачи!","komsomolka_post2"
"205","Новое исследование ученых из Калифорнийского университета в Лос-Анджелесе позволили открыть ранее неизвестный молекулярный механизм, который показывает влияние холестерина на рост опухоли в человеческом организме.<br><br>https://www.kp.ru/daily/26787.5/3821647/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post3"
"206","Актриса Карина Разумовская рассказала об окончании съемок третьего сезона «Мажора»<br><br>https://www.kp.ru/putevoditel/serialy/mazhor-3-sezon/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post4"
"207","В защиту врача-гематолога Елены Мисюриной, осужденной на два года за причинение смерти пациенту, развернулась поистине беспрецедентная кампания.<br><br>https://www.kp.ru/daily/26787/3821883/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post5"
"208","Как же на самом деле похудела Алла Борисовна?<br><br>https://www.kp.ru/daily/26787.5/3821881/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post6"
"209","Актриса Анна Ардова поделилась в поклонниками фотографиями с отдыха на Шри-Ланке. Похоже, что многие отреагировали на снимки не совсем так, как она ожидала.<br><br>https://teleprogramma.pro/news/328391/","komsomolka_post7"
"210","Главред «Говорит Москва» Сергей Доренко решил выразить свое мнение о медийной дискуссии Шнурова и Чаплина:<br><br>https://www.kp.ru/daily/26787.5/3821904/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post8"
"211","В будущем летом можно будет не опасаться комаров!<br><br>https://www.kp.ru/daily/26787.5/3821542/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post9"
"212","На церемонии вручения премии «Золотой орел» исполнительница роли Карениной Елизавета Боярская получила награду как лучшая актриса. Ее поздравляли коллеги и друзья. Но самые теплые слова прозвучали от мужа Максима Матвеева, который в постановке исполнил роль Вронского.<br><br>https://teleprogramma.pro/news/328398/","komsomolka_post10"
"213","В Сокольниках открылся парк, в котором можно запрячь северных собак и с ветерком промчаться по лесу<br><br>Подробности: https://www.kp.ru/daily/26787/3821797/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post11"
"214","Актриса отныне несет вахту в программе вместо самой Елены Летучей, давно покинувшей проект. Работать в «Ревизорро» ответственно, волнительно. Недавно на съемках Настасью едва не побили: это еще и рискованно! Своими эмоциями Настасья поделилась с «КП»:<br><br>https://www.kp.ru/daily/26787/3821864/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post12"
"215","Теперь можно сказать, что футболист женился на Анастасии Костенко трижды. 9 января 2017 года они отправились в ЗАГС, но никаких гуляний не устраивали. А сегодня стало известно о том, что Дмитрий Тарасов еще и обвенчался, а после началось широкое празднование свадьбы.<br><br>https://www.kp.ru/daily/26787/3821896/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post13"
"216","Первая жена нынешнего президента США не устает давать интервью о своей жизни с Дональдом и частенько комментирует таблоидам очередное эпатажное высказывание хозяина Белого дома. <br>https://www.kp.ru/daily/26787.5/3821856/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post14"
"217","Татьяна Устинова всегда спокойно принимала свою фигуру. Но однажды писательница поняла, что устала жить в своем теле и уже хочется каких-то перемен:<br><br>https://www.kp.ru/daily/26787.5/3821683/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post15"
"218","Вот это настоящий джентльмен! В Сети набирает популярность видео со львом, целующим лапу собаке. <br> <br>Подробности: https://www.kp.ru/online/news/3005117/","komsomolka_post16"
"219","Ограбление века или пробило на шоколад: В Германии воры-сладкоежки похитили два грузовика с 44 тоннами шоколада. <br><br>https://www.kp.ru/online/news/3004965/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post17"
"220","#МНЕНИЕ<br>Американцы готовят новую бойню в Донбассе в марте, лицемерно обещая контролировать поставляемое Киеву оружие.<br><br>Подробнее — в блоге Дмитрия Родионова: http://ren.tv/blog/269670","komsomolka_post18"
"221","Главные новости к вечеру понедельника:<br><br>1. Презентация в Конгрессе США так называемого «кремлевского доклада» является попыткой оказать влияние на президентские выборы в РФ. Об этом заявил пресс-секретарь главы российского государства Дмитрий Песков:<br>https://www.kp.ru/online/news/3004642/?utm_source=vk&amp;utm_campaign=social_share<br><br>2. Сегодня прошла пресс-конференция Международного Паралимпийского комитета, который официально огласил свое решение по спортсменам России. Паралимпийцев России допустили в Пхенчхан в нейтральном статусе, но им полностью запретили флаг:<br>https://www.kp.ru/daily/26787/3821627/?utm_source=vk&amp;utm_campaign=social_share<br><br>3. Российская компания «Силовые машины» (производит оборудование для электростанций) попала в санкционный список американского Минфина. Промышленному концерну досталось за турбины Siemens, попавшие в Крым:<br>https://www.kp.ru/daily/26787.5/3821802/?utm_source=vk&amp;utm_campaign=social_share<br><br>4. Резонансное дело известного врача-гематолога Елены Мисюриной продолжает будоражить общественность. На защиту кандидата медицинских наук встали уже не только сотрудники медицинской сферы, но и пациенты, а также просто неравнодушные граждане:<br>https://www.kp.ru/daily/26787/3821662/?utm_source=vk&amp;utm_campaign=social_share<br><br>5. Председатель российского правительства Дмитрий Медведев, выступая сегодня, на совещании с вице-премьерами, сообщил, что утвердил стратегию развития промышленности по утилизации отходов производства на срок до 2030 года:<br>https://www.kp.ru/online/news/3005078/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post19"
"222","Минпромторг намерен приравнять электронные сигареты к обычным. Законопроект предлагает запретить их использование в образовательных, культурных, спортивных и медицинских учреждениях. Также подразумевается запрет на продажу электронных сигарет несовершеннолетним и ограничение на их рекламу. <br><br>https://www.kp.ru/online/news/3004928/?utm_source=vk","komsomolka_post20"
"223","Трехкомнатная квартира на Васильевском острове — это не все прелести для нового «съемщика». Хозяин квартиры заманивает клиентов на «Гнойного». Именно в этой квартире жил, давал интервью Юрию Дудю для шоу «вДудь» и творил знаменитый рэпер. Сдается бывшая обитель «рэп-исполнителя» с 14 февраля:<br><br>https://www.kp.ru/daily/26784.5/3821817/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post21"
"224","Президент принял участие в мероприятиях, посвящённых Международному дню памяти жертв Холокоста и годовщины полного освобождения Ленинграда от фашистской блокады<br><br>Подробности: https://www.kp.ru/daily/26787/3821843/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post22"
"225","В апреле этого года Илья Резник отметит 80-летие. Но трудное детство никак не отпускает артиста. Глубокая рана не затянулась до сих пор. В передаче «Когда все дома» Резник поделился подробностями предательства своей матери.<br><br>https://teleprogramma.pro/news/328430/","komsomolka_post23"
"226","Ученые продолжают изучать вред алкоголя и табака для человека. На этот раз выяснились совершенно удивительные факты: даже треть пинты пива уже притормаживает наш мозг, а курильщикам рекомендуют пить апельсиновый и виноградный соки. <br><br>А еще там такое про комаров написано — читайте на https://www.kp.ru/daily/26787.5/3821703/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post24"
"227","Трудовая жизнь у российских мужчин — на десятилетие короче, чем на Западе. Но не потому что много отдыхают, а потому что мало живут. Многие мужчины в России попросту не доживают до пенсионного возраста.<br><br>https://www.kp.ru/daily/26787.5/3821793/?utm_source=vk","komsomolka_post25"
"228","На юге Китая потерпел крушение небольшой самолет неустановленного типа, принадлежащий национальным военно-воздушным силам<br><br>Подробности: https://www.kp.ru/online/news/3004981/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post26"
"229","29 января 1860 года родился великий русский писатель и драматург Антон Павлович Чехов. Он стал мастером малого жанра — рассказа. По его произведениям только в нашей стране снято более двухсот фильмов, а многие фразы из рассказов Чехова давно стали крылатыми и навсегда запомнились многим читателям.","komsomolka_post27"
"230","В России стартовала онлайн-распродажа «Киберпонедельник», которая продлится целых три дня. В течение акции можно купить бытовую технику, обувь, смартфоны, аксессуары и другие товары со скидкой до 90 % в интернет-магазинах.<br><br>https://www.spb.kp.ru/daily/26785/3818850/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post28"
"231","23 января 2018 года на местном телеканале показали сюжет о праздновании жителями Крещения Господня. Среди участников действа жительница Башкирии узнала своего бывшего супруга. Все бы ничего, но 37-летний мужчина уже три года уклоняется от уплаты алиментов на двоих детей и скрывается от судебных приставов.<br><br>https://www.kp.ru/daily/26787/3821686/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post29"
"232","Российская таможня научилась отслеживать крупные покупки россиян, которые те делают за границей. Теперь ведомство получает оперативную и точную информацию о стоимости заграничных покупок и даже знает, каким рейсом полетит покупатель. «КП» подробно разобралась в ситуации.<br><br>https://www.kp.ru/daily/26787.5/3821624/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post30"
"233","В Нью-Йорке вновь вручили«Грэмми». И вновь имена победителей вызвали меньше дискуссий, чем их наряды. Смотрите на звёзд, чьи образы вызвали у гуру моды недовольство.<br><br>Подробности: https://www.kp.ru/daily/26784.5/3821406/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post31"
"234","Вот уже неделю бурлит интернет: все обсуждают исход резонансного дела врача Елены Мисюриной. Судья Черемушкинского районного суда Никиточкина приговорила доктора к реальному сроку — двум годам лишения свободы!<br><br>https://www.kp.ru/daily/26787.5/3821241/?utm_source=vk&amp;utm_campaign=social_share<br><br>Как вы считаете, будут ли теперь врачи рисковать ради спасения больного?","komsomolka_post32"
"235","Аренда самой дорогой квартиры в Москве составила 600 тысяч рублей. Именно столько придется выложить за апартаменты в «Москва-Сити».<br><br>https://www.kp.ru/daily/26787.5/3821701/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post33"
"236","Кто бы мог подумать, что спустя почти 30 лет после пика популярности Дмитрий Маликов вернёт себе былую славу? Более того, что армия его поклонниц будет включать девушек всех возрастов - от подростков лет 13-и до дам 50+! А ведь так и случилось: Дмитрий Маликов, как хороший коньяк, с годами стал лишь лучше. В 48-й день рождения певца вспомним, что в недавнем прошлом возродило к нему интерес","komsomolka_post34"
"237","Дмитрий Маликов, которому сегодня исполняется 48 лет, не только обладатель шикарного голоса и замечательных песен, но и здорового чувства юмора и самоиронии. Стоит только зайти в его Твиттер, чтобы убедиться в этом лично:","komsomolka_post35"
"238","В преддверии ЧМ-2018 существенно возрастает риск столкнуться с фальшивыми банкоматами. Такие устройства перед установкой часто маскируют под банкоматы известных банков, однако по факту они не принадлежат ни одной финансовой организации:<br><br>https://www.kp.ru/online/news/3004624/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post36"
"239","Душещипательные кадры поступили из индийского штата Карнатака, где корова сопровождала своего теленка до ветлечебницы","komsomolka_post37"
"240","Сегодня во всем мире отмечается День мобилизации против угрозы ядерной войны, целью которого является призыв прекратить гонку ядерных вооружений, сократить и ликвидировать ядерные арсеналы стран мира и устранить саму угрозу ядерной войны.","komsomolka_post38"
"241","«Пришлось реагировать очень быстро, ибо понимал, что никто другой кроме меня сейчас не поможет спасти человека от пожара»<br><br>В западне оказался молодой парень, пытавшийся выбраться из полыхающего помещения. В это время ему на выручку и бросился офицер Алексей Парфенов.<br><br>https://www.kp.ru/daily/26787.5/3821559/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post39"
"242","В лютые морозы женщина, несмотря на предупреждения спасателей, поехала встречать из командировки любимого мужа. Из-за аномальной температуры ее машина заглохла посреди трассы. По счастью, на дороге вдруг показался экипаж ДПС:<br><br>https://www.kp.ru/daily/26787.5/3821582/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post40"
"243","В последнее время Людмила Сенчина жила в большом доме под Петербургом. Дача для нее была всем: там и любимый сад, и сосновый лес вокруг, и два больших озера, и любимые соседи.<br><br>https://www.kp.ru/daily/26784.5/3821528/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post41"
"244","Нимфы из Первоуральска обещали рай на земле — взамен пыльных квадратных метров они сулили загородный дом. Ну и обещали, что сами будут навещать вас, ведь как можно не навестить такого видного мужчину. Ну, мужчины и верили.<br><br>https://www.ural.kp.ru/daily/26784.7/3817366/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post42"
"245","😊 Совет от великого лётчика","komsomolka_post43"
"246","29 января было официально объявлено решение по участию российских спортсменов в Паралимпийских Играх 2018 года в Пхенчхане. Санкции в отношении наших спортсменов будут сохранены. <br><br>https://www.kp.ru/online/news/3004536/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post44"
"247","Объект, который виден на снимках с Луны, официально признан астероидом. Несмотря на это, назвали его весьма двусмысленно, с явным намеком на инопланетный корабль:<br><br>https://www.kp.ru/daily/26774/3808738/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post45"
"248","Продюсер группы «Ласковый Май» Андрей Разин поделился архивным снимком народной артистки СССР Аллы Пугачевой. Фанаты Аллы Борисовны ужаснулись и с трудом узнали певицу.<br><br>https://teleprogramma.pro/news/328420/","komsomolka_post46"
"249","Жительница Новокузнецка пытала своего возлюбленного песнями Софии Ротару. После музыкальных пыток женщина, в состоянии алкогольного опьянения, несколько раз ударила мужа ножом.<br><br>https://www.kp.ru/daily/26787/3821412/?utm_source=vk&amp;utm_campaign=social_share","komsomolka_post47"
