"","text","media"
"25","Трансляция новостного выпуска в канале Навальный LIVE прервалась — полицейские в прямом эфире выпилили замок на двери в студию. У вышедшего из студии ведущего Дмитрия Низовцева грубо отобрали телефон и устроили досмотр, затем Низовцева с коллегой, режиссером трансляции, офис-менеджером и юристами ФБК отвезли в ОВД Даниловский. <br><br>Полицейские говорили, что сообщение о бомбе в здании ФБК мог оставить сам ведущий (!)","mediazona_post25"
"26","Полицейские вскрыли дверь в офис ФБК в Москве — сначала болгарку не могли завести, но затем все получилось. Из офиса ведется прямая трансляция по акциям «Забастовки избирателей»<br><br>https://zona.media/online/2018/01/26/strike#17129","mediazona_post26"
"27","Начинаем онлайн по акциям сторонников Навального в поддержку «Забастовки избирателей», которые проходят по всей стране. <br><br>Первое задержание — Южно-Сахалинск, девушку увели с митинга за надвинутый на лицо шарф. В Москве полиция уже пришла в офис ФБК, откуда ведется прямой эфир по акциям в YouTube, а в Барнауле обыскала штаб прямо во время митинга<br><br>https://zona.media/online/2018/01/26/strike","mediazona_post27"
"28","По версии полицейских, журналисты «Медиазоны» толкнули охранницу и выражались в суде нецензурной бранью (!!!), причем оба сразу — у них одинаковые обвинения в протоколе. <br><br>Нет, чтобы вы понимали, как это выглядит: матерщинники толкнули охранницу в суде. Штраф 500 рублей каждому","mediazona_post28"
"29","Тот момент, когда на тебя составляют административку за «инициирование внесения отметок» в собственный паспорт. Инициирование путем обращения в МФЦ","mediazona_post29"
"30","Наших журналистов, пытавшихся попасть на арест к антифашисту Шишкину, задержали за НЕЗАКОННОЕ ПРОНИКНОВЕНИЕ В СУД. В суде считают, что все правильно","mediazona_post30"
"31","«Один из них сказал, что они могут выбросить меня где-нибудь в лесу и переломать мне ноги — и я уже начал ждать этого момента, когда все закончится, потому что они так долго меня пытали, что это было уже совершенно невыносимо»<br><br>Житель Петербурга Илья Капустин рассказывает, как силовики пытали его электрошокером, чтобы он рассказал о недавно арестованном знакомом, движении анархистов и о Пензе, где никогда не бывал","mediazona_post31"
"32","Главу карельского «Мемориала» Юрия Дмитриева освободили из СИЗО. «Уже в 8 утра Юрий Алексеевич был дома. Все нормально, настроение хорошее»","mediazona_post32"
"33","Источник «Росбалта» рассказал о задержании высокопоставленного сотрудника краснодарского управления ФСБ. Его подозревают в вымогательстве взятки в 30 млн рублей у бизнесмена","mediazona_post33"
"34","«Пионер» прекратит показы фильма «Смерть Сталина». В кинотеатре просят за «дополнительными вопросами» обращаться в Минкульт","mediazona_post34"
"35","Уральская таможня прокомментировала наш текст про дело трансгендера, обвиняемого в контрабанде за покупку гормонов в интернете, и призвала журналистов «не искать сенсации» <br>https://zona.media/news/2018/01/26/chmora","mediazona_post35"
"36","Цветные карандаши — отобрать!<br>Ручки и краски — отобрать!<br>Книги — отобрать!<br>Розетку — замуровать!<br><br>Как Олег Навальный отбывает срок в орловской ИК-5","mediazona_post36"
"37","На востоке Москвы ПОЛИЦЕЙСКИЙ НА СЛУЖЕБНОЙ МАШИНЕ СБИЛ ПЕНСИОНЕРКУ НА СОБАЧЬЕЙ УПРЯЖКЕ<br><br>😱😱😱<br><br>КАК","mediazona_post37"
"38","Пятиминутка юмора на «Медиазоне»!<br><br>Подполковник уголовного розыска с Камчатки украл штору для ванн и лампу из петербургской IKEA: https://goo.gl/aFCJqo","mediazona_post38"
"39","После расставания мужчина преследовал жительницу Ульяновска, избивал ее, неоднократно обещал убить ее и сына. Она обращалась к полицейским, но они ничего не делали","mediazona_post39"
"40","СК в Сочи заинтересовался видеозаписью, на которой медсестры увозят пациента на коляске и оставляют его лежать за забором больницы","mediazona_post40"
"41","Немного хороших новостей в вашу ленту!<br><br>В Казани оправдали активиста, которого обвиняли в мелком хулиганстве за попытку доказать охранникам, что ограждения на парковке у отеля установлены незаконно","mediazona_post41"
"42","⚡ Полицейские пришли в московский кинотеатр «Пионер», где вчера прошла премьера комедии «Смерть Сталина»","mediazona_post42"
"43","«Это уже 33 заседание, 582 дня 13968 часов 838 с лишним минут я нахожусь в тюрьме. Каждую из этих минут я думаю, как это произошло и почему гособвинению выгодно руководствоваться презумпцией виновности»<br><br>Экс-губернатор Никита Белых выступает с последним словом. Начинаем онлайн: https://goo.gl/jofCyV","mediazona_post43"
"44","До акций сторонников Навального по всей России оставалось два дня:<br><br>— Полицейские задержали координатора штаба в Уфе (там акция не согласована)<br><br>— Сторонника Навального в Петербурге отпустили из отделения полиции и обязали прийти в суд в понедельник<br><br>— В Южно-Сахалинске полицейские забрали у сторонников Навального наклейки про «забастовку избирателей»<br><br>— Полицейские в Челябинске пришли в штаб, ничего не изъяли и вскоре ушли. Что это было вообще?","mediazona_post44"
"45","Блогеру Константину Ишутову придется удалить из своего ЖЖ семь постов с критикой чувашских полицейских, а то они обиделись","mediazona_post45"
"46","Итак!<br><br>Результат вчерашнего победителя в «Симуляторе протеста» — 1 минута 43 секунды. Поздравляем! С вами скоро свяжутся по оставленной почте.<br><br>💥💥💥<br><br>Каждую полночь обнуляем рекорды, чтобы шанс выиграть приз из нашего крутого магазина был у каждого. Посмотрим, какой результат победит сегодня!","mediazona_post46"
"47","Активиста Евгения Доможирова в ноябре оправдали по статьям о возбуждении ненависти и клевете, но признали виновным в оскорблении полицейского. Он отрицал вину по всем статьям: <br><br>https://zona.media/news/2018/01/26/dom-appeal","mediazona_post47"
"48","Суд на Украине посчитал, что Агеев — российский военный, который по контракту служил в ЛНР","mediazona_post48"
"49","Ночной обыск начался в квартире питерских антифашистов. Работают сотрудники ФСБ. <br><br>Только сегодня вечером стало известно, что левого активиста Виктора Филинкова, который пропал по пути в аэропорт, арестовали по делу об участии в террористическом сообществе. Странные новости из Петербурга поступают","mediazona_post49"
