rowname,title,body_text,categories
86,выставка «Искусство Великого Новгорода эпохи святителя Макария»,"Ключевая личность в российской истории и культуре первой половины XVI века — владыка Макарий. Именно с его деятельностью связан расцвет всех видов искусства в Новгороде. В Русском музее хранятся иконы, литургическая утварь, резные произведения и другие предметы, созданные мастерами древнего Новгорода, во многом определившего характер искусства всего государства. Центральный экспонат выставки в Корпусе Бенуа — резной золочёный амвон, изготовленный для Софийского собора по инициативе Макария в 1533 году. Памятник настолько потряс своей красотой современников, что повествование о нём включили в летопись. Амвон демонстрируется впервые после многолетней реставрации. О том, что собой представляли восстановительные работы, рассказывают фотографии, видео и другие материалы. Открытие выставки — 27 апреля в 16:00. Дополнительную информацию можно узнать на официальном сайте Русского музея.",exhibition
88,выставка-продажа живописи Дмитрия Кустановича «Экспрессия цвета»,"Имя Дмитрия Кустановича хорошо известно российской и зарубежной публике: художник провёл более 100 выставок, его картины входят в крупные галерейные собрания и частные коллекции. Мастер сформировал собственную концепцию применения цвета. Его эмоциональные выразительные полотна затрагивают самые тонкие струны человеческой души.Среди самых любимых зрителями серий — экспрессивные «Бабочки», ритмичные «Городские дожди», строгий изысканный цикл «Под небом Северной столицы». Если образ города у Кустановича строится на сопоставлении контрастных цветов, то в лесных пейзажах преобладает гамма родственных оттенков.В Галерее Кустановича представлены как известные работы живописца, так и его новые произведения. Здесь можно не только увидеть, но и приобрести оригиналы картин и авторские репродукции с подписью мастера.Дополнительную информацию узнавайте на официальном сайте Дмитрия Кустановича или по телефонам  +7 (812) 926-62-65 и +7 (911) 926-62-65.Детали — в Facebook и «ВКонтакте».",exhibition
90,мультимедийная выставка «Айвазовский — Ожившие полотна»,"В 2017 году исполняется 200 лет со дня рождения Ивана Айвазовского — одного из самых известных отечественных маринистов, воспевшего в своих произведениях многогранный характер стихии. Свои полотна художник писал исключительно по памяти, считая, что копировать пейзаж могут многие, а переосмыслять — единицы. Познакомиться с самыми разными состояниями моря — от полного штиля до шторма, сравнимого с концом света, — жителям Петербурга предлагается в креативном пространстве «Люмьер-Холл», где проходит мультимедийная выставка «Айвазовский — Ожившие полотна». Она разительно отличается от предыдущих подобных проектов как визуальным наполнением, так и техническим оснащением: анимация картин выведена на совершенно новый уровень. Динамичный видеоряд, 30 проекторов высокого разрешения и объёмный звук позволяют зрителям оказаться «внутри» работ мариниста, вдохнуть солёный морской воздух и стать свидетелями легендарных корабельных баталий. Всего на выставке можно увидеть более 200 творений Айвазовского, оригиналы которых хранятся в музеях России и Армении. Дополнительную информацию узнавайте на официальном сайте проекта или по телефону +7 (812) 407-17-31.",exhibition
91,выставка-аллюзия «Шекспир/Тайна/400»,"С выставкой, приуроченной к 400-летней годовщине смерти Уильяма Шекспира, уже знакома московская публика, и теперь на очереди — Петербург. Экспозиция «Шекспир/Тайна/400» — это соединение подлинных фактов и откровенных фантазий на заданную тему, нашедших воплощение в арт-объектах. Посетители Музея-усадьбы Гавриила Державина оказываются в окружении впечатляющих декораций, которые рассказывают о жизни и творчестве английского писателя. Здесь можно рассмотреть макет легендарного театра «Глобус», прилечь на готическую кровать, в буквальном смысле слова вдохнуть ароматы известных пьес, отправить послание Джульетте, ознакомиться с тайным архивом подозреваемых, проходящих по делу «Личность Шекспира», соприкоснуться с одной из крупнейших мистификаций в истории мировой литературы. Представленные предметы вступают в диалог с объектами постоянной экспозиции музея, в результате чего раскрывается ещё одна любопытная тема — «Русский Шекспир». Кстати, проект высоко оценили профессионалы — историки театра и исследователи творчества драматурга. Посещение выставки осуществляется в формате экскурсий, которые стартуют каждый час. Дополнительную информацию можно узнать на официальном сайте выставки или по телефону +7 (963) 247–65–52.",exhibition
93,выставка «Петербургский модерн»,"Модерн пришёл в Россию из Европы и проник во многие области искусства. В этом стиле, подразумевавшем брак красоты и функциональности, отказавшемся от подражательности и ориентировавшемся на эстетику природных форм, оформлялись интерьеры, строились здания, шились костюмы. Модерн — направление международное, но в каждой стране оно обрастало неповторимыми национальными чертами. В России эпицентром развития стиля стал Петербург. В городе на Неве проводились тематические выставки, издавался журнал «Мир искусства», располагались представительства зарубежных компаний, занимавшихся производством предметов быта для обеспечения «красивой жизни в красивом доме». На выставке демонстрируются проекты зданий, мостов и интерьеров, созданные Николаем Васильевым, Александром фон Гогеном, Николаем Лансере и Андреем Олем, а также декоративные детали (витражи, плитка, облицовка печей), поступившие на хранение в Музей истории Санкт-Петербурга на время реставрации тех или иных строений. Дополняют экспозицию мебель (например, с фабрики Фридриха Мельцера), осветительные приборы, украшенные цветным стеклом, бисером и стеклярусом, письменные принадлежности, столовые приборы, фарфоровые изделия, женские костюмы, аксессуары. Целый раздел отдан графике эпохи модерн — работам Льва Бакста, Константина Сомова, Александра Головина. Выставку можно увидеть в Инженерном доме, расположенном на территории Петропавловской крепости.",exhibition
96,выставка «Тайны Леонардо»,"Намного опередивший своё время Леонардо да Винчи оставил после себя более 6 тысяч страниц рукописей, содержащих результаты его исследований в сфере механики, оптики, медицины, морского и военного дела, баллистики, аэродинамики. В Научно-исследовательском музее Российской Академии художеств представлены модели, созданные на основе его рисунков, чертежей и записей. Почти все эти конструкции можно привести в движение. Также посетителям предлагается посмотреть фильмы, посвящённые гению да Винчи. Среди них — «Тайная вечеря», «Джоконда», «Лошадь Сфорца» и «Витрувианский человек». Выбор места проведения выставки — не случайность: модели экспонируются в одном пространстве с гипсовыми копиями античных скульптур, что подчёркивает связь между двумя эпохами. Подробная информация — по телефону +7 (931) 262-56-37.",exhibition
125,фотовыставка Константина Шатенева «Жизнь животных»,"Помимо того, что Константин Шатенев фотографирует дикую природу, он входит в состав Русского географического общества и Союза фотографов дикой природы России. Около тридцати лет назад он присоединился к Санкт-Петербургскому клубу фотоохотников. Константина часто номинируют в разнообразных российских и зарубежных фотоконкурсах. Он неоднократно выходил в финал, например, в конкурсе «Дикая природа России» от «National Geographic Россия». А на всемирно известном фотоконкурсе «Золотая черепаха» одержал победу.  Его работы регулярно участвуют во Всероссийском  фестивале «Первозданная Россия», а сам фотограф руководит проектом Wildlife Expedition.Снимки Константина Шатенева посвящены диким животным — большим и крошечным, спокойным и шаловливым, милым и грозным. Одни из них живут на суше, другие — в воде, третьим подчинена воздушная стихия. Фотограф с интересом наблюдает за поединками, сценами охоты, брачными играми, воспитанием детёнышей и многими другими процессами, происходящими в живой природе.География путешествий Шатенева впечатляет: мастер бывал в разных регионах России, Канаде, Америке, Норвегии, Австралии, Индонезии, Кении, Японии. С каждой новой поездкой он всё больше убеждается в том, что природа беззащитна перед цивилизацией, и наша общая задача — уважать и беречь её. Проект рассказывает зрителям занимательные истории о диких животных и напоминает об ответственности каждого за сохранение окружающей среды.Фотовыставка проходит в рамках Санкт-Петербургского фестиваля природной фотографии и приурочена к Году экологии.Детали можно узнать на официальном сайте Русского географического общества или по телефону +7 (812) 315-85-35.",exhibition
126,акция «Скидка 15% на эпиляцию и контурную пластику» от института красоты СПИК,"Скидка действует с 26 мая по 4 июня. Сообщите администратору клиники кодовое слово «КудаГо» и получите дисконт. Институт красоты СПИК предлагает клиентам новую технологию лазерной эпиляции, которая эффективно удаляет тёмные и светлые волосы с любых участков тела. Также вы можете скорректировать возрастные изменения с помощью контурной пластики, которая делает линии носогубных складок, губ, форму лица более изящными.Обратите внимание, что имеются противопоказания. Перед посещением обязательно проконсультируйтесь со специалистами. Загар противопоказанием не является.Подробные условия акции, её сроки, информацию о компании-организаторе уточняйте по телефону +7 (812) 430-43-21 или на сайте.",stock
129,презентация обновлённого меню в таккерии 2TACO&CO,"Таккерия 2TACO&CO продолжает радовать любимых гостей гастрономическими хитами Латинской Америки. Обновлённое меню по-прежнему аппетитное и разнообразное. Оцените неожиданные вариации буррито, закажите крафтовые кукурузные тортильи, попробуйте салат с ароматным лососем из собственной коптильни. И обязательно оставьте место для десерта — чурроса.Что получится, если добавить в гуакамоле немного сочного манго? Приходите и открывайте для себя неожиданный вкус экзотического соуса в авторском исполнении.Забронировать столик вы можете по телефону +7 (812) 929-62-22, узнать больше об обновлённом меню в таккерии 2TACO&CO — в группе в «ВКонтакте».",stock
134,презентация нового меню в ресторане «Бричмула»,"В новом меню шеф-повар Изо Дзандзава воплотила кулинарные фантазии. Начните день с экзотической рисовой каши, приготовленной на кокосовом молоке с кусочками манго и грейпфрута. Такой завтрак зарядит энергией не хуже отдыха на тропических островах. А если хотите, чтобы обед или ужин прошёл достойно, обратите внимание на безупречные баклажаны по-рачински, ароматный плов с мясом ягненка, сочный бифштекс или нежную дорадо. Оцените богатую коллекцию мяса и морепродуктов, аутентичную грузинскую выпечку. При этом оформление не уступает содержанию: подачу блюд можно назвать художественной. О грузинском гостеприимстве слагают легенды. А в ресторане «Бричмула» чтят кавказские традиции!Чтобы получить гастрономическое и эстетическое удовольствие от визита в «Бричмулу», стоит заранее забронировать столик по телефону +7 (812) 640-16-16.​Больше информации — на сайте.",stock
141,акция: два билета в интерактивный музей «Иллюзиум» по цене одного,"Петербургский музей «Иллюзиум» — уникальная коллекция оптических, пространственных и звуковых иллюзий, представленных в формате интерактивной экспозиции. Посетители музея смогут не просто увидеть удивительные «обманки», но и досконально изучить их, потрогать, сфотографироваться с каждым экспонатом. «Иллюзииум» был открыт в 2015 году — как выставка оптических иллюзий, которая затем превратилась в полноценный музей. Сегодня его посетители могут стать участниками телекинетического поединка, оказаться в виртуальной реальности, испытать свой вестибулярный аппарат, оказавшись в причудливо искаженном пространстве. Коллекция «Иллюзиума» будет интересна всем, независимо от возраста и увлечений, ведь она позволит по-новому взглянуть на мир. Став участником акции от сервиса «ГорБилет», каждый сможет приобрести билет два билета по цене одного. Для этого нужно лишь перейти на сайт магазина горящих билетов и нажать кнопку «Посетить». Подробнее об акции, сроках проведения и организаторе можно узнать в официальной группе в «ВКонтакте».  Московский проспект, д. 107, корп. 5, 2-й этаж",stock
143,"выставка Анри де Тулуз-Лотрека «Paris, Paris...»","В пространстве «Арт-банк» представлено более 50 литографий Анри де Тулуз-Лотрека, переносящих зрителей из Петербурга XXI века в Париж конца XIX столетия с его шумными кабаре, цирками и театрами. Афиши известных столичных заведений, портреты кокетливых артисток и подсмотренные на улицах сценки передают весёлый безмятежный дух Belle Epoque. Однако за беспечными праздниками, развлечениями и соблазнами города художник видит неприглядное откровенное лицо реальности. Оно проступает сквозь внешний блеск, приглашая зрителей познакомиться с закулисьем богемной жизни, разделить с автором исполненный восхищения и горечи взгляд на эпоху. Современники говорили, что будни Тулуз-Лотрека пестры, как юбки танцовщиц «Мулен Ружа». Незаурядный представитель парижской творческой элиты, он прожил сложную короткую жизнь, но сумел оставить после себя внушительное наследие. 6 апреля с 12:00 до 13:00 вход на выставку будет свободным. В этот же день в 19:00 состоится торжественное открытие. Дополнительную информацию можно узнать на официальном сайте «Арт-банка» или по телефону +7 (904) 601-00-02.",exhibition
