"","title","director"
"145","Back to the Future Part III","""Robert Zemeckis"""
"146","Dracula","""Francis Ford Coppola"""
"147","The Talented Mr. Ripley","""Anthony Minghella"""
"148","Ray","""Taylor Hackford"""
"149","Shall We Dance?","""Peter Chelsom"""
"150","Pay It Forward","""Mimi Leder"""
"151","Fever Pitch","[""Bobby Farrelly"",""Peter Farrelly""]"
"152","The Shadow",NA
"153","Sweet November","""Pat O'Connor"""
"154","Life or Something Like It","""Stephen Herek"""
"155","Impostor","""Gary Fleder"""
"156","Just Visiting","""Jean-Marie Poir\u00e9"""
"157","Sunshine","""Danny Boyle"""
"158","The Gunman","""Pierre Morel"""
"159","Hackers","""Iain Softley"""
"160","The Last Shot","""Jeff Nathanson"""
"161","Against the Ropes","""Charles S. Dutton"""
"162","Spy Kids 2: The Island of Lost Dreams",NA
"163","The Hurricane","""Norman Jewison"""
"164","Extreme Measures",NA
"165","White Squall","""Ridley Scott"""
"166","The Master","""Paul Thomas Anderson"""
"167","Reindeer Games","""John Frankenheimer"""
"168","A Man Apart","""F. Gary Gray"""
"169","Lethal Weapon 3","""Richard Donner"""
"170","Spy Kids","""Robert Rodriguez"""
"171","Star Trek: The Motion Picture","""Robert Wise"""
"172","The English Patient","""Anthony Minghella"""
"173","A Nightmare on Elm Street","""Samuel Bayer"""
"174","Poltergeist","""Gil Kenan"""
"175","The Ladykillers","[""Ethan Coen"",""Joel Coen""]"
"176","The Bad News Bears","""Michael Ritchie"""
"177","The Pianist","""Roman Polanski"""
"178","Predator 2","""Stephen Hopkins"""
"179","Wonder Boys","""Curtis Hanson"""
"180","Hot Pursuit","""Anne Fletcher"""
"181","The Four Feathers","""Shekhar Kapur"""
"182","Krull","""Peter Yates"""
"183","Radio Flyer",NA
"184","Ride with the Devil","""Ang Lee"""
"185","Exit Wounds","""Andrzej Bartkowiak"""
"186","Elf","""Jon Favreau"""
"187","Bringing Out the Dead","""Martin Scorsese"""
"188","Cats Don't Dance",NA
"189","Cradle Will Rock","""Tim Robbins"""
"190","Arachnophobia","""Frank Marshall"""
"191","Speed","""Jan de Bont"""
"192","The Addams Family","""Barry Sonnenfeld"""
"193","Ace Ventura: When Nature Calls","""Steve Oedekerk"""
"194","The Prince of Tides","""Barbra Streisand"""
"195","About Schmidt","""Alexander Payne"""
"196","Message in a Bottle","""Luis Mandoki"""
"197","Secondhand Lions","""Tim McCanlies"""
"198","One True Thing",NA
"199","The Replacement Killers",NA
"200","Fright Night",NA
"201","In Dreams",NA
"202","Ripley's Game",NA
"203","Cry Freedom",NA
"204","Mumford",NA
"205","Dawn of the Dead","""Zack Snyder"""
"206","The Wedding Planner","""Adam Shankman"""
"207","Identity","""James Mangold"""
"208","For Your Eyes Only","""John Glen"""
"209","Serendipity","""Peter Chelsom"""
"210","Hocus Pocus",NA
