ПП 2016,ПП 2015,Наименование компании,Бренды,Сайт,Ключевые собственники,Регион,Отрасль,"Вырчука, 2016 г.","Выручка, 2015 г.",Чистая прибыль 2016 г.,Чистая прибыль 2015 г.,Налог на прибыль 2016 г.,Налог на прибыль 2015 г.,"Оплата труда, 2016 г.","Оплата труда, 2015 г.","Инвестиции в ОС, 2016 г.","Инвестиции в ОС, 2015 г."
150,153,СОВКОМФЛОТ,СОВКОМФЛОТ,scfNAgroup.com,РФ (субъект РФ),СПб,Морской транспорт,9592,8355,868,5973,68,46,1342,888,47919,45484
151,114,Первый контейнерный терминал,Global Ports,fct.ruabout,Иностранные компании (Кипр),СПб,Морской транспорт,9485,10920,7134,4124,1960,1580,774,654,0,0
152,155,Вологодский оптикоNAмеханический завод,NA,shvabe.com,"Швабе, Ростех",Вол. Обл.,IT и приборостроение,9434,8085,1196,808,334,261,1390,1109,610,362
153,166,Б.БРАУН Медикал,B.Braun,bbraun.ru,B. Braun Melsungen AG (Германия),СПб,Торговля фармацевтической продукцией,9399,7681,668,267,174,70,893,756,0,152
154,91,Невский мазут,Невский мазут,nevaoil.ru,Неклюдов С.В.,СПб,ТЭК,9271,13940,79,45,18,12,19,21,0,0
155,NA,Крыловский ГНЦ,NA,krylovNAcenter.ru,РФ (субъект РФ),СПб,IT и приборостроение,9220,5603,61,NA194,0,104,2634,2590,634,1140
156,NA,Мираторг Запад,Мираторг,miratorg.ru,ГК Мираторг,Калин. Обл.,АПК,9213,5670,2272,520,0,0,367,386,32,0
157,108,Совэкс,Совэкс,sovex.ru,Граждане России,СПб,Торговля нефтепродуктами,9109,11781,269,665,75,206,159,178,6,13
158,150,Каравай,Каравай,karavay.spb.ru,Тютюнников Н.И.,СПб,АПК,8947,8600,NA138,98,19,81,1302,1239,64,54
159,136,Мебель Стиль,МебельСтиль,mebelstyle.ru,Граждане России,Калин. Обл.,Производство строительных материалов,8809,9272,12,6,3,3,104,144,0,0
160,181,ВичюнайNAРусь,"Vici, Columbus и др.",viciunaigroup.eu,VICIUNU GRUPE UAB (Литва),Калин. Обл.,АПК,8716,6991,244,259,133,102,646,529,24,47
161,156,ТНСNAЭнерго Великий Новгород,ТНСNAЭнерго,NA,ПАО ГК ТНС Энерго,Нов. Обл.,Энергоснабжение,8682,8004,5,12,1,1,138,130,7,0
162,141,Юникс,Юникс,junix.ru,"Рындевич Д.В., Трифоненков М.П.",Лен. Обл.,Промышленное строительство,8631,9101,59,234,45,64,2496,1349,71,99
163,183,Крес  Нева,NA,NA,Корпорация JTI,Лен. Обл.,Табачная промышленность,8517,6970,921,1123,236,284,110,106,127,66
164,194,Спектр,NA,milkexim.ru,Микитичева М.Б.,СПб,АПК,8461,6712,167,69,42,17,36,33,0,0
165,96,ТД АгроNAЛайн,АгроNAЛайн,agroNAline.ru,Храмцова А.В.,СПб,ВШН,8457,12994,25,15,2,2,17,24,0,0
166,76,РЭП Холдинг,"Невский завод, Электропульт",reph.ru,Газпромбанк,СПб,Машиностроение,8375,18353,NA4287,NA1088,0,0,430,NA,55,NA
167,123,ГВСУ №3,NA,mil.ruvoenstroy.htm,РФ (субъект РФ),СПб,Промышленное строительство,8345,10297,NA3340,5,0,21,2711,2298,2,237
168,197,ЛОЭСК,ЛОЭСК,loesk.ru,"Сердюков В.В., Симонов Д.С., Леноблимущество",Лен. Обл.,Энергоснабжение,8327,6512,1610,1503,452,367,1276,1294,3451,2909
169,199,Концерн ЦНИИ Электроприбор,NA,elektropribor.spb.ru,РФ (субъект РФ),СПб,IT и приборостроение,8326,6434,474,371,66,49,3229,2551,1152,899
170,NA,ЗвездаNAЭнергетика,NA,energostar.com,Иностранные компании (Кипр),СПб,Энергомашиностроение,8314,6055,151,119,77,110,580,814,4,7
171,160,Вира,NA,NA,Граждане России,СПб,Жилищное строительство,8258,7928,87,60,25,17,514,NA,0,NA
172,109,Стройкомплект,Стройкомплект,stkNAspb.ru,Орлов М.Н.,СПб,Жилищное строительство,8155,11453,163,95,46,32,325,190,0,0
173,NA,ПетерNAСервис,Peter Service,billing.ru,Иностранные компании (Кипр),СПб,IT и приборостроение,8055,6224,3836,2902,904,615,1720,1431,317,197
174,167,Мурманскэнергосбыт,NA,mures.ru,РФ (субъект РФ),Мурм. Обл.,Энергоснабжение,8047,7656,808,NA131,235,3,1534,1294,66,41
175,138,Мясная Академия,Диета,meatacademy.ru,"Лауженкова И.Е., Смирнов С.Ю.",СПб,Оптовая торговля FMCG,7977,9171,8,3,2,1,26,24,0,0
176,162,Концерн МПО Гидроприбор,МПОNAГИДРОПРИБОР,gidropribor.ru,РФ (субъект РФ),СПб,IT и приборостроение,7976,7839,903,342,14,12,1214,704,576,383
177,196,АМРЕСТ,"KFC, Pizza Hut",амрест.рф,"AMREST, Польша",СПб,HORECA,7914,6561,266,NA73,0,0,1355,1076,734,574
178,190,Русджам стеклотара холдинг,Русджам,sisecamglasspackaging.comru,Иностранная компания (Нидерланды),Лен. Обл.,Химическая промышленность,7847,6804,1005,NA2032,0,0,1106,806,31,513
179,182,Петербургские апетки,Петербургские аптеки,papteki.ru,РФ (субъект РФ),СПб,Торговля фармацевтической продукцией,7836,6972,37,102,19,29,766,664,34,112
180,173,ОМЗNAСпецсталь,ОМЗ,omzNAspecialsteel.com,ПАО ОМЗ,СПб,Металлургия,7795,7253,NA739,NA707,0,0,1136,966,149,230
181,169,Концерн Океанприбор,NA,oceanpribor.ru,РФ (субъект РФ),СПб,IT и приборостроение,7745,7591,580,618,107,155,1509,1316,861,1338
182,198,Комнедра,Нефтиса,neftisa.ru,НК Нефтиса,Коми,ТЭК,7728,6441,1139,651,301,183,234,178,1174,517
183,193,Пискаревский Молзавод,"Пискаревский, Клевер",klever.ru,Граждане россии,СПб,АПК,7615,6744,452,517,115,130,574,551,159,15
184,168,НКМ Норд,NA,nkmNAnord.com,Nm Nord Investeringar AB (Швеция),СПб,Торговля металлами,7541,7611,635,227,165,69,23,18,0,0
185,175,Сясьский ЦБК,NA,syas.ru,Иностранные компании (Кипр),Лен. Обл.,Деревообрабатывающая промышленность,7483,7161,248,226,0,0,960,602,214,380
186,151,Колванефть,NA,salymneft.ru,Иностранные компании (Кипр),Коми,ТЭК,7443,8494,2229,NA2424,0,370,8,10,347,543
187,163,СФ Алмаз,NA,almaz.spb.ru,"РФ (субъект РФ), Игнатьев Д.И.",СПб,IT и приборостроение,7383,7795,762,1403,135,211,NA,NA,448,0
188,170,Всеволожский завод алюминиевых сплавов,NA,vzas.ru,"European Venchur Investments, UK",СПб,Торговля металлами,7311,7503,10,5,4,3,160,118,0,104
189,NA,АБЗNAДорстрой,NA,abzNA1.ru,Граждане России,СПб,Промышленное строительство,7165,4702,14,69,44,20,164,117,16,9
190,NA,ГК Интерлизинг,Интерлизинг,ileasing.ru,Граждане России,СПб,Финансовые организации,7158,7159,620,139,0,0,205,139,0,0
191,NA,Стройальянс,Стройальянс,stroialians.com,Иностранные компании (Кипр),СПб,Жилищное строительство,7132,1599,61,11,259,0,459,119,104,145
192,NA,Пилон,Пилон,pylon.ru,Граждане России,СПб,Промышленное строительство,7067,4226,36,100,43,1,1407,1003,50,34
193,185,Мурманский морской торговый порт,NA,portmurmansk.ruru,АО СЭУК,Мурм. Обл.,Морской транспорт,7043,6924,3839,3135,836,833,NA,NA,0,0
194,191,ГПК Лэнд,Лэнд,landNAgroup.ru,"Константинов Д.С., Демченко Ю.О.",СПб,FMCG ритейл,6997,6799,315,290,79,70,214,126,0,0
195,152,СевероNAЗападное пароходство,NA,nwship.com,Иностранные компании (Кипр),СПб,Морской транспорт,6992,8475,397,1936,2,3,NA,NA,696,532
196,144,Каркаде,Carcade Лизинг,carcade.com,GETIN HOLDING S A (Польша),Калин. Обл.,Финансовые организации,6970,8932,63,0,101,236,824,1068,6632,12431
197,NA,РубежNAРемстрой,NA,rubezhNArs.ru,Некрасов А.И.,СПб,Промышленное строительство,6919,2257,NA83,43,27,17,NA,NA,NA,NA
198,NA,Ресторансервис Плюс,NA,NA,Иващенко Н.В.,СПб,HORECA,6906,6151,170,120,56,58,913,512,0,0
199,NA,ВЛВ,VLV,vlv39.ru,Иностранные компании (Кипр),Калин. Обл.,IT и приборостроение,6865,3726,NA17,NA9,0,0,14,8,0,4
200,NA,Вологодское мороженное,айсберри,iceberry.ru,Иностранные компании (Кипр),Вол. Обл.,АПК,6863,5292,529,263,101,56,256,169,57,66
201,NA,ТРК Петербург,5 канал,5NAtv.ru,Национальная медиа группа,СПб,Индустрия развлечений,6841,6246,903,670,248,185,1061,1056,290,293
202,184,Евросиб СПБNAТС,Евросиб,eurosib.bizru,Холдинг Евросиб,СПб,ЖДNAтранспорт,6773,6936,515,6,0,0,413,443,239,358
203,NA,СЗППК,РЖД,rzd.ru,ОАО РЖД,СПб,ЖДNAтранспорт,6759,6322,990,842,0,0,1003,1012,389,95
204,NA,ПФ Роскар,Роскар,roskar.ru,Горячев В.П.,Лен. Обл.,АПК,6707,5902,1055,873,7048,4250,819,782,1120,471
205,NA,СК Бриз,Бриз,ckNAbriz.ru,Иностранные компании (Кипр),СПб,Промышленное строительство,6646,6187,3616,3182,813,917,128,122,6,67
206,NA,Атомфлот,Атомфлот,rosatomflot.ru,ГК Росатом,Мурм. Обл.,Морской транспорт,6645,6073,1201,NA85,0,0,3024,2602,5374,1834
207,174,Петрогрупп,NA,pgrpspb.ru,Орлов А.Р.,СПб,Оптовая торговля FMCG,6621,7222,27,39,10,11,3,11,0,0
208,192,Фаэтон NA Топливная сеть номер 1,Фаэтон,faeton.spb.ru,TOP FUEL CORPORATION LIMITED (Китай),СПб,Торговля нефтепродуктами,6580,6782,21,6,5,5,94,NA,0,NA
209,188,Сделай своими руками СевероNAЗапад,OBI,obi.ru,Корпорация OBI,СПб,DIY ритейл,6532,6833,205,407,76,128,445,492,11,23
210,NA,Парфюм,NA,parfum.ru,Граждане России,Лен. Обл.,Оптовая торговля FMCG,6525,6404,49,60,26,21,319,255,19,12
211,NA,Контейнерный Терминал СанктNAПетербург,КТСП,terminalspb.ru,Иностранная компания (Нидерланды),СПб,Морской транспорт,6524,4558,3529,2407,887,602,139,467,1250,546
212,NA,Галактика,"Галактика, Большая кружка",mnogomoloka.ru,Граждане России,СПб,АПК,6520,5822,6,10,4,4,108,108,0,0
213,NA,Морозко,NA,NA,Фейгин А.М.,Лен. Обл.,АПК,6514,5384,146,108,35,27,106,75,17,57
214,78,СЗ Северная верфь,Северная верфь,nordsy.spb.ru,ОСК,СПб,Судостроение,6474,18267,NA449,117,0,0,3605,3163,719,224
215,NA,Юникосметик,Estel,unicosm.ru,Граждане России,СПб,Химическая промышленность,6469,4970,1219,810,310,212,386,295,403,195
216,NA,Центр технологий судостроения и судоремонта,NA,sstc.spb.ru,РФ (субъект РФ),СПб,IT и приборостроение,6458,4787,723,450,262,187,1569,1100,291,195
217,NA,Авангард,NA,avangardNAmb.ru,"Сушинский М.Ю., Миронов О.Д.",СПб,Торговля автомобилями,6427,5785,257,438,29,55,57,22,267,155
218,NA,Нордавиа,Нордавиа,nordavia.ru,"Аэрофлот, Иностранные компании (ЕС)",Арх. Обл.,Авиатранспорт,6427,4860,1725,NA2268,0,0,871,586,206,14
219,99,Стройновация,Стройновация,stroynov.com,Иностранные компании (Кипр),Лен. Обл.,Промышленное строительство,6395,12405,NA1482,324,34,227,575,466,18,9
220,NA,Невский кондитер СПб,Невский кондитер,konditer.net,Граждане России,СПб,АПК,6351,5378,26,3,8,1,31,10,0,0
221,NA,Смерфит Каппа СПб,Smurfit Kappa,smurfitkappa.com,Smurfit Kappa Packaging AB (Швеция),Лен. Обл.,Деревообрабатывающая промышленность,6347,5451,481,250,98,61,377,337,60,108
222,NA,Архангельский траловый флот,NA,oaoatf.ru,"Озерский Д.М., Миргородский М.В.",Арх. Обл.,Морской транспорт,6338,5764,1861,2665,503,478,788,498,331,435
223,NA,Белгранкорм NA ВН,Ясные зори,jasnzori.ru,Холдинг БГК,Нов. Обл.,АПК,6269,5710,774,589,3,3,365,392,28,1
224,NA,ХК СКА,ХК СКА,ska.ru,ПАО Газпром,СПб,Индустрия развлечений,6260,6303,847,179,160,87,3022,3701,47,96
225,NA,Ростерминалуголь,NA,oaoNArtu.ru,Мартиросян К.Г.,Лен. Обл.,Морской транспорт,6238,5542,4586,4472,1116,838,469,435,959,683
226,NA,Севералмаз,Алроса,severalmaz.ru,ПАО Алроса,Арх. Обл.,Добыча полезных ископаемых,6198,5072,NA300,134,0,11,NA,NA,3322,1267
227,200,ГК Севкабель,Севкабель,sevcable.ru,"Орехова А.Д., Владимиров В.Д.",СПб,Химическая промышленность,6186,6411,11,5,4,1,763,701,49,39
228,195,Компания Комплит,Комплит,complete.ru,Курдуга В.В.,СПб,IT и приборостроение,6176,6609,207,1142,993,371,187,203,0,0
229,187,Великоновгородский мясной двор,NA,adept.ru,Лавров А.С.,Нов. Обл.,АПК,6114,6851,92,72,28,28,332,307,0,0
230,176,Петролеспорт,Global Ports,petrolesport.ru,Иностранные компании (Кипр),СПб,Морской транспорт,6108,7158,36194,NA11679,0,0,711,674,314,144
231,146,ННКNAПечоранефть,Печоранефть,pechoraneft.ru,Иностранные компании (Кипр),Арх. Обл.,ТЭК,6073,8806,731,NA3184,27,4,764,682,400,352
232,NA,БазэлЦемент NA Пикалево,Базэл,базэлцементNAпикалево.рф,Холдинг Базэл,Лен. Обл.,Производство строительных материалов,6001,5553,NA90,NA121,0,0,1249,1164,93,77
233,NA,Аристон Термо Русь,Ariston,aristonthermo.com,Корпорация Ariston,Лен. Обл.,IT и приборостроение,5976,5397,411,947,105,254,295,261,119,98
234,178,Инжпетрострой,ИПС,ipstroi.ru,Граждане России,СПб,Промышленное строительство,5959,7108,337,321,87,81,77,75,16,12
235,103,Псковвтормет,Псковвтормет,pskovvtormet.ru,Стечкевич Д.Л. и др.,Псков. Обл.,Металлургия,5948,12071,14,623,101,152,183,161,15,14
236,NA,Концерн ГранитNAЭлектрон,NA,granitNAelectron.ru,РФ (субъект РФ),СПб,IT и приборостроение,5935,5890,597,393,81,148,706,612,219,598
237,NA,ПитNAПродукт,ПитNAПродукт,pitproduct.ru,"AtriaNAInvest Oy, Финляндия",Лен. Обл.,АПК,5873,5735,NA442,NA592,0,0,766,504,145,0
238,NA,ТД Мегаполис,NA,mgpol.ru,Дрейзин М.П.,СПб,Оптовая торговля FMCG,5853,4823,13,9,3,2,227,147,0,0
239,NA,НПП Радар ММС,NA,radarNAmms.com,Граждане России,СПб,IT и приборостроение,5847,5345,701,526,161,163,1905,1704,109,58
240,NA,Рыбообрабатывающий комбинат №1,РОКNA1,rok1group.ru,Граждане России,СПб,АПК,5842,4984,80,69,31,16,375,336,63,29
241,NA,Игристые Вина,Игристые Вина,spbvino.ru,Граждане России,СПб,АПК,5800,4738,154,140,32,69,305,252,98,64
242,NA,Сыктывкарский Тиссью Груп,NA,sgbi.ru,Иностранные компании (Кипр),Коми,Деревообрабатывающая промышленность,5710,4606,189,182,0,0,295,255,218,180
243,NA,СОЮЗNAМ,NA,soyuzcorp.com,Иностранные компании (Кипр),Калин. Обл.,АПК,5680,4731,55,138,0,0,113,75,0,0
244,NA,ТИ ПИ ВИ  СИNAАЙ-ЭС,TPV,tpvholdings.com,Иностранная компания (Нидерланды),СПб,IT и приборостроение,5650,5360,NA299,80,35,8,326,209,0,35
245,NA,Морпорт СПб,NA,seaport.spb.ru,Иностранная компания (Нидерланды),СПб,Морской транспорт,5641,5817,1711,2293,478,599,1369,1328,520,219
246,171,НГNAЭнерго,НГNAЭнерго,ngenergo.ru,"Рудской А.А., Бутвина И.И., Сидоров Д.В.",СПб,Энергоснабжение,5605,7479,35,74,21,31,512,488,72,105
247,NA,Дочерние общества Корпорации Форд,Ford,ford.ru,Корпорация Ford,Лен. Обл.,Производство автомобилей,5597,2394,NA,NA,66,232,1148,1198,582,529
248,NA,Лужский абразивный завод,NA,abrasives.ru,Борисов В.А.,Лен. Обл.,Производство строительных материалов,5511,4760,1788,1634,359,356,956,877,88,128
249,NA,Авангард,Авангард,avangardspb.com,Рябошапка О.В.,Лен. Обл.,Химическая промышленность,5438,4242,98,11,27,10,169,114,0,0
250,186,Специальный технологический центр,NA,stcNAspb.ru,Граждане России,СПб,IT и приборостроение,5347,6919,374,512,101,106,1619,1295,336,0
