ПП 2016,ПП 2015,Наименование компании,Бренды,Сайт,Ключевые собственники,Регион,Отрасль,"Вырчука, 2016 г.","Выручка, 2015 г.",Чистая прибыль 2016 г.,Чистая прибыль 2015 г.,Налог на прибыль 2016 г.,Налог на прибыль 2015 г.,"Оплата труда, 2016 г.","Оплата труда, 2015 г.","Инвестиции в ОС, 2016 г.","Инвестиции в ОС, 2015 г."
35,30,Банк СанктNAПетербург,Банк СанктNAПетербург,bspb.ru,Иностранные компании (Кипр),СПб,Финансовые организации,57265,55565,2295,2282,2555,1806,NA,NA,NA,NA
36,34,Монди СЛПК,Mondi,mondigroup.com,Иностранная компания (Нидерланды),Коми,Деревообрабатывающая промышленность,54929,46468,5153,15005,1200,588,3209,3056,3787,1543
37,31,Бритиш Американ Тобакко NA СПб,BAT,batrussia.ru,Корпорация BAT,СПб,Табачная промышленность,53950,48809,3734,5207,900,1320,1601,1407,3865,2666
38,37,Силовые машины,Силовые машины,powerNAm.ru,Иностранные компании (Кипр),СПб,Энергомашиностроение,48120,41071,NA961,343,1,443,6476,6464,588,482
39,38,Нокиан шина,Nokian Tyres,nokiantyres.ru,"Nokian Renkaat Oyj, Финляндия",Лен. Обл.,Химическая промышленность,46432,40820,11612,9985,2219,1963,255,223,59,75
40,42,Орими Трейд,"Jardin, Жокей, Greenfield и др.",orimi.com,"Евневич А.А., Касьяненко С.С., Тюшкевич И.П.",Лен. Обл.,АПК,44924,37713,3604,4925,462,248,1360,NA,1172,NA
41,36,Ленгазспецстрой,ЛГСС,lgssNAspb.ru,"Стройгазмонтаж, Иностранные компании (Кипр)",СПб,Промышленное строительство,44313,41483,1358,119,28,75,2844,3341,1451,804
42,33,Кольская ГМК,Норильский Никель,kgmk.ru,ГМК Норильский Никель,Мурм. Обл.,Металлургия,43759,46912,5265,12315,1009,3221,12068,7965,4616,4885
43,43,Интернешнл Пейпер,SvetoCopy,internationalpaper.com,Иностранная компания (Нидерланды),Лен. Обл.,Деревообрабатывающая промышленность,42445,36451,6835,6329,1323,1259,1714,1590,1420,1185
44,53,Тихвинский вагоностроительный завод,ТВСЗ,tvsz.ru,Иностранные компании (Кипр),Лен. Обл.,Машиностроение,41780,30816,2693,NA2943,0,0,5161,2525,262,88
